TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-1234,-256,-606,177,1746,405,1711,929, class:0
-279,849,136,81,5031,10957,-301,23750, class:0
-3196,-2368,-3123,-3263,-8178,-3090,-14348,9703, class:0
-6429,-5601,5023,4921,-11411,4983,-17581,6470, class:0
-286,3147,-131,-174,-191,4487,-2014,9579, class:0
-1394,265,-1137,32,-1394,265,-1394,265, class:0
-9033,10166,-48,-197,-8996,-4671,-9080,10167, class:0
-2796,21321,-2541,12804,-2731,17177,-2924,21652, class:0
2298,10783,2572,2266,2309,6639,11358,11114, class:0
4760,2539,231,-303,5113,1531,4760,3927, class:0
3363,1142,-1166,-92,3716,134,3363,2530, class:0
-161389,-147244,55926,55859,-249914,-147720,-250121,-399859, class:0
82149,112263,7607,7467,90702,112232,117010,115447, class:0
-4376,-3128,2310,2259,-6820,-12053,-7378,-10266, class:0
-13249,-5953,3120,2985,-31422,-12448,-31980,28877, class:0
2667,4878,-2766,-2799,-6166,-2799,-7013,5353, class:0
-448,-20,-33,-131,-11513,-55,-12579,1179, class:1
-1357,13143,-1231,10353,-1759,10840,-2085,20758, class:0
-401,2402,-366,-660,-630,4807,-2091,6861, class:0
-8686,9252,1223,1083,-8659,31369,-9234,32099, class:0
-9644,8294,265,125,-9617,30411,-10192,31141, class:0
-2979,663,-87,-190,-22500,17528,22901,18258, class:0
2629,-2500,-1823,1756,20255,5894,11267,6624, class:0
364,3998,384,235,107142,2637,-169879,112096, class:0
-5389,1626,-1017,733,-2562,1294,-5389,1626, class:0
-6707,308,-2335,-585,-3880,-24,-6707,308, class:0
-30516,-32,-1585,-91,-8764,-85,-32531,1961, class:0
1877,-1007,-1313,-1375,1877,-1359,1877,3730, class:0
-1383,-856,-1321,-1194,2142,-1012,2004,978, class:0
8419,-9258,6102,-2073,-56049,9263,74072,10296, class:1
-3972,599,-3823,-2289,-3904,-1862,-3972,599, class:0
-182,20850,1,16982,-90,38935,-182,40697, class:0
-6266,-63705,-6075,61406,61430,-64199,-6266,-63705, class:0
-766,4378,-104317,-103492,-766,1567,-766,4378, class:0
-4271,873,-107822,-106997,-4271,-1938,-4271,873, class:0
-1159,-11892,-984,-1129,1599,-15312,-1159,-11892, class:0
-53,-542,12,-130,-6423,4960,-7298,14323, class:0
-39105,521,-5536,-974,-13923,-885,-39775,544, class:1
-1919,5982,-948,-1100,4349,6278,-2346,6430, class:0
-7607,294,-1153,16,-1333,590,-8034,742, class:0
-699,-549,605,499,-1484,1489,-1529,3117, class:0
-1821,965,361,230,-2606,367,-2651,1995, class:0
-146,273,87,-14,-508,104,-3268,1301, class:0
15187,-33238,15347,21147,21154,31470,-18166,-33238, class:0
-95700,-1202,-1068,-336,-95555,-172,-95752,3215, class:1
-95726,-1228,-1094,-362,-95581,-198,-95778,3189, class:1
-4339,4723,-3858,-3970,-6444,13774,-9014,15430, class:0
-12806,1455,-2424,1395,-14911,5307,-17481,6963, class:0
-15616,-1355,-5234,-1415,-17721,2497,-20291,4153, class:0
-11963,221,-9219,-1975,-9503,-1235,-12647,1731, class:1
-878,4064,-772,1314,1394,2209,-878,4064, class:0
-518,3053,-431,2423,-482,2580,-627,-5970, class:0
1345,-529,-384,-556,-1820,-1345,4991,4316, class:0
-718,290,296,223,2617,1537,2550,1875, class:0
4735,7838,4080,3928,15200,12738,14621,14483, class:0
-2996,15906,-2231,-2427,-2921,12645,-3035,15909, class:0
-11950,1830,-409,-523,14299,9071,14136,12980, class:0
-14124,20790,-12988,19123,-14124,64278,-14495,71576, class:0
-829,2843,574,442,18758,2748,15414,10046, class:0
206,2143,-126,54,18058,2048,14714,9346, class:0
-386,1558,-88,-179,-356,-84,-431,10366, class:0
-2518,410,-2289,-1339,-1233,-916,-2833,410, class:0
-19392,10642,-14497,10446,-16062,10469,-21862,11292, class:0
36883,13075,9095,8746,-37824,13075,36883,21059, class:0
-22433,18,-4217,-3201,116625,-4223,116496,26, class:1
-26252,25680,-4122,-4179,-4160,40766,-26306,41665, class:0
-16089,-4044,-364,-505,-15888,4297,-20337,4778, class:0
8553,2040,-1073,-426,9213,-239,8553,5435, class:1
-1627,1250,-178,-58,-1616,784,-1637,1389, class:0
-4480,12104,2565,2039,2149,14581,-4495,19366, class:0
-37748,3713,-3012,-3208,-17943,3343,-48535,3713, class:0
2467,-4182,2693,2519,-7788,13483,-41990,14083, class:0
-493,26946,205,24,-500,639,-23265,-35183, class:0
-5977,8631,-5902,7779,-6774,17066,-7613,17657, class:0
4052,7016,798,641,4074,5431,-42645,29087, class:0
-2083,1699,-1754,1299,-1990,1610,-4037,1707, class:0
-2308,1474,-1979,1074,-2215,1385,-4262,1482, class:0
-3593,9422,30,-55,-3296,8208,-4156,9460, class:0
-6194,6821,212,86,-5897,5607,-6757,6859, class:0
2869,15605,3054,3622,6865,38849,-40409,39624, class:0
-13639,7108,6630,6046,-13639,7311,-13648,8020, class:0
428,3949,601,498,-4378,-1533,-7177,4066, class:0
-3534,-2248,382,267,44060,12887,41042,14550, class:0
956,765,1090,-105,1476,45,956,767, class:0
-8852,2994,1838,1631,-8814,2370,-8872,7418, class:0
32,2019,149,20,-1138,4076,-1377,4388, class:0
202,108,499,102,-2071,1161,-2190,1238, class:0
6776,10560,1764,1689,10335,36675,179038,40089, class:0
-5,788,112,516,20,2995,-630,-24031, class:0
-6460,2486,2556,2396,-5617,2414,-10295,14680, class:0
-522,3874,101,3496,62,4079,-522,4217, class:0
-399,1581,-41178,-39767,-155,804,-399,1581, class:0
-4322,292,-3769,-373,-3897,4,-13521,367, class:1
-4372,242,-3819,-423,-3947,-46,-13571,317, class:1
-9916,25281,-9376,23701,-9498,25067,-9984,27200, class:0
2225,3843,2432,2263,-30936,3629,-31422,5762, class:0
-2166,-522,-1959,-933,-35327,-762,-35813,1371, class:1
-2717,820,-2510,-1484,-35878,-1313,-36364,820, class:0
1582,49249,1676,1571,18409,-128040,-72704,-124082, class:0
-50,4396,201,1002,72,12012,-114,16161, class:1
-4032,414,30,-91,-3910,8030,-4096,12179, class:0
-45321,44808,-56,-810,-45176,33646,-45363,55512, class:0
-14895,1846,-45,-128,-3750,1937,-27196,-29790, class:0
-35657,27758,-4296,-4536,-35561,27253,-35657,27758, class:0
-60887,2528,-3068,1872,-60791,2023,-60887,2528, class:0
16845,-16079,-7202,-7373,60780,-57905,-149133,287065, class:0
-5596,-671,48,-56,-2383,8730,-5954,9553, class:1
-8677,-2012,97,-594,-5464,5649,-9035,6472, class:0
-771,117,-208,-81,-58031,8011,-61419,9553, class:0
-3529,348,296,187,-25965,20978,-28166,21155, class:0
2202,-20669,2869,8534,2570,38784,-27615,39354, class:0
-3974,-884,-863,-997,-23637,4346,-62053,4916, class:0
24786,1404,1437,1319,31102,2744,24786,8712, class:0
21476,148,-1873,-680,27792,-566,21476,5402, class:1
19230,-2098,-4119,-2926,25546,-2812,19230,3156, class:1
-26344,429,-603,-683,-27187,-355,-60360,3364, class:1
4392,5770,4469,4228,4467,8296,4392,5770, class:0
21249,-4096,-21209,-5361,-32197,216817,-37105,240813, class:0
12128,2036,-3265,-1539,39722,-1321,12128,3154, class:1
11017,925,-4376,-2650,38611,-2432,11017,2043, class:1
-274,2263,2074,3007,1972,4093,-6022,20201, class:0
3178,-1867,1975,1823,-5598,-3477,-13592,12631, class:0
-100860,-1281,-1200,-1338,-20885,4070,-100860,16129, class:0
-112031,4958,-1451,-570,-32056,-344,-112031,4958, class:1
-112764,4225,-2184,-1303,-32789,-1077,-112764,4225, class:1
-114870,2119,-4290,-3409,-34895,-3183,-114870,2119, class:1
-6198,1653,2223,1557,-5963,6817,-9511,10944, class:0
-2367,31072,-1943,-2159,-13478,31037,-89600,62433, class:0
17302,-776,399,269,-46700,-1234,-122822,29211, class:0
-196,14294,-174,-228,13984,14678,-43831,29197, class:0
-25792,49675,-25651,27497,27501,47367,-25833,-61109, class:0
-2534,8778,483,439,-2413,7577,-2559,37860, class:0
-16377,-5065,-1228,-1426,-16256,-1416,-16402,24017, class:0
-32471,618,-5263,-254,-32350,93,-32496,7923, class:0
-11199,6472,200,61,-10394,6079,-11199,6472, class:0
-1325,2184,-138,-291,-465,-289,-2062,7837, class:0
1982,12698,-15,-144,2089,10128,-32929,12708, class:0
-234,840,-73,498,661,1809,-1436,3194, class:0
-2579,157,-716,24,-3055,5134,-4096,5168, class:0
-1532,-941,-306,-404,12270,-369,12195,5058, class:0
4150,5751,-3959,-4033,-4248,8456,-4464,11045, class:0
-5465,-725,-3325,2803,-5440,2812,-5528,3352, class:0
-1296,921,-1165,2740,2869,4921,-1296,921, class:0
-2399,1214,20,-100,-11776,849,10746,2910, class:1
8576,10996,-7253,-7363,-17062,14452,27351,18210, class:0
-4361,1793,-1475,671,-4344,790,-4361,1793, class:0
-1015,-4266,3068,2958,-31514,3087,21542,5873, class:0
-2140,131,-1090,-486,-36962,-367,16094,425, class:1
-44,4002,20,374,618,15252,-26341,16328, class:0
-1894,1278,-12,-129,-3582,1092,-3947,2778, class:0
42450,-99,-3531,-364,-21434,-3560,42450,3896, class:1
-1926,5257,-491,-585,-1306,3263,-1986,10785, class:0
-4819,338,-4229,-1499,-4364,-337,-11991,780, class:1
2340,-418,-1196,-809,4112,-669,2340,818, class:1
1987,465,-1549,-1162,3759,-1022,1987,465, class:1
4284,-180,29,-206,-655,10886,-16480,11125, class:0
4624,-870,-2813,-1743,4750,-1255,4624,3102, class:1
1746,159,1985,2330,1872,4124,1746,224, class:1
-95,4365,-59,3443,3444,4308,-95,4390, class:0
1148,2069,1309,1147,1148,2012,-2391,2094, class:0
-11316,1616,37,-89,-31046,8919,-40507,15764, class:0
-4417,-15871,4001,3621,-4411,-19262,-4479,-15871, class:0
350,499,914,-75,-14598,26579,-14642,32508, class:1
3780,-12618,-25,-206,-28660,12517,-28704,18446, class:0
-29703,7064,-475,-186,-26158,-31,-29758,7064, class:1
-138955,42365,-138295,41954,-138915,42139,-138955,42365, class:0
-1025,57208,-922,1417,23233,56407,-16479,66348, class:0
6582,-358,981,982,10216,-1159,6582,8782, class:0
374,2298,120,-350,-129,2286,-463,3703, class:0
7762,1055,328,223,8608,285,7762,1055, class:0
19707,47171,4646,4588,-30287,46693,-30491,54691, class:0
4317,5618,24925,32975,4317,5618,4317,5618, class:0
-519,265,121263,121287,-444,50,-519,265, class:0
-348,200,-17561,-11824,-310,82,-348,200, class:0
3494,4388,3569,3357,3957,4370,-8216,4695, class:0
55,3296,144,2112,90,2296,-880,7044, class:0
12920,-888,-9717,-3883,13007,-1110,12920,2122, class:1
-4653,749,70,-28,-8822,-4360,-9474,10771, class:0
-10064,3445,2068,2034,-10191,7014,-11643,26838, class:0
3589,856,3785,825,3745,1253,3589,2732, class:0
2872,839,1636,712,-4202,14624,-12212,15970, class:0
-401,677,-371,117,137,457,-401,677, class:0
-1263,167,-1243,-241,-219,125,-1263,167, class:0
-1625,52,-1537,-381,-360,-64,-1625,52, class:0
-1848,574,-1815,-621,-598,340,-1848,574, class:0
-331,2192,126,80,-314,2243,-404,2772, class:0
-2986,116,-2147,-513,-2969,-412,-3059,117, class:0
-3074,28,-2235,-601,-3057,-500,-3147,29, class:1
918,-593,-829,-353,3165,-155,918,690, class:0
698,470,847,-573,2945,-375,698,470, class:0
2019,25486,1027,957,-12106,28210,-17128,28800, class:0
-3799,-1091,-3456,1037,-2322,1205,-8470,1748, class:0
-6745,-6975,1116,906,-6755,1008,-6778,-6975, class:0
1924,2,2257,-490,2194,-437,1924,4, class:1
-42,1210,291,549,228,790,-42,1317, class:0
-524,501,118,49,-481,81,-751,608, class:0
-180,9496,55,2140,2264,9424,-180,9501, class:0
214,234,-211,119,-907,-804,-4816,3702, class:0
-1454,-15104,-1333,-15383,15708,-15311,-1454,-15104, class:0
7332,7437,2786,2739,-11771,20917,-28933,21274, class:0
-12434,-9020,-9369,-9536,-17500,-14850,-23615,22643, class:0
13812,7455,377,276,15465,11427,13812,13818, class:0
-261,5963,-230,-265,-260,12897,-2174,13566, class:0
-11385,1783,-255,-320,-11384,1773,12941,2442, class:0
1909,18195,-195,-463,-12578,6677,-13049,-21028, class:0
256,175,270,86,-4810,8871,-6128,9552, class:0
-1082,4699,-812,2408,2583,2984,-1082,4699, class:0
-2149,3632,-1879,1341,1516,1917,-2149,3632, class:1
-2168,3613,-1898,1322,1497,1898,-2168,3613, class:1
-5575,-921,-785,50,-9230,310,-24482,3610, class:0
2421,-4630,6583,-5538,-11140,-5411,-11254,20933, class:0
-9733,3999,-7,-75,-28068,3560,-28182,4005, class:0
504,248,-23,-82,-1479,3327,-2670,-3264, class:0
-159,-297,-93,87,5298,3917,5210,4371, class:0
-39444,-145464,-39252,44871,-39356,-150880,-39760,-145464, class:0
-3657,1431,-3169,-2205,-3485,-1704,-18479,1431, class:0
-29186,2339,-9081,-4867,-29270,-4721,-30020,2358, class:1
-3731,-7224,-3420,-3756,-3699,29595,-8262,30074, class:0
-746,19208,165,18752,-456,19071,-746,19208, class:0
-4970,4149,1679,1553,-4102,5350,-5612,11285, class:0
-13379,1005,-3045,-883,-12511,-3059,-14021,2876, class:1
-9850,-2702,-162,-341,-67049,16283,-178698,27818, class:0
-28713,-5276,-6086,-2341,-85912,-2301,-197561,8955, class:1
-15441,3445,3237,3099,118556,14913,118411,15321, class:0
-30627,78,-7245,-337,103370,-273,103225,135, class:1
-18862,4197,1064,1002,-18839,2129,-18984,4197, class:0
-2812,13479,47,-14,-19345,12566,-19396,13990, class:0
-2861,13430,-2,-63,-19394,12517,-19445,13941, class:0
-596,20480,7,-499,-89,24636,-1222,25803, class:0
4826,14420,4974,7375,-7035,14614,-7142,14647, class:0
-4768,2207,-1557,-1745,-12871,-4436,-14653,12288, class:0
-4132,4826,1591,1452,1460,23473,-4158,23718, class:0
7094,-1944,861,692,-16936,57111,-49185,58775, class:1
-5468,381,-1930,-1543,-75330,-1283,-107579,381, class:1
-5757,92,-2219,-1832,-75619,-1572,-107868,92, class:1
48589,-19145,-7089,-7100,90457,-21551,90259,88037, class:0
-8344,-2305,2649,2027,-8344,49557,-39788,-69526, class:0
123,535,294,18230,-17632,23283,-17876,30820, class:0
-24513,-904,-792,-963,-42268,-1353,-42512,6184, class:0
62516,99919,13718,13617,139108,109930,139018,116115, class:0
3458,2012,3797,-108,29130,-48,29040,6137, class:1
-3976,21610,39,-78,-59,21335,-4007,21610, class:1
-9386,16200,828,733,-5469,15925,-9417,16200, class:0
10328,13363,456,350,-8306,13088,-12254,13363, class:0
-619,264,-2147,-2237,-145,-11,-619,264, class:0
-6032,-5149,-336,-521,-5558,-5424,-6032,-5149, class:1
-1687,169,-1410,-55,-18018,12,-18492,2314, class:1
-3004,176,-394,358,-2986,-328,-3052,1252, class:0
-6611,47,197,-23,682,8888,-16421,15934, class:1
-18003,-1250,-2195,-2246,-10710,-2233,-27813,4542, class:1
-18137,-1384,-2329,-2380,-10844,-2367,-27947,4408, class:1
-19092,-2339,-3284,3327,-11799,-3322,-28902,3453, class:1
-20451,1536,-4643,1968,-13158,1988,-30261,2094, class:1
-21064,923,-5256,1355,-13771,1375,-30874,1481, class:1
-22429,116,-6621,-10,-15136,10,30356,116, class:1
742,2589,764,1021,-2125,2445,-2128,2592, class:0
-879,968,-499,-600,-3746,824,-3749,971, class:0
18215,56690,18565,32340,43922,67830,-31696,133761, class:0
11951,-3130,-1518,-1628,-33172,-9264,-108790,56667, class:0
-42781,-736,-23245,-1073,-87904,-963,-163522,1935, class:1
-988,14662,-906,1434,1481,24170,-988,37139, class:0
-7971,164,-4644,-718,12480,-633,12185,474, class:1
1091,2382,1280,1703,1711,-3710,-1481,-3279, class:0
15514,20257,15765,15550,-35323,46075,-66855,59025, class:0
-11065,1829,-3290,1611,-11029,-3315,-12892,1829, class:0
196,-1862,-2049,-2199,-1127,1812,-2341,1908, class:0
-1148,75,1145,1092,-2960,-21,-4174,75, class:1
8753,6266,-1047,-1115,20239,9093,20182,12703, class:0
-3066,794,-2116,-1099,8420,-841,8363,884, class:1
-3083,777,-2133,-1116,8403,-858,8346,867, class:1
-19210,-19828,-18739,-21340,-19017,27844,-19303,-19828, class:1
-3980,259,-161,185,-3980,-271,-4370,2326, class:0
55939,-18529,-400,-499,56060,-20052,55939,51473, class:0
-24120,-586,-851,546,-42246,-864,-42402,1054, class:1
-24267,618,-998,399,-42393,-1011,-42549,907, class:1
-24841,44,-1572,-175,-42967,-1585,-43123,333, class:1
-25139,28,-1870,-473,-43265,-1883,-43421,35, class:0
