TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
258,356,-64,202,-5944,6927,-7005,8819, class:0
-7435,632,-1804,-937,-13637,-766,-14698,1126, class:1
-5919,-4749,-3139,-3173,-30665,-5399,-30754,11471, class:0
11310,1952,155,21,11336,1591,11310,3214, class:0
-8517,-11610,2143,1963,-8477,-13372,-8517,-11610, class:0
-31332,40416,-31141,36340,36364,39874,-31332,40418, class:0
-169,3158,-161,-290,-259,611,-12597,4377, class:0
-897,1674,35947,51592,-362,627,-897,1674, class:0
-24609,1424,1020,685,-24550,1193,-24622,15408, class:0
64,52146,607,-23098,-23008,73108,90638,76669, class:0
-7589,13559,-1953,-2029,-2007,35502,-7638,37247, class:0
-2738,-2745,-844,945,-12541,-6350,-30020,15249, class:0
17142,-25599,13920,13828,-51660,14243,17142,-25599, class:0
6687,-18632,-6619,11905,6900,17190,-6714,-18632, class:0
-2453,10432,-2349,4222,-2568,10106,-2726,12110, class:0
-5481,7404,1334,1194,-5596,7078,-5754,9082, class:1
-2284,6586,-1280,-1404,-4812,9463,-4993,9863, class:0
-702,1,-637,-229,-1781,5083,-2080,5146, class:0
-3991,13936,-3701,12374,-3898,12895,-3991,13936, class:0
-1335,549,52529,146119,-617,-294,-1335,549, class:0
-19310,-2028,-12969,-2101,-13043,16001,-29536,16316, class:0
-1096,3350,-11,-44,-974,10966,-1160,15115, class:0
48248,127446,48304,77179,72044,127129,-140323,457211, class:0
-53990,-9374,-53722,-9707,-54139,-9691,-277143,320391, class:1
-97526,-52910,91647,-53243,-97675,-53227,-320679,276855, class:1
-114306,-69690,74867,-70023,-114455,-70007,-337459,260075, class:1
126891,-92531,52026,51961,-137296,-92848,-360300,237234, class:1
-81,1265,81,-33,-3548,3702,-3628,5044, class:0
-16507,-49126,-16339,-55208,-16360,-55094,-33052,-49126, class:1
-1667,8437,-1487,8241,77743,125489,-84223,130693, class:0
-6911,8677,489,465,-9171,6747,-14668,49056, class:1
-3231,3772,-2157,-2189,-3318,3549,-19273,28097, class:1
-65207,100830,-28547,-28719,-28619,124075,-559444,126831, class:0
-27530,-2412,-27462,-3579,45355,-3436,45322,36747, class:0
-29639,1777,329,90,-29510,1563,-30114,1807, class:0
-16822,119282,-14799,-14866,19776,124633,19703,136692, class:1
-7551,-1358,-6751,-2033,-15880,-1887,-16638,6972, class:1
24583,44187,-5544,-5659,-56845,45998,-56996,49534, class:1
-4967,44686,-3195,-3225,-4924,86616,-5124,96949, class:1
-25361,1719,-10978,-5386,-45091,-5126,-54552,1719, class:0
-432,199,304,306,-340,169,-432,199, class:0
-1080,-1547,-776,-854,-5249,-787,-5901,14344, class:0
-1067,11,-1037,-549,-529,-209,-1067,11, class:0
-348,926,-114,547,568,867,-348,983, class:0
252,673,15790,16279,252,584,252,673, class:0
-343,1818,60,-25,-734,2725,-881,3232, class:0
-1853,4190,-1747,-1900,-1845,2254,-6213,6111, class:1
1854,-136,97,21,3045,896,1854,1260, class:0
-16401,-49029,6503,6340,70193,-49508,-17498,-49029, class:0
-18994,-51622,3910,3747,67600,-52101,-20091,-51622, class:0
-3715,944,183,142,-24815,10558,-25639,17319, class:0
-701,3486,-35736,-34188,-510,473,-701,3486, class:0
17763,4714,-2916,-3045,-62064,15434,-126515,24892, class:0
-51870,33074,846,809,-51801,82352,-77203,82825, class:0
-760,-848,-142,-186,-15752,22339,-15908,27548, class:0
-1228,-11284,1039,964,-30444,5129,-32183,25825, class:1
-2509,9083,145,87,-1843,6154,-2509,9083, class:0
-29040,-3909,-7568,-4757,-70195,-4660,-70313,9047, class:0
-575,369,118476,121427,-575,369,-575,369, class:0
-73,862,-140227,-139644,-73,862,-73,862, class:0
-1304,53,-784,-542,13193,-436,13193,54, class:1
13069,-4534,-4484,-4644,-16572,11343,26619,17857, class:0
1128,1104,1375,1007,-2499,3147,-3944,3474, class:0
-4642,2050,-78,-177,-4101,1877,-4642,2050, class:0
2430,-4485,2958,2799,-20823,7884,19844,10020, class:1
9795,3205,160,25,-16146,11234,-22648,17917, class:0
481,760,540,422,1196,-22939,-5306,-20418, class:0
-5859,12331,3587,3449,3488,12200,-15265,52678, class:0
4953,-2542,-3931,-3527,-7116,-3456,-9431,13379, class:0
-2334,-10984,-2317,-2414,-22836,-11834,-3351,-10984, class:0
-1164,7593,-1060,4569,4647,11053,-46798,13011, class:0
3418,12175,3522,9151,9229,15635,-42216,17593, class:0
-1958,69,-643,-210,-1952,-146,-1958,69, class:0
101,1770,245,119,243,2706,-2060,3831, class:0
-599,-282,2850,-834,-544,520,-599,1114, class:0
-5709,15428,-281,-422,-5655,14474,-5709,15428, class:0
82,-505,471,335,-33026,-1537,-33132,1922, class:1
-522,3359,-289,-531,-3498,5353,-6747,7107, class:0
-21799,-24045,-21677,-21850,-21737,38827,-66541,159451, class:1
6536,-580,7377,-2705,7306,-2536,6536,1249, class:0
-81316,-3962,-3879,-4008,-96098,19002,-372811,21173, class:0
-2597,8234,1007,879,-1426,9892,-3068,10168, class:0
-3005,3988,1234,431,782,5958,-4976,7313, class:0
-174,95,42460,42972,-174,95,-174,95, class:0
