TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
1292,6773,1316,1135,-3078,13675,-4140,15561, class:0
-539,97,-217,-146,-16763,-10,-17825,1876, class:0
-803,209,-650,-242,-221,252,5897,315, class:1
-1075,42,-922,-514,-493,-20,5625,43, class:0
24140,25799,24397,25566,24140,25799,24140,25799, class:0
541,-1366,1143,988,-12143,11789,-12259,13820, class:0
12677,12069,12134,12009,-62202,15796,36173,19150, class:0
-58190,59190,-58105,58724,-58141,-104581,-58233,-104498, class:0
-1093,3984,-254,-430,-1070,2460,-1141,3984, class:0
-4795,14404,-350,-488,-4758,-433,-4842,14405, class:0
3846,12331,4120,3814,3857,8187,-11914,12662, class:0
583,9968,655,1683,1706,23974,-6789,24425, class:0
-19888,11,-7501,-345,-22453,-185,-30948,266, class:1
-836,27218,-662,4245,-684,24189,-5905,30657, class:0
-8905,20110,-8878,19625,19681,28906,-8965,33108, class:0
-2184,-3691,332,188,-20214,7445,-20214,7584, class:0
-7608,10330,2301,2161,-7581,32447,-8156,33177, class:0
-11280,14075,10612,10513,-11191,14075,-11280,30945, class:0
-80,2985,233,622,-53,2678,-80,2985, class:0
78,1872,-120,-698,-1385,1383,-3216,2015, class:0
-2272,566,-1015,-7,-2272,566,-2272,566, class:0
-4823,2192,-451,-1032,-1996,1860,-4823,2192, class:0
-3515,-13497,-3501,12091,-3808,14940,-3885,-13497, class:0
-950,238,-4140,-982,-950,903,-950,903, class:0
-2005,-152,-5195,-2037,-2005,-152,-2005,-152, class:1
-15275,20053,-15198,16421,-15257,34118,-15484,-30772, class:0
-3254,-1221,1253,1066,-3241,1831,-3379,2181, class:0
-541,4421,-453,-666,-3892,4052,-9128,4444, class:0
-18346,-3434,-1391,-1545,-39745,33055,97214,39775, class:0
-1893,8070,-1825,2569,2584,3426,-1893,8070, class:0
-1747,824,35097,50742,-1212,-223,-1747,824, class:0
10894,-3350,2344,2093,11067,-7769,-17528,27349, class:0
-2483,-17,-1547,-70,-11528,-1765,-11715,1241, class:0
-1025,4859,-464,-549,-1022,10361,-1897,19724, class:0
-23536,2497,-478,-633,-23477,2266,-23549,16481, class:0
-1254,-1104,50,-56,-2039,934,-2084,2562, class:1
-3192,327,107,-3,-3977,131,-4022,624, class:1
-3776,33,-477,-41,-4561,-12,-4606,40, class:1
-396,3874,-350,3037,3294,37843,-460,-51772, class:0
-24005,10389,4540,4393,-24005,6877,-24160,33892, class:0
1070,10132,-943,-1048,-1035,-12386,-3605,-11077, class:0
-520,4881,-210,2720,2758,-7111,-557,-6177, class:0
7734,1408,-3312,-813,7792,-715,7734,1408, class:1
8770,5019,-1530,-1627,9378,-1665,8770,8465, class:0
-4975,-242,-172,536,-4595,-288,-6256,709, class:0
25059,46147,-5629,-5682,-5644,19948,-43510,-77125, class:0
17755,38843,12650,12535,-12948,12644,-50814,79974, class:0
777,-8931,-395,-470,7539,-12751,-3357,-8931, class:1
1135,1018,-185,-277,-933,7207,22285,8500, class:0
-8710,-31184,-8614,-39473,84987,-39168,-15360,-31184, class:0
13854,-26203,13955,25519,-20938,-26396,-21031,-26203, class:0
-10641,-207,-1273,-334,12843,3391,12183,9065, class:0
-7015,-10512,1044,874,-6734,8115,-7394,-10512, class:1
506,762,394,256,-34513,6361,24838,6952, class:1
-14918,75278,12037,11976,-14904,135726,-14984,138107, class:0
-14018,-4882,-5108,-5363,-16799,43942,-106768,46323, class:0
3554,3364,3634,4065,4263,-7557,3554,3364, class:0
-320,3617,-148,212,264,1091,-583,3617, class:0
-3303,622,-679,427,-16069,-2216,-16956,1543, class:0
952,1345,789,728,-2828,7997,-6373,9193, class:0
-5904,1314,322,212,-9684,1141,-13229,2337, class:0
-3307,416,-2911,-205,-11454,-103,-13060,3548, class:0
-8863,11884,-8450,10822,-8863,12087,-8872,12796, class:0
44455,-16822,3175,3002,80524,3065,78187,76032, class:1
2567,9314,-2832,-2926,2918,-18436,-4021,-18248, class:0
4656,324,159,105,-9067,11355,-16006,11943, class:0
