TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-1211,-1057,158,89,-2788,15240,-6681,15855, class:1
-23,314,107,-96,-587,671,-711,-2195, class:0
-1679,9748,-1512,3939,-1579,9279,-1679,9748, class:0
-10340,1087,98,-113,-10240,618,-10340,1087, class:0
959,31590,1138,-5410,-21436,31586,-53287,-73006, class:0
-26186,28856,-26111,28796,-45415,32583,-45487,35937, class:0
-603,817,47210,164039,-399,734,-603,817, class:0
-1015,405,46798,163627,-811,322,-1015,405, class:0
-902,7583,-628,-934,-891,3439,8158,7914, class:0
235255,265369,-33252,-33323,243808,265338,270116,268553, class:0
-18e3,1701,-5613,1513,-20565,1703,-29060,2154, class:0
-3345,3419,119,31,-3345,2471,-3365,25860, class:0
-1179,26875,-1005,3902,-1027,23846,-6248,30314, class:0
-1222,-1265,961,890,-20019,2808,-20028,5923, class:0
-2151,-6297,-2108,-3285,-75811,-36937,-76650,71757, class:1
-1636,-285,-1090,-757,51677,-696,30153,587, class:1
-808,944,-708,887,14418,3649,14002,4044, class:0
-18447,-41276,1892,1845,-18462,-41834,-21141,-41276, class:1
-1,14905,531,12115,3,12602,-323,22520, class:1
-2472,12028,-2346,9238,-2874,9725,-3200,19643, class:1
-7735,-5013,-7601,-5715,14020,49682,-7807,50611, class:0
9460,13009,-161,-274,9578,12439,-45050,13368, class:0
-5413,-22788,-5289,9107,9117,22554,-5413,-22788, class:0
7812,-11354,-433,-603,-35042,-62289,-39242,-60081, class:0
-360,18085,-261,-378,-15772,10661,-31180,93701, class:1
-8815,-1909,2290,-2123,-7371,5986,-80343,44538, class:1
-9450,-2544,1655,-2758,-8006,5351,-80978,43903, class:1
-15279,62,-4174,-490,-13835,-478,-86807,38074, class:1
-37951,13742,6893,6750,-36507,6870,-109479,15402, class:0
-52322,-549,-7478,-889,-50878,-864,-123850,1031, class:1
65545,-18832,7398,7193,-126247,-21190,65545,31056, class:0
8821,-537,-1609,-1025,8847,-894,8821,725, class:1
-3226,-1193,1281,1094,-3213,1859,-3351,2209, class:0
-3861,-3014,-901,-1001,-3871,4467,-3961,15445, class:0
936,4682,-855,-1e3,-14967,57833,-93486,64553, class:0
32482,36561,32856,32485,32509,36019,-35187,36563, class:0
59371,156893,8536,8424,-111345,158852,-111728,159009, class:0
-116381,961,-12027,-3091,-116301,-2976,-116899,961, class:0
7286,-1464,-1617,-1739,-16765,8467,-16766,13666, class:0
-147,4603,66,689,-49,8924,-151,10909, class:0
-8678,1285,-8610,-4216,-4201,-3359,-8678,1285, class:0
-18211,11606,-2258,-2369,-18167,11271,-18349,11611, class:0
-638,-1127,-573,-715,-7008,4375,-7883,13738, class:0
-17286,16207,3636,3511,7896,19449,-17956,22363, class:0
-26150,7343,-566,-741,-968,10585,-26820,13499, class:0
-38699,927,-5130,-568,-13517,-479,-39369,950, class:1
211021,270075,211204,222008,259081,270075,211021,270094, class:0
-68,82,-617,1130,-853,2120,-898,3748, class:1
-1261,-1111,43,-63,-2046,927,-2091,2555, class:1
-412,1203,-242,689,728,1203,-1131,3222, class:0
-3021,-1906,-250,-284,-13634,-8635,-25859,19301, class:0
-9973,-911,409,317,-12078,8140,-14648,9796, class:0
-46507,4805,-3816,2864,48299,3066,48180,4809, class:0
-271,1514,-791,1225,1311,1233,-3154,1950, class:0
-932,1186,-394,-299,-890,-158,-1003,1186, class:0
-1756,-2498,-954,-1097,-1724,-2836,-1823,-2498, class:0
9140,6577,2345,2161,9804,3316,9140,6580, class:0
4627,75,4664,-41,-5263,4540,-5927,-8487, class:1
-786,-87,-80,-130,-1602,933,-1765,1757, class:0
-1009,-310,229,134,-1825,710,-1988,1534, class:0
-1017,9242,-926,7403,-1020,7706,-1172,13083, class:0
-23,190,-268,78,-10072,108,9651,4031, class:0
15900,8016,-391,-490,-20715,28306,-20840,30429, class:1
-9208,1544,-8910,1227,-9178,1275,-9253,1544, class:0
28523,369,-789,-981,-29512,-884,28523,17342, class:1
-9158,9062,1026,832,-8877,5972,-9537,9062, class:0
944,1835,1059,1137,1031,12549,18919,12998, class:0
1036,2618,1685,2434,1541,3095,-9640,3151, class:1
-36095,-4478,-15832,-16063,-30539,-15746,-36095,-4478, class:0
-2784,495,324,201,-2681,4436,-26566,6519, class:0
1842,-1773,1915,-2177,-18860,11078,-28193,13919, class:0
-4880,37,-9128,-359,-9505,-4542,-12410,37, class:0
-2668,2005,-2631,1971,-2668,25803,-16698,27476, class:0
-3821,-2198,-2360,-2584,-8070,14875,-27626,16548, class:0
-1874,2212,-1710,586,611,1423,-2963,2217, class:0
-1612,479,-1543,-414,-397,604,-1613,1136, class:0
-2060,31,-1991,-862,-845,156,-2061,688, class:0
-1551,-7647,79,28,-1343,-8052,-1551,-7647, class:0
-10449,-3812,-3893,-4029,26981,5248,-46686,-46876, class:0
-3125,1932,94,-90,-3095,1386,-3125,1932, class:0
-11528,5704,-662,-757,-11318,4357,-11591,5710, class:0
-347,5391,-98,907,-647,4769,-1028,6307, class:0
-4145,588,-2813,-66,-3857,-34,-5831,1504, class:0
-376,17,-539,-600,-4156,6669,-7701,7865, class:0
-5275,7610,1540,1400,-5390,7284,-5548,9288, class:0
-854,-5323,-175,-6962,-508,-6706,-854,-5323, class:0
-12576,-17045,7141,6952,-12230,-18428,-12576,-17045, class:0
-23126,11163,-2868,-3016,-22780,11026,-23126,11163, class:0
898,3862,942,2108,920,2277,-45799,25933, class:0
-8229,1118,-5110,-230,-13550,-105,27896,1120, class:1
1502,-2406,1594,-2499,-3904,-4013,-4936,-8697, class:0
-1075,-2723,-1055,1853,1947,4101,-1139,-2723, class:0
477,2450,599,751,845,2999,-2241,3663, class:1
-413,164,-357,-150,-141,713,-4527,1377, class:0
-1057,10,-1001,-794,-785,69,-5171,733, class:0
2,9351,74,404,426,4827,-179,-15932, class:0
54,-1210,532,325,-12070,-7669,-12675,-28428, class:0
3288,-1190,-2152,-1972,-39314,-1984,-39919,42290, class:0
-378,719,-48,48,-929,2984,-1190,3058, class:0
-582,-776,-395,-520,-2424,1489,-2685,1563, class:0
-1315,693,-61,-178,-3157,756,-3418,830, class:0
-1396,7336,72,-70,-32184,-12652,-32271,30497, class:0
-2837,2391,-118,-10,-58120,2391,-58207,4561, class:0
-3912,1316,-436,-552,-59195,1316,-59282,3486, class:0
296,1168,-527,527,594,1176,-1743,2178, class:0
-120,204,-2,-85,-60,-78,-1688,2120, class:0
724,1258,914,1137,-2826,-6134,-5198,-5846, class:0
-697,1290,-399,429,-1867,3347,-2106,3659, class:0
-469,996,-196,184,-1512,1937,-2095,2210, class:1
-1299,166,48,140,-2342,1107,-2925,1380, class:0
-6065,182,-3151,-1057,-3192,-356,-7047,182, class:1
-2298,7099,-1717,-1835,3544,7969,-2491,8394, class:0
-173,12915,-141,402,464,13087,-254,-26681, class:0
-18828,-1546,-12487,-1619,-12561,16483,-29054,16798, class:0
-33383,2002,-83,-119,-27116,1928,-43609,2243, class:0
-21400,5768,5809,5608,5614,8447,-21607,12984, class:0
-31277,-454,-1438,-897,-4263,-851,-31484,3107, class:1
-5074,18398,1400,1308,-5173,18373,-5323,-29616, class:0
-8230,15242,1179,1040,-8329,15217,-8479,27860, class:0
2979,5824,-1063,-1118,-1094,14231,-5878,-16227, class:0
-2520,325,1241,-496,-6593,8732,-11377,12073, class:0
-5512,-809,-641,-851,-6034,1174,-6089,2e3, class:0
-4666,5977,-4330,4180,-4537,-4407,-7638,12209, class:0
6363,2662,2690,2559,-3590,12349,-9513,12578, class:0
-4307,1473,120,36,-14260,1679,-20183,1908, class:1
-29071,-13553,-22673,-13892,-38682,-13635,-54976,-13553, class:0
2546,16462,-1742,-1865,-8550,15196,-8840,16464, class:0
13,50318,108,51,82,50001,-217451,380083, class:1
-9,50296,86,29,60,49979,-217473,380061, class:1
-64333,-19717,-64065,-20050,-64482,-20034,-287486,310048, class:1
4906,-6408,-1624,-1688,-37772,7142,-41160,29812, class:0
-41856,60607,-2621,-2727,-134635,86028,-134741,87525, class:0
79477,39885,-9956,-10019,79615,193215,-280399,301666, class:1
-1465,17546,-1265,3108,-1432,26279,-1630,27003, class:0
-1984,797,-1727,407,-17120,-1764,-32725,801, class:1
2654,3320,-1374,-1461,-5054,2990,-5515,57713, class:0
-7297,3460,-2659,-2815,28524,5015,28449,29827, class:1
627,-453,-449,-574,4231,1895,4127,2324, class:0
-88578,27778,-1639,-1839,-88474,27427,-88578,27778, class:0
42119,-81955,42182,-82070,-85662,96963,-85897,112373, class:0
2859,18115,864,786,838,27560,-26756,28626, class:0
12e3,20501,12,-100,12257,23393,-13312,25110, class:0
11091,19592,-897,-1009,11348,22484,-14221,24201, class:0
10400,18901,-1588,-1700,10657,21793,-14912,23510, class:0
-8486,-66,198,-370,-8310,2826,-33879,4543, class:0
-12210,34692,-11778,22563,-12017,-41865,-78570,-40148, class:0
69688,115626,-22359,-22433,71360,110853,-117501,118365, class:0
-4061,2717,255,58,135,2577,-13759,2727, class:0
