TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-244,768,-91,317,-93,811,6456,874, class:0
-783,229,-630,-222,-201,272,5917,335, class:0
-210,2566,-35289,-35037,-196,793,-210,2566, class:0
-254,2522,-35333,-35081,-240,749,-254,2522, class:0
1565,53,120,27,-1519,1393,-5108,6485, class:0
-102,1557,155,1324,-102,1557,-102,1557, class:0
-4632,-6539,73,3,-17316,6616,-17432,8647, class:1
-1793,92,-128,-55,-1921,-9,-2375,94, class:0
-4891,-45630,-4701,-52448,-8603,-46777,-8675,-45630, class:1
-53,4424,15,3665,3848,10352,-168,13501, class:1
-6638,-6722,474,381,-9937,17101,-60546,19004, class:0
-1236,184,46577,163406,-1032,101,-1236,184, class:0
-1595,14414,-1134,1843,-1427,33763,-1595,34987, class:0
-6586,605,-2486,-961,-9762,-893,-10115,605, class:0
-19218,483,-6831,295,-21783,485,-30278,936, class:0
2601,1341,-1341,-1544,-14682,-1322,-14691,11260, class:1
-2774,2745,303,4,-21571,1256,-21580,4371, class:1
-12404,239,-3744,-1771,-18224,-1634,-76948,434, class:1
-3290,25725,-3263,25240,25296,34521,-3350,38723, class:0
-15532,13483,13168,12998,13054,22279,-15592,26481, class:0
-24354,-47,-9558,-3641,-74475,-2157,91787,74799, class:1
-1035,8125,-963,-1068,45418,22888,44892,27904, class:0
1301,2852,44,-56,-2746,2697,-2985,3655, class:0
207,1758,354,160,-3840,1603,-4079,2561, class:0
-1939,674,734,626,12336,653,12336,5351, class:0
-11252,5931,1250,1043,1097,5345,29817,7021, class:0
-13602,-6613,-8219,-6780,83652,-20853,-193369,88606, class:0
-385,7117,-269,6549,-379,14126,-595,17089, class:0
-2966,-109,-290,-283,-2898,-178,-3981,-109, class:0
-661,4334,-371,1128,-657,4264,-6562,4334, class:0
-7292,-386,3813,-600,-5848,7509,-78820,46061, class:1
-263303,-209950,-218459,-211870,-261859,-211845,-334831,-209950, class:0
-315996,-262643,-271152,-264563,-314552,-264538,-387524,-262643, class:0
-394898,-341545,-350054,-343465,-393454,-343440,432081,-341545, class:0
702,-2196,937,792,-8453,6800,702,6884, class:0
1541,515,1766,-1657,1679,-1475,1541,515, class:0
-83,8285,-10,1432,8242,-9110,-135,-8760, class:0
9815,-7862,-6419,-677,-54653,10659,75468,11692, class:1
5584,6545,3267,4164,-58884,6428,71237,7461, class:1
4420,5381,2103,3e3,-60048,5264,70073,6297, class:1
-2168,2403,-2019,-485,-2100,-58,-2168,2403, class:0
-1361,-11088,-546,420,-645,-11480,-1402,-11088, class:0
-3704,37076,-2856,-2979,10979,31433,-3704,41866, class:0
-179,25465,125,-14590,-625,19822,-15315,30255, class:0
-29077,1354,-3306,-1750,-29523,-1648,43884,1357, class:1
2685,3194,-77319,-77107,2685,3194,2685,3194, class:0
1733,2242,-78271,-78059,1733,2242,1733,2242, class:0
50812,148334,-23,-135,-119904,150293,-120287,150450, class:0
-4082,151,-1424,-264,-4172,-193,-16510,464, class:1
-4549,-315,-648,-832,-4573,-735,-4640,28202, class:1
-11427,-7193,6097,6004,8800,-7613,-11518,21324, class:1
-2414,12888,-2193,5458,-2413,22819,-2414,28018, class:0
-5215,593,-1492,-289,-17174,-32,-17268,788, class:0
-4144,934,-1399,852,-10514,869,-11389,10232, class:0
-24032,9461,1254,1100,1150,12703,-24702,15617, class:0
-3127,1107,-2576,447,-2756,1003,-3150,1330, class:0
-7770,-860,226,603,-8300,7769,-8649,10255, class:1
-8618,-1708,-134,-245,-9148,6921,-9497,9407, class:0
1388,2574,1507,1871,1890,3572,-5399,4428, class:0
-717,61,-209,-127,-1079,-77,-3839,730, class:1
-13704,557,-3322,497,-15809,4409,-18379,6065, class:0
-12597,-413,-9853,-2609,-10137,-1869,-13281,1097, class:0
-7,2182,305,540,106,810,-7,2182, class:0
-991,33923,145,32256,-991,77411,-1362,84709, class:1
-307,-276,43,-197,15639,-371,12295,6927, class:1
-4827,1059,-3741,-674,11119,1059,7775,2407, class:1
-3329,1993,-1364,-1498,-1441,2598,-4785,6141, class:0
-4987,5272,3517,3433,-4990,3736,-5142,9113, class:0
309,522,64,33,-9740,440,-9892,4363, class:0
6955,3204,851,708,7563,-3480,6955,6650, class:0
