TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-617,300,748350,749788,-617,300,-617,300, class:0
-1331,8721,-1059,-1150,-1130,15623,-2192,17509, class:0
-6429,-5601,5023,4921,-11411,4983,-17581,6470, class:0
-8809,3630,2643,2541,-13791,2603,-19961,4090, class:0
-9180,3259,2272,2170,-14162,2232,-20332,3719, class:0
-455,1204,-198,971,-455,1204,-455,1204, class:0
-341,-16,202,-133,-2362,-38,-2486,-3970, class:0
-4115,-14827,-3903,11984,-4042,48980,-35893,-55612, class:0
-6413,60,-3809,-3482,-81292,-3294,17083,60, class:1
-9227,-101,-2303,-709,28642,-632,19983,4178, class:1
-10019,186,-3095,-1501,27850,-1424,19191,3386, class:1
-3421,20696,-3166,12179,-3356,16552,-3549,21027, class:0
4760,2539,231,-303,5113,1531,4760,3927, class:0
-3448,1208,652,527,-6624,919,-6977,3743, class:0
-582,-2145,-466,1591,-467,-5329,-582,-2145, class:0
-94831,39,-3356,-1188,-155752,-732,-158431,39, class:1
-576,-574,-564,-734,-7435,1491,-8501,5257, class:0
32,-155,-298,143,-9285,157,-10351,3407, class:1
-15,5822,599,2914,224,5667,-15,6625, class:0
-34,5803,580,2895,205,5648,-34,6606, class:0
-578,973,-431,256,-4625,818,-4864,1776, class:0
286,3089,-80,27,57,5494,-1404,7548, class:0
-1741,1066,1025,847,-4447,990,3841,3044, class:0
-9879,2342,391,393,-9845,-62,-9907,2701, class:0
-9659,-2157,-269,-382,-9653,4852,-9869,7815, class:0
-2183,655,-926,82,-2183,655,-2183,655, class:0
-5389,1626,-1017,733,-2562,1294,-5389,1626, class:0
2535,7435,2821,2531,2535,7435,-3372,7505, class:0
-5974,1041,-1602,148,-3147,709,-5974,1041, class:0
-7547,-43293,-7382,-46865,53752,-46701,-8804,-43293, class:0
43502,15576,6792,6720,11318,15623,43502,16710, class:0
-7416,517,-103,-240,-27233,-797,41925,16804, class:0
-1414,-226,-4604,-1446,-1414,439,-1414,439, class:0
-4132,-2279,-7322,-4164,-4132,-2279,-4132,-2279, class:1
-1537,340,-1244,-824,64184,-693,64116,340, class:1
-26175,-501,-404,-655,-26621,1254,-41311,4259, class:0
21213,39356,21341,21926,21282,71709,-160464,72242, class:0
-182,20850,1,16982,-90,38935,-182,40697, class:0
-1132,5240,-4,-129,8374,3479,8334,5241, class:0
7521,11600,7895,7524,7548,11058,-60148,11602, class:0
3213,7292,3587,3216,3240,6750,-64456,7294, class:0
-766,4378,-104317,-103492,-766,1567,-766,4378, class:0
-848,4296,-104399,-103574,-848,1485,-848,4296, class:0
-3180,-10011,-2e3,10100,-2713,10901,-3180,-10011, class:0
2232,3283,2346,2185,-6813,2950,-7e3,5956, class:0
35549,3139,-3571,-1813,35621,-1619,35549,3142, class:0
32664,254,-6456,-4698,32736,-4504,32664,257, class:0
-1265,-1115,39,-67,-2050,923,-2095,2551, class:0
-11484,4375,505,325,-12014,4055,-12363,6541, class:0
-32,4234,-7,2630,-27,3730,-11638,29913, class:0
1019,5937,1093,4980,-5243,18050,-5362,19944, class:0
-3117,12680,-1193,-1294,-3079,12408,-3134,14914, class:0
-370,666,-257,200,-310,1974,-371,2195, class:0
-60,1259,-6936,-6350,15,761,-60,1259, class:0
-324,995,-7200,-6614,-249,497,-324,995, class:0
1317,1231,-702,-930,-892,7625,-4207,7710, class:0
12848,-150,-708,160,12973,246,12848,2787, class:0
-386,1558,-88,-179,-356,-84,-431,10366, class:0
-26252,25680,-4122,-4179,-4160,40766,-26306,41665, class:0
-31376,20556,8780,8763,-9284,35642,-31430,36541, class:0
-48265,3667,1439,1339,-26173,18753,-48319,19652, class:0
-5805,9808,-4618,-4772,-8888,9969,-9905,20930, class:0
12122,-979,-154,-256,12215,-4011,12122,6950, class:0
8223,1710,-1403,-756,8883,-569,8223,5105, class:1
-5737,21324,-5433,20165,-5667,25265,-5737,27348, class:0
-7947,-417,-1173,-749,-7844,-727,-31729,1356, class:0
1856,627,1903,-578,-554,267,1856,627, class:0
-4892,32800,-4753,14316,29310,50581,-4892,51181, class:0
-290,-289,4,-49,-8269,947,-23732,1538, class:0
-8108,-3262,-5484,-4208,-20874,-7021,-21761,-3262, class:0
-17217,15,-2634,-1376,-17007,-1332,-17280,21, class:1
689,9559,89,-45,-1839,12436,-2020,12836, class:0
-19,2461,1104,981,1096,5338,-9118,5738, class:0
-3247,16001,-2636,-2700,15218,27404,-3896,28520, class:0
6418,-722,-682,-782,-1505,10681,-20619,11797, class:0
-917,4819,584,471,1130,4730,-917,4827, class:0
-2308,1474,-1979,1074,-2215,1385,-4262,1482, class:0
-508,13018,-244,898,1224,-14549,-923,-14420, class:0
-2258,11268,-400,-555,-526,16171,-2673,-16170, class:0
-7021,121,-6543,-1246,-16805,-108,12574,176, class:1
-5806,-45,-5101,-376,-346,775,-6150,1665, class:0
-15918,4829,4351,3767,-15918,5032,-15927,5741, class:0
-5966,-150,-407,-588,-16452,-13784,-10380,-325, class:0
-3534,-2248,382,267,44060,12887,41042,14550, class:0
-1500,-797,-1435,-1027,-2579,4285,-2878,4348, class:0
-3073,4233,113,21,-3209,5158,-18215,32684, class:0
-853,612,-42,-200,-1896,1553,-2479,1826, class:0
-1736,-54,-30,50,-2779,670,-3362,943, class:0
-45410,68486,-19442,-19584,-45127,-155118,-62036,-154580, class:0
52979,56900,21786,21755,-56713,-166704,-73622,-166166, class:0
-3889,2966,-3494,2742,-10043,2774,-10179,2966, class:0
-5054,2161,-768,-8,-5040,443,-5055,2175, class:0
54620,70775,55046,61042,54870,81226,54620,81803, class:0
48059,64214,48485,54481,48309,74665,48059,75242, class:0
-3052,1622,-63776,-62365,-933,554,-3052,1622, class:0
-9916,25281,-9376,23701,-9498,25067,-9984,27200, class:0
-2717,820,-2510,-1484,-35878,-1313,-36364,820, class:0
-24604,-1132,1383,1204,-24703,-1157,-24853,11486, class:0
-130,-20872,-61,-214,-83,-21827,46948,36599, class:0
23254,9717,248,119,23422,137,23254,12905, class:0
-12615,-532,-2017,-731,-2110,-2076,-15587,4260, class:0
-115,42244,275,132,84,42224,-662,58270, class:0
-14593,16979,11234,11150,-14385,-14254,-17773,53199, class:0
14556,9245,102,-161,14694,6994,14556,9838, class:0
-7862,10113,-4621,-4714,-5735,10204,-7935,-12095, class:0
-26736,37,-995,756,-27579,-747,-60752,2972, class:1
-27757,2,-2016,-265,-28600,-195,-61773,1951, class:1
-7792,13731,-4349,-4462,-4447,87364,-8076,91839, class:0
1392,8207,52,11,-9070,17652,-36664,18718, class:0
-16766,-3737,-8082,-5687,-16590,-5454,-42159,-3737, class:0
-2930,46,-1613,-931,-154336,-177,-685161,1114, class:1
-3960,70,-2643,-1961,-155366,-1207,-686191,84, class:1
10969,-10433,11037,10926,-11476,35063,-16345,75246, class:0
-2067,-225,-316,-311,-2282,-225,-2506,695, class:0
17302,-776,399,269,-46700,-1234,-122822,29211, class:0
-2236,1090,-2008,-1920,-74821,-1717,-150943,1090, class:1
-28882,506,-12564,-4582,-14702,-4310,35719,511, class:1
-6269,884,883,734,-17679,5039,-18503,6368, class:0
-12147,490,-4995,-1233,-23557,-839,-24381,490, class:1
-16919,-33719,5414,5218,-16683,-33969,-16950,-33719, class:0
27925,819,303,223,28730,388,27925,8709, class:0
-1449,-10607,-1218,-1300,-35617,46182,-35726,67365, class:0
-8588,-232,-3188,-713,-22675,-356,42536,1698, class:1
-10034,250,-4634,-2159,-24121,-1802,41090,252, class:1
-4273,1687,-3473,1245,-12602,1391,-13360,10250, class:0
-7041,-848,-6241,-1523,-15370,-1377,-16128,7482, class:1
-7413,-1220,-6613,-1895,-15742,-1749,-16500,7110, class:1
2341,694,934,494,-9486,533,-9562,3508, class:0
-17793,3946,138,-30,-17840,11019,26702,15584, class:0
11395,190,-2432,-1941,11531,-4226,11395,277, class:1
