TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-108,886,450310,451748,-89,849,-108,886, class:0
-837,157,449581,451019,-818,120,-837,157, class:0
353,104,97,-19,333,1012,-1787,3341, class:0
-404,-2311,198,43,-13088,10844,-13204,12875, class:0
-9306,1106,-5717,347,-17535,493,-21428,1108, class:0
-7366,47676,-7291,47616,-26595,51403,-26667,54757, class:0
-2100,10245,-1897,8917,-1939,34068,-43579,35971, class:0
-1689,4940,-616,-695,-23747,3291,55303,5194, class:0
-9033,10166,-48,-197,-8996,-4671,-9080,10167, class:0
-38069,28570,20716,20629,-93798,25275,-94492,43310, class:0
-2704,6179,392,291,-2399,5171,-2781,7567, class:0
-161389,-147244,55926,55859,-249914,-147720,-250121,-399859, class:0
-4436,2328,-881,-1060,-4436,1380,-4456,24769, class:0
-19614,2244,2315,2158,-19614,8943,-19634,9591, class:0
-178,1293,246,1165,-17461,-4101,-17470,8481, class:0
-4418,-34795,-4296,-36139,16295,-36078,-5229,-34795, class:1
-23568,739,-8772,-2855,-73689,-1371,92573,75585, class:0
902,-380,3460,-514,-12272,7817,-13340,8212, class:0
-2164,19,-1561,-506,-1659,-288,-2164,19, class:0
-26362,-23640,-2703,-2922,-4607,31055,-26434,31984, class:0
17286,7059,-3590,786,-12539,898,17286,7059, class:0
-93,4730,-32,1806,1831,4600,-93,4730, class:0
-2059,2764,151,-160,-135,2634,-2059,2764, class:0
-2143,695,-886,122,-2143,695,-2143,695, class:0
-5389,1626,-1017,733,-2562,1294,-5389,1626, class:0
-5957,1058,-1585,165,-3130,726,-5957,1058, class:0
-4810,185,-2443,-446,-4806,115,-10711,185, class:0
84998,618,-1781,-1904,-106794,-1737,84998,50509, class:1
-7547,-43293,-7382,-46865,53752,-46701,-8804,-43293, class:0
36862,8936,152,80,4678,8983,36862,10070, class:0
3739,-271,3803,-372,3764,-355,-6453,-271, class:0
-1777,100,-1484,-1064,63944,-933,63876,100, class:1
-1896,2675,-1747,-213,-1828,214,-1896,2675, class:0
6537,24680,6665,7250,6606,57033,-175140,57566, class:0
-1638,-59077,-1447,-60103,66058,-59571,-1638,-59077, class:0
24381,121903,24420,-26566,-146335,123862,-146718,124019, class:1
-1536,13816,-1376,3335,3413,11269,-1939,15035, class:0
1637,4964,1645,1516,1547,2417,-10791,6183, class:0
-1901,8284,559,134,-1812,7951,-1999,10957, class:0
4018,5069,-1405,-1536,-5027,4736,-5214,7742, class:0
-1919,5982,-948,-1100,4349,6278,-2346,6430, class:0
-13796,22129,-2655,-2820,-13692,50075,-13841,50400, class:0
1638,6631,1733,1600,-29190,34577,-29339,34902, class:1
-611,6860,-538,539,-53138,10629,-53287,10954, class:0
-146,273,87,-14,-508,104,-3268,1301, class:0
31888,913,700,567,-33481,-2599,31888,24416, class:0
-143,5647,150,5385,-675,8,-755,6436, class:0
-898,4892,-587,4630,-1430,-747,-1510,5681, class:0
11946,4062,3838,3701,-24669,24352,-24794,26475, class:0
-23496,-57273,14223,14170,14208,39800,-23658,-57273, class:1
15051,36139,9946,9831,15285,9940,-53518,77270, class:0
-7339,13729,-7080,12322,-7125,-12470,60434,54860, class:1
-1852,-1590,-1504,-1632,-105950,16358,137077,20607, class:0
-16089,-4044,-364,-505,-15888,4297,-20337,4778, class:0
-19946,918,-574,305,-19745,440,-24194,921, class:0
-564,161,-914,38,-6506,1264,-9230,1971, class:0
-449,1122,100355,116276,112,429,-449,1122, class:0
1783,2674,1898,1976,1870,13388,19758,13837, class:0
-10988,-40,-427,282,-28241,295,-29102,5967, class:1
-2747,1339,-2583,-287,-262,550,-3836,1344, class:0
-406,-1006,-166,-1308,-376,-1095,-406,-1006, class:0
-8617,5290,98,-72,-12536,-8253,68844,64375, class:1
9170,2777,-1121,-1287,-15049,-10766,66331,61862, class:1
-3247,16001,-2636,-2700,15218,27404,-3896,28520, class:0
-5337,8189,-1113,-1204,-3605,13092,-5752,13376, class:1
-13506,-25997,-13193,20564,-13506,-26115,-13588,-25997, class:0
-14760,-27251,-14447,19310,-14760,-27369,-14842,-27251, class:0
-6162,-3602,-3827,-4140,-12037,-3955,-12080,15144, class:0
18176,2537,-8459,2159,20905,2373,18176,2540, class:0
63,-172,-168,-222,-3451,830,-3971,1198, class:0
-11984,-138,-98,-342,-11946,-98,-12004,4286, class:0
-95314,-88140,64993,64990,-95914,127569,-102818,143712, class:0
-196,99,-54,50,-31108,-2080,-31409,3649, class:0
6776,10560,1764,1689,10335,36675,179038,40089, class:0
-44224,-4912,112,7,64631,6102,64445,6567, class:0
-8357,-23751,3537,3372,-8209,-29464,-8582,-23751, class:0
-32008,20247,3099,2938,-13995,18213,-32233,20254, class:0
-7986,2657,1069,860,2519,2472,-10958,8889, class:0
-7325,6591,-50,-223,-18421,5325,-18711,6593, class:0
-1417,3476,-98,-208,-1337,5913,-1417,7255, class:0
-1472,613,43174,46258,-1454,-18,-1472,613, class:0
-1695,129377,-1622,-1693,193064,131671,192640,170511, class:1
54748,-5494,-6229,-6474,55172,-6221,54748,32619, class:1
-46999,55464,2842,2812,134497,80885,134419,82382, class:0
-5276,-3336,2210,2088,75697,22085,75619,23582, class:1
-1736,8368,-1556,8172,77674,125420,-84292,130624, class:0
2964,3803,2273,2112,2121,-9637,-31052,32672, class:0
84,994,-54,433,-97,2105,-531,2746, class:0
-2475,187,-1564,-490,-2656,-377,-3090,187, class:0
-27541,2943,-15412,2862,-27444,-14668,-27591,2943, class:0
678,16864,1111,1031,-2266,28602,-2359,31167, class:0
-5153,40785,1719,1649,-3481,36012,123697,43524, class:1
-65914,100123,-29254,-29426,-29326,123368,-560151,126124, class:1
-576,17095,357,220,229,16702,-576,17095, class:0
-5328,19671,-64,-129,-5339,-58739,-5448,-58600, class:1
11459,-436,-352,-480,-10734,-7694,-14177,-55015, class:1
8069,-3826,-3742,-3870,-14124,-11084,-17567,-58405, class:1
-9751,679,633,433,-80906,14209,81620,14462, class:0
-1962,43326,-1583,21711,-1804,40756,-2301,43336, class:0
-30201,19349,-1877,-1988,-43199,16980,-54587,19352, class:0
-31776,17774,-3452,-3563,-44774,15405,-56162,17777, class:0
-2323,16526,1253,933,-2226,16196,-2345,16958, class:0
3025,-3493,3362,-3698,12871,-6952,-4917,-3493, class:0
2862,-3656,3199,-3861,12708,-7115,-5080,-3656, class:0
22604,37717,22786,22889,22924,42960,-51879,43324, class:0
-2030,17615,1563,1309,-11507,17363,-11784,18299, class:0
229,-614,324,415,-1049,690,-2504,16251, class:0
-2571,239,-1947,150,-3757,239,-4932,-7636, class:0
-3556,89,-2932,-835,-4742,-746,-5917,-8621, class:0
-2105,9295,-1785,2798,2819,15444,-21550,17505, class:1
-950,-292,244,166,-10327,2298,12195,4359, class:1
-964,2260,1838,5109,-892,1849,-1924,6251, class:1
-1833,2071,-336,-383,-372,1722,-2609,2111, class:0
5029,-4287,371,165,20613,15832,18841,17319, class:1
6752,1330,-47,-187,1813,13354,-14012,13593, class:1
-3005,3653,-417,363,-1348,3058,-3163,3653, class:0
-95,4365,-59,3443,3444,4308,-95,4390, class:0
-742,3718,-706,2796,2797,3661,-742,3743, class:0
57143,57779,57311,57389,57251,57729,57143,71986, class:0
53729,54365,53897,53975,53837,54315,53729,68572, class:0
-3611,5143,3,-98,-66,296,-3666,33156, class:0
-413,2718,-15,632,2408,3898,-413,4725, class:0
19707,47171,4646,4588,-30287,46693,-30491,54691, class:0
8033,35497,-2661,-2718,-41961,35019,-42165,43017, class:0
