TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
841,-54,958,-693,876,-465,841,59, class:0
1710,2358,1258,1112,-2633,-3974,-2668,-3450, class:0
-829,183,-676,-268,-247,226,5871,289, class:0
-427,2349,-35506,-35254,-413,576,-427,2349, class:0
-111,-2528,111,213,-79,3039,-111,-2528, class:0
40141,-40587,40359,41234,40186,-41202,40141,-40587, class:0
40099,-40629,40317,41192,40144,-41244,40099,-40629, class:0
-4088,2385,-1484,-1157,-78967,-969,19408,2385, class:1
-1234,-23,-788,-418,-3032,-401,-3337,1641, class:0
1975,1400,-956,627,2584,809,1975,1731, class:0
-421,651,-200,-358,-346,2127,-6249,3914, class:1
-495,577,-274,-432,-420,2053,-6323,3840, class:1
-2878,-169,-2657,-349,-2803,-330,4345,1457, class:1
3484,4391,-894,-1042,-14689,4285,-15247,-18135, class:0
-8,5689,66,-35,-2573,19695,-11068,20146, class:1
9674,-8578,-8953,-8849,9932,26522,-48792,28590, class:0
10002,4044,262,128,12263,2101,10002,4050, class:0
422,2216,224,-354,-1041,1727,-2872,2359, class:0
-1211,5804,-1134,1600,1616,5472,-1211,5804, class:0
-4516,2499,-144,-725,-1689,2167,-4516,2499, class:0
-3001,18740,-2842,7346,-4344,7359,-5016,29476, class:0
-8387,20460,-8101,16565,-8183,-71590,-8387,-69657, class:0
-1675,202,-1382,-962,64046,-831,63978,202, class:1
1024,1731,227,30,2614,13652,-1131,-11199, class:0
-4918,44,-733,-3,-8269,44,-13505,67, class:0
3264,-242,-2016,-419,-11495,-2037,-11585,7821, class:0
-373,136,67021,-214102,-373,136,-373,136, class:0
-7994,6281,5444,5286,-7527,6087,-7994,6281, class:0
-5525,4438,-5457,-1063,-1048,-206,-5525,4438, class:0
-1043,1528,35801,51446,-508,481,-1043,1528, class:0
21552,7e3,1996,1939,21646,6665,21552,7005, class:0
-1789,-38,-1590,-536,-1752,38,-2863,239, class:0
11572,94172,-3592,-4276,-13466,102481,-77829,-127130, class:0
56,7077,180,137,600,8075,-896,8931, class:0
2164,-486,-2298,-928,-2327,-758,2164,1748, class:1
-6088,491,-1890,201,-5053,306,-13080,1222, class:0
857,1772,1299,1142,-1763,1299,-1908,-7251, class:0
794,721,831,666,-9096,707,-9760,-12320, class:0
-7151,-5213,-3739,-3855,-6868,38275,-40498,45573, class:0
-19672,3292,42,-102,-19351,1603,-19672,3292, class:1
-21757,1207,-2043,-568,-21436,-482,-21757,1207, class:1
-1926,-141,-1697,-747,-641,-324,-2241,1002, class:0
-799,824,-350,339,-610,569,-799,824, class:0
2,814,75,-15,9975,11529,-1206,11585, class:0
345,-3270,418,1215,-20357,9581,-29690,12422, class:0
-12059,29402,8184,7496,7746,29032,-22846,29402, class:0
-921,-2150,-874,271,593,1393,-921,-2150, class:0
-2063,28,-1994,-865,-848,153,-2064,685, class:0
-21610,-5156,-4017,-4095,15820,-5913,-57847,-58037, class:0
-333,-262,-175,-338,-1760,7456,-17223,8047, class:0
-1957,5253,-570,-1050,-1012,7102,-1957,7870, class:0
1298,41841,1824,-10099,1722,49702,-27549,50927, class:0
-2203,18544,-1790,17482,-2203,18747,-2212,19456, class:0
-4807,15940,-4394,14878,-4807,16143,-4816,16852, class:0
-14841,5906,5428,4844,-14841,6109,-14850,6818, class:0
-1662,741,-217,-403,-1632,513,-1662,741, class:0
-4171,9884,-3861,-3924,-4761,13688,-4900,-10569, class:0
-13452,603,216,34,-14042,4407,-14181,5741, class:0
-1205,-2853,-1185,1723,1817,3971,-1269,-2853, class:0
-1020,-20,-1111,-525,-845,-62,-3507,414, class:0
-1668,1959,-1402,1435,-7284,12797,-7946,13137, class:0
2144,1953,2278,1083,2664,1233,2144,1955, class:0
-54,-550,26,127,159,597,-361,-550, class:0
-1026,21334,-933,8587,13892,22259,-1114,-24082, class:0
6995,7514,7116,7195,23143,8613,23028,8801, class:0
-3188,1551,1621,1498,10269,1851,9923,2439, class:0
82,-12,379,-18,-2191,1041,-2310,1118, class:0
-177,1451,13222,13991,67,1182,-177,1451, class:0
601,945,420,301,-4473,756,-15725,3781, class:0
-1707,8985,-1567,-1664,-1625,2987,-1926,-15723, class:0
-10931,-239,-223,-302,-10849,-239,-11150,23908, class:0
4334,-524,-523,-623,-6863,4341,-20444,10341, class:0
-2219,-1043,-7,-186,-13455,-528,-27036,3749, class:0
-15963,853,-6947,729,-15120,1871,-19798,5177, class:0
-20238,30338,-2748,-2902,-20235,30208,-20238,30593, class:0
-21045,29531,-3555,-3709,-21042,29401,-21045,29786, class:0
39276,327,-1503,-92,39520,-51,39276,2043, class:1
-536,1444,-41315,-39904,-292,667,-536,1444, class:0
3094,8957,4298,2335,4768,8669,-4856,9032, class:0
-104,4904,43,4180,-94,5921,-132,6547, class:0
-3079,1929,1466,1205,-3069,2946,-3107,3572, class:0
-75,23596,206,6506,25,23571,-125,-24418, class:0
-42102,10153,1056,995,-24089,8119,-42327,10160, class:0
-350,11544,-159,-259,5292,21231,-631,21460, class:1
-783,11111,-592,647,4859,20798,-1064,21027, class:1
-883,11011,580,547,4759,20698,-1164,20927, class:1
-2777,9117,-1154,-1273,2865,18804,-3058,19033, class:1
13383,5581,-2122,-2315,13556,5561,-37325,21607, class:0
-8352,83,-1954,-126,-17963,-49,-34257,7166, class:1
-12242,23908,-1222,-1355,-12227,23332,-12281,23908, class:0
-11767,2149,-1145,668,-22863,883,-23153,2151, class:0
-939,3986,-194,2205,2274,13387,-1297,14210, class:0
-15096,51,-3085,-1505,-11883,-770,-15454,53, class:1
-4608,190740,-4458,75194,-4502,-208192,-4608,-208032, class:0
34765,11383,5472,5300,-22733,12723,34765,18691, class:0
-13200,-1856,-3872,-2117,-12503,-2001,-13268,2087, class:0
-8307,83454,-8221,-8343,-8230,-169911,-9206,-168010, class:0
-135221,-20404,36162,-21941,125696,-21935,310274,256537, class:0
53550,-70524,53613,-70639,-74231,108394,-74466,123804, class:0
9526,-3928,171,-49,-133377,19317,-664202,22073, class:1
-1847,-5,-96,-91,-2062,-5,-2286,915, class:0
