TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-11821,618,-141,236,-16803,-409,-22973,1078, class:0
-2131,-297,-295,-36,-1675,13,-2799,311, class:0
-4203,874,-1600,-844,-4180,-650,-4251,874, class:0
-63,-22501,13,-24219,-27555,-24025,-108,-22501, class:0
1845,1389,-1291,-1302,-7040,1483,-33875,2707, class:0
-12286,-5680,101,15,-14851,7417,-23346,7868, class:1
2864,7930,3043,7176,7325,19008,-55687,20965, class:0
-5878,-5088,-5e3,-5842,-5693,5990,-68705,7947, class:0
-4972,4266,386,78,100,3942,-4972,4266, class:0
-8261,-8234,-8210,-8336,15473,-15658,-57499,67382, class:0
-8517,-11610,2143,1963,-8477,-13372,-8517,-11610, class:0
-146,2423,-48,702,709,2499,-402,2700, class:0
-1625,-439,-394,458,-1123,559,4153,1415, class:0
-7589,13559,-1953,-2029,-2007,35502,-7638,37247, class:0
-191,1137,-110,452,-157,670,-1137,1209, class:0
799,726,836,671,-9091,712,-9755,-12315, class:1
1404,2927,1132,1040,-2900,4870,-5624,5577, class:0
-562,-846,64,-79,-551,-985,-572,-846, class:0
-390,828,142,26,813,30751,-8520,33592, class:1
-3573,410,-3526,-2381,-2059,-1259,-3573,410, class:0
-2726,15361,-2675,-3123,11871,33142,-22331,33742, class:1
8998,18520,-105,-238,-24258,20930,-24503,25215, class:0
-4681,1956,596,388,32749,391,-40918,-41108, class:1
929,5380,975,271,-6225,15228,17598,16568, class:1
-6785,-2334,267,80,9918,7514,9884,8854, class:0
-41041,38507,200,-2,-41014,38033,-41041,38507, class:1
-933,4803,568,455,1114,4714,-933,4811, class:0
-1614,11701,-155,-193,-169,11120,-1775,14833, class:0
3774,7497,3172,3046,-4373,6916,-5979,10629, class:0
3910,714,350,240,-33494,715,-53383,45096, class:0
-1163,812,-1049,639,-1132,-11968,-1794,-11492, class:0
83,151,-37,112,-4074,1140,3944,1452, class:0
-166,4,-425,223,-1950,1282,-2069,1359, class:0
165,175,235,36,-6654,-1425,15397,1600, class:0
-4054,3161,232,-116,-4040,1443,-4055,3175, class:0
-80,1804,53784,147374,638,961,-80,1804, class:0
-9924,-5754,6864,6711,-77113,14124,-139040,16732, class:0
-28576,23679,-3535,-3585,-10563,21645,-28801,23686, class:1
-38694,13561,235,41,-20681,11527,-38919,13568, class:1
-7749,4201,590,315,-7495,1946,-7749,4201, class:0
-18624,1554,-259,-391,-18678,39169,-19010,-23149, class:0
-72444,195325,-72237,145058,-72332,195008,-72444,525090, class:0
-2606,42010,-2338,-2869,-2755,41693,-225759,371775, class:1
129461,-89961,54596,54531,-134726,-90278,-357730,239804, class:1
13733,-6131,13850,-6205,65368,116603,403760,124076, class:0
-4,9728,42,-28,-48420,-3506,-51808,19164, class:1
-7276,-39895,-7108,-45977,-7129,-45863,-23821,-39895, class:1
-4564,2725,94,19,-3867,6635,-4632,-9415, class:1
-612,-560,-531,-638,-1863,1966,-1938,-560, class:1
27938,-14047,43,-85,-26673,-4783,-99468,34523, class:0
-6587,14846,297,189,-6425,24854,-6587,25885, class:0
13733,18184,-876,-1004,-918,22724,-15941,27673, class:0
-2549,1902,-1614,-1714,-17200,6442,-32223,11391, class:0
39931,73370,9764,9464,28820,73335,-47302,104731, class:0
30487,63926,320,20,19376,63891,-56746,95287, class:1
3628,37067,2642,2525,-7483,37032,-83605,68428, class:1
18471,393,142,16,-45531,-65,-121653,30380, class:1
-41631,33836,11799,11658,11662,31528,-41672,-76948, class:0
-766,2743,-70,17,94,270,-1503,8396, class:1
-7369,42284,-5597,-5627,-7326,84214,-7526,94547, class:0
13737,264,-360,-503,-49346,42194,-49546,52527, class:1
5822,11939,3950,3796,-79124,12416,-79324,22749, class:1
2515,8632,643,489,-82431,9109,-82631,19442, class:1
722,6839,363,330,-84224,7316,-84424,17649, class:1
-7034,-134,-739,-569,-91980,-440,-92180,9893, class:0
-7793,15688,-7773,8184,-7817,35781,-8192,40406, class:0
1186,3313,1526,1403,-11812,48367,-23200,50739, class:0
598,126,115,57,-17853,-1437,598,2022, class:1
1874,980,96,-134,-2247,6058,-2877,6092, class:0
-3954,11120,242,164,-3673,16363,-78476,16727, class:0
28755,30972,-467,-620,32920,4884,28755,30972, class:0
-798,6385,122,-290,-178,4391,-858,11913, class:0
9925,609,65,14,25509,20728,23737,22215, class:1
1534,1699,1759,1688,9527,4746,7755,6233, class:0
2345,-413,-1191,-804,4117,-664,2345,823, class:1
-708,2702,-47,-121,-38607,2570,-38651,8499, class:1
-2484,-5,-315,-479,-4477,2723,-4966,3138, class:0
-3919,69768,-3628,13977,35793,68967,-3919,78908, class:0
-31205,27028,-6910,-6991,-6947,26227,33968,36168, class:0
-23339,4125,105,12,62471,3647,42345,11645, class:1
-27,604,-148,-128,65,574,-27,604, class:0
-432,199,304,306,-340,169,-432,199, class:0
884,424,893,162,-2343,6927,-3418,-7286, class:0
1149,1643,-55,45,-930,1619,-7684,3832, class:0
-16203,1065,-52,-125,-16330,875,-17782,20699, class:1
6811,-12850,6950,6843,6843,-13850,-10769,-12850, class:0
-23342,1907,928,804,-28398,1668,40041,8954, class:0
869,1290,16407,16896,869,1201,869,1290, class:0
15,436,15553,16042,15,347,15,436, class:0
-603,512,-460,29,50,292,-603,512, class:0
-443,1465,-415,762,782,1021,-443,1465, class:0
-580,1328,-552,625,645,884,-580,1328, class:0
-22,1676,23,1103,1122,1391,-22,1676, class:0
-426,1272,-381,699,718,987,-426,1272, class:0
-1009,-74,-96,-206,-975,321,-1013,378, class:0
750,142,231,14,11846,2274,11633,10632, class:1
-1356,-1560,-1274,-1911,-1898,8685,-7814,11050, class:0
473,651,-656,576,-2798,1495,-6707,1811, class:0
-10024,15167,8089,7988,-10017,19139,-10174,21530, class:0
-576,8488,-130,-368,-578,13284,-823,14941, class:0
-212,761,-176,9,-121,1101,-296,1689, class:0
-11926,-20982,100,24,-11859,-21273,-11926,-20982, class:1
-71753,-51584,552,468,-145467,46826,-145534,52242, class:0
-1925,11415,-1799,2922,-1902,11248,-2047,21134, class:0
-19186,-28224,87,2,-43216,30831,-75465,32495, class:1
-1787,-1015,-1504,-1660,-5588,4877,-5720,5821, class:0
-975,3562,-589,-1099,-1007,5583,-2024,-5879, class:0
-8631,36726,56,-15,-243753,42378,-336905,45529, class:0
24588,178,1060,-104,-5608,12509,24588,17548, class:1
12150,5107,-2108,15,12940,71,12150,5110, class:1
-1444,2743,-36479,-34931,-1253,-270,-1444,2743, class:0
-49946,73465,-7292,-7500,-49768,71226,196611,73465, class:0
965,-14116,1330,1222,-44158,-20250,-119776,45681, class:1
-19608,22210,-72,-185,-64731,22210,-140349,25108, class:1
-4954,2547,-1627,-1737,-11643,2384,-11679,3491, class:0
825,-3078,871,746,53769,1401,-93002,-121920, class:0
-3698,20941,-3297,15339,-3398,31598,-194839,49168, class:0
110,6942,180,13,-1164,14410,-1244,16218, class:1
-2622,-543,99,19,-10996,4578,8036,6386, class:1
-4502,7521,256,-39,23,-15946,-12488,-14138, class:0
-2004,1756,215,17,162,-16447,-20600,-16351, class:1
1460,75888,1556,75593,75172,105442,-40493,153678, class:0
-13228,-11573,-212,-239,26668,35410,50827,44819, class:0
-8105,-4773,-187,-263,-13279,7964,-17723,8709, class:0
-432,104,109,30,-44136,2725,-44422,4917, class:1
-2320,9810,-141,-226,-5212,13666,-5470,59826, class:1
-3228,784,526,409,-18216,662,-18474,46822, class:1
