TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-829,183,-676,-268,-247,226,5871,289, class:0
39473,-41255,39691,40566,39518,-41870,39473,-41255, class:0
18,355,148,-55,-546,712,-670,-2154, class:0
-1234,-23,-788,-418,-3032,-401,-3337,1641, class:0
-5260,3623,1315,781,-4955,2615,-5337,5011, class:0
3484,4391,-894,-1042,-14689,4285,-15247,-18135, class:0
-26840,-26156,-26431,-26515,-87761,60404,-90440,68030, class:0
-306,-80,109,11,-11371,87,-12437,1321, class:1
-1762,10459,-1561,1569,-1728,8055,-1790,10818, class:0
1357,6352,1647,3146,1361,6282,-4544,6352, class:0
3268,978,-409,-525,3349,797,3268,1632, class:0
-2210,274,400,213,-2179,7868,-10556,-19181, class:0
-15,28832,271,24937,189,-63218,-15,-61285, class:0
-2256,23388,-1952,-16667,-2702,17745,-17392,28178, class:0
3264,-242,-2016,-419,-11495,-2037,-11585,7821, class:0
-4537,19,-996,-784,-19296,-1062,-19386,20, class:1
3076,3585,-76928,-76716,3076,3585,3076,3585, class:0
3449,7195,1658,1513,-12454,60346,-90973,67066, class:0
-146,3600,159,145,-16049,56751,-94568,63471, class:0
25794,-13588,-3658,-3806,-49899,22901,87060,29621, class:0
-56984,211637,-56532,63168,-56601,213596,-56984,213753, class:0
130,15482,-241,5001,5079,12935,-273,16701, class:0
3653,6980,-3260,-3501,-3423,4433,-8775,8199, class:0
-2966,4859,-2906,4435,4454,6552,-10022,7479, class:0
-5525,4438,-5457,-1063,-1048,-206,-5525,4438, class:0
-10090,19727,5863,5752,-10046,19392,-10228,19732, class:0
21552,7e3,1996,1939,21646,6665,21552,7005, class:0
-793,3441,-242,-435,-422,3337,-816,3664, class:0
-1975,519,-1809,-1503,-1485,-1066,-3834,519, class:0
16507,-31918,16667,22467,22474,32790,-16846,-31918, class:0
-85,-827,-24,-22,-53,-1165,-152,-827, class:0
8905,9717,7300,7151,-8940,12386,-14747,16145, class:0
-527,792,-7403,-6817,-452,294,-527,792, class:0
-12738,16046,3638,3569,-12685,-25412,-12810,-22871, class:0
-899,1088,-857,846,19690,11183,19632,13306, class:0
96,313,419,9,-7063,5796,-7092,7050, class:0
-6475,4277,-6177,3960,-6445,4008,-6520,4277, class:0
779,664,429,306,-5163,2607,-7887,3314, class:0
-5025,507,159,60,18459,-1248,17799,14681, class:1
-10684,-250,-1316,-377,12800,3348,12140,9022, class:1
-456,1167,-7,682,-267,912,-456,1167, class:0
-799,824,-350,339,-610,569,-799,824, class:0
-1185,438,-736,-47,-996,183,-1185,438, class:0
1717,3299,2366,3115,2222,3776,-8959,3832, class:0
-40,-29,61,-65,-17293,-458,-18154,16915, class:1
345,-3270,418,1215,-20357,9581,-29690,12422, class:0
-921,-2150,-874,271,593,1393,-921,-2150, class:0
-23471,66725,3484,3423,-23457,127173,-23537,129554, class:0
6050,5905,5397,5053,5124,14340,-10339,14931, class:0
14357,7323,7339,7172,7203,28656,31026,29996, class:0
-12801,214,-6027,-1045,-12504,123,-13364,252, class:0
-7250,12309,480,424,-42120,12309,-42202,14238, class:0
144,354,-77,97,108,230,-1033,16235, class:0
-3884,1757,1675,1494,-14370,-11702,-8298,1757, class:0
-4171,9884,-3861,-3924,-4761,13688,-4900,-10569, class:0
-7787,1356,65,-89,32249,1076,29231,2739, class:1
2144,1953,2278,1083,2664,1233,2144,1955, class:0
-88707,-81533,71600,71597,-89307,134176,-96211,150319, class:0
-2098,10694,-2066,-2190,15792,19218,58329,35361, class:1
-2477,10315,-2445,-2569,15413,18839,57950,34982, class:1
-2564,10228,-2532,-2656,15326,18752,57863,34895, class:1
-4219,8573,-4187,4258,13671,17097,56208,33240, class:1
5068,5799,1529,1484,10897,14323,53434,30466, class:1
4477,5208,938,893,10306,13732,52843,29875, class:1
3995,4726,456,411,9824,13250,52361,29393, class:1
-1707,8985,-1567,-1664,-1625,2987,-1926,-15723, class:0
-10931,-239,-223,-302,-10849,-239,-11150,23908, class:0
2438,2190,1644,1618,-3716,2751,-3852,9293, class:0
-6832,2188,168,60,-6809,1862,-6860,5446, class:0
-895,4982,-659,2965,-810,15841,-1325,16443, class:1
-3015,1688,-1346,-1518,-3537,3671,-3592,4497, class:0
-9564,32795,5199,5058,-9275,32775,-10111,48821, class:0
23316,15514,7811,7618,23489,15494,-27392,31540, class:0
-12242,23908,-1222,-1355,-12227,23332,-12281,23908, class:0
-19825,16325,-8805,-8938,-19810,15749,-19864,16325, class:0
-10473,3873,2460,2382,-27869,3741,-47521,33857, class:0
-4444,-7633,-2272,2190,-33946,12997,33757,13174, class:0
-4608,190740,-4458,75194,-4502,-208192,-4608,-208032, class:0
-19619,140606,-19047,25060,-54636,166027,-54742,167524, class:0
-3581,51635,-3188,32485,-3380,-86949,-64907,-80981, class:0
-1626,-459,-794,-858,-2469,-14227,-35642,28082, class:0
-60154,54663,5485,5407,-60136,53132,-251943,331604, class:0
-135221,-20404,36162,-21941,125696,-21935,310274,256537, class:0
467,7824,497,709,734,7601,-15221,32149, class:0
1051,1356,1184,1094,4740,1133,-21689,25681, class:0
-2703,8679,-2350,8588,-2606,8656,-2753,27781, class:0
-21547,-8379,-9418,-8785,-21450,-8674,-21597,8937, class:0
-4334,-5231,304,148,-29977,7978,-30438,32790, class:0
-41444,-41288,24222,24180,76737,76836,-177086,100832, class:0
-7268,-6023,-7014,-7098,-7066,39473,-11935,-71803, class:0
-29087,2329,881,642,-28958,2115,-29562,2359, class:0
-8091,169823,-7605,35675,-7728,175174,-8117,-174581, class:0
-9526,-2373,-2374,1388,-20936,1782,-21760,3111, class:1
-10259,2378,-3107,655,-21669,1049,-22493,2378, class:1
-10549,2088,-3397,365,-21959,759,-22783,2088, class:1
-11979,658,-4827,-1065,-23389,-671,-24213,658, class:1
-1579,943,-364,-492,-14006,35614,-29289,35766, class:0
-36837,22773,-9172,-9289,-36601,22342,-36868,30663, class:0
-24265,441,-2277,-933,-44703,-727,-44839,441, class:1
-1589,1026,81931,89801,-1552,-425,-1589,1026, class:0
-15480,-15267,-15235,-16005,-15480,-106231,-24067,-104780, class:0
19662,20070,-27608,19950,-27760,22590,-28265,-45010, class:0
10999,-3537,-1713,-1862,38443,-11016,38368,31231, class:0
-276,-3685,300,235,-1868,241,-2343,-3685, class:0
-540,2408,-401,1954,2555,3910,-596,7938, class:0
-468,1009,37947,-38809,-401,123,-468,1009, class:0
-173,1816,-111,-191,-25489,25205,-25687,33364, class:0
-3619,5058,-837,-1019,-3441,3163,-3887,5058, class:0
-9378,-4528,-4667,-4752,-65427,-10643,-65557,27999, class:0
-4653,59787,-4458,27005,-4506,72257,-4653,75648, class:0
