TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-330,682,-177,231,-179,725,6370,788, class:0
1229,2179,87,-61,-21756,10811,-24047,11948, class:1
-6893,-17605,-6681,9206,-6820,46202,-38671,-58390, class:0
-7502,-29940,-7426,22266,22299,-31464,-7547,-29940, class:0
-883,505,-333,320,-523,12348,-1584,14240, class:0
-88,-641,77,-67,-2412,10459,-3473,12351, class:0
-4275,1801,-3934,1589,-56205,1672,-56763,4094, class:0
-95,8186,13,-99,-76,22192,-8571,22643, class:1
15658,-12085,10393,10258,-51532,-12658,-52371,-69183, class:0
-6825,-2684,22,-176,97165,31100,75641,46075, class:1
-2887,9948,45,-99,71088,5023,49564,19998, class:1
-14,319,6,-134,-5139,-118,-6205,7553, class:1
2147,3033,2567,2459,-4847,5234,-7108,5471, class:0
-801,6214,-724,2010,2026,5882,-801,6214, class:0
17,-9965,31,-10151,-276,-12835,-353,-9965, class:1
-8,-9990,6,-10176,-301,-12860,-378,-9990, class:1
12451,3093,30,-117,12477,2732,12451,4355, class:1
6692,9363,5675,5495,-11577,27448,-11669,29210, class:0
16560,31560,-9797,-9915,136175,33519,136175,33676, class:0
-11022,-6788,6502,6409,9205,-7208,-11113,21729, class:1
-2892,7293,-432,688,-2803,6960,-2990,9966, class:0
-36744,17630,2034,1269,1338,37785,-36760,42546, class:0
-1131,15653,-1004,10481,-1393,15601,-1623,43537, class:0
-503,-372,32,-72,-6327,-5916,-21284,20267, class:1
25665,-5310,-4436,-4605,28235,4800,25665,18193, class:0
695,10462,-1141,8108,1562,14262,-1201,15379, class:0
2394,1811,-29,-136,-7089,5611,-9852,6728, class:0
-931,2890,85,-18,-931,3150,-14332,30937, class:0
-96,2004,103,1398,1504,1821,-96,3147, class:0
-7506,10714,553,383,-7225,7624,-7885,10714, class:0
1495,3077,2144,2893,2e3,3554,-9181,3610, class:0
-1427,-120,-258,257,-14193,-340,-15080,3419, class:0
-515,397,335,149,-6708,1406,-7653,2174, class:0
-5479,1184,20,-102,-30839,-26556,50541,46072, class:1
-6609,54,85,-88,-31969,-27686,49411,44942, class:1
617,529,-408,487,38772,32574,38426,33957, class:0
105,17,118,-25,38260,32062,37914,33445, class:1
-24836,9453,-4578,-4726,-24490,9316,-24836,9453, class:0
-653,1827,470,347,462,4704,-9752,5104, class:0
-1585,-512,-459,301,-3878,364,-14092,764, class:0
-9717,3298,-2943,2039,-9420,2084,-10280,3336, class:0
753,20312,79,-47,-34117,20312,-34199,22241, class:0
-1789,38,41,-129,-1659,25295,-5615,27615, class:1
1060,-2449,35,-65,-4146,22808,-8102,25128, class:1
