TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-791,203,449627,451065,-772,166,-791,203, class:0
-5558,-4730,-5485,-5625,-10540,-5452,-16710,7341, class:0
324,3996,9,-190,658,5336,-1165,10428, class:0
-293,-1786,-169,674,-8522,9506,-12415,10121, class:0
39473,-41255,39691,40566,39518,-41870,39473,-41255, class:0
18,355,148,-55,-546,712,-670,-2154, class:0
-555,-144,-12,-347,-2576,-173,-2700,-4184, class:0
-1184,478,22,-152,-1312,600,-1766,703, class:0
4085,2941,1184,1080,6671,2820,4085,2942, class:0
3776,-3397,2113,1756,-6283,1865,-6620,21542, class:0
-6442,749,-2342,-817,-9618,-749,-9971,749, class:0
-4,8277,104,-8,15,22283,-8480,22734, class:1
9674,-8578,-8953,-8849,9932,26522,-48792,28590, class:0
-11189,3311,609,521,-11591,1008,-11917,10926, class:0
10002,4044,262,128,12263,2101,10002,4050, class:0
-12810,9721,4489,4426,-12810,9370,-12810,9721, class:0
-19362,3169,-2063,2044,-19362,2818,-19362,3169, class:0
-1762,10459,-1561,1569,-1728,8055,-1790,10818, class:0
-974,6041,-897,1837,1853,5709,-974,6041, class:0
-162267,-108914,-117423,-110834,-160823,-110809,-233795,-108914, class:0
-26184,39373,-26019,30517,35115,39420,-27441,40507, class:0
-7905,10911,7848,7701,-8198,10550,-8275,12173, class:0
-5805,3370,-8995,-5837,-5805,-3952,-5805,3370, class:1
-2148,-1301,812,712,-2158,6180,-2248,17158, class:0
3264,-242,-2016,-419,-11495,-2037,-11585,7821, class:0
27282,3320,-117,-242,27310,2166,27282,3320, class:0
-7994,6281,5444,5286,-7527,6087,-7994,6281, class:0
-14657,1275,-82,-131,-121,5740,54374,6238, class:0
-910,1661,35934,51579,-375,614,-910,1661, class:0
-1497,2737,-946,-1139,-1126,2633,-1520,2960, class:0
-20424,62176,-20373,-36272,-45462,70485,-109825,100836, class:0
-14085,3596,3239,3115,-104042,11905,140204,42256, class:0
-1012,26851,-754,14830,-833,66534,-1074,68277, class:1
-6088,491,-1890,201,-5053,306,-13080,1222, class:0
-7075,227,-2877,-786,-6040,-681,-14067,235, class:1
-66,2052,175,410,-24,680,-137,2052, class:0
-625,1493,-87,8,-583,121,-696,1493, class:0
-7988,2987,-197,-282,-7956,2429,-8055,4352, class:0
-7579,11323,-6814,6907,-7504,8062,-7618,11326, class:0
5615,247,-5901,-2834,8959,-1101,5615,247, class:1
12372,-230,-1184,-316,12497,-230,12372,2311, class:1
-12738,16046,3638,3569,-12685,-25412,-12810,-22871, class:0
9416,1532,1308,1171,-27199,21822,-27324,23945, class:0
6790,-1094,-1318,-1455,27703,19196,27645,21319, class:0
-899,1088,-857,846,19690,11183,19632,13306, class:0
7536,1210,-3510,-1011,7594,-913,7536,1210, class:0
-11807,-1472,2245,-1685,-11733,2110,-11924,12240, class:0
-3245,-15866,-2835,6411,-2924,-16135,-3245,-15866, class:0
-716,855,100088,116009,-155,162,-716,855, class:0
