,rbp,method,auc
0,Ago2,iDeep,0.7457272222918195
1,Ago2,iDeep,0.749031409366947
2,Ago2,iDeep,0.7422421224020688
3,Ago2,iDeep,0.7442926973781663
4,Ago2,iDeep,0.7306167860371324
5,Ago2,iDeep,0.7421685767226808
6,Ago2,iDeep,0.7318194412957506
7,Ago2,iDeep,0.6720554550934298
8,Ago2,iDeep,0.7198117140276523
9,Ago2,iDeep,0.753810267335057
10,Ago2,iDeep,0.7284688346883468
11,Ago2,iDeep,0.7786032785612125
12,Ago2,iDeep,0.7446693967420563
13,Ago2,iDeep,0.7453641898078576
14,Ago2,iDeep,0.763573784080875
15,Ago2,iDeep,0.7118699381926684
16,Ago2,iDeep,0.6703830210578677
17,Ago2,iDeep,0.7215575601225825
18,Ago2,iDeep,0.7069046211449403
19,Ago2,iDeep,0.7379659718369396
20,Ago2,iDeep,0.723263082437276
21,Ago2,iDeep,0.7622920928852654
22,Ago2,iDeep,0.6767894507272854
23,Ago2,iDeep,0.7404177103418449
24,Ago2,iDeep,0.7109346763442452
25,Ago2,iDeep,0.7002985390082164
26,Ago2,iDeep,0.7620374417249418
27,Ago2,iDeep,0.7382069033971067
28,Ago2,iDeep,0.7461316747572815
29,Ago2,iDeep,0.7186160215636308
30,Ago2,iDeep,0.7639942575339833
31,Ago2,iDeep,0.7236200128302465
32,Ago2,iDeep,0.7569901000230232
33,Ago2,iDeep,0.7353996101364522
34,Ago2,iDeep,0.7280868966163024
35,Ago2,iDeep,0.7250028086731829
36,Ago2,iDeep,0.7191958041958042
37,Ago2,iDeep,0.7222305320324006
38,Ago2,iDeep,0.7553060475841108
39,Ago2,iDeep,0.74499375
40,Ago2,iDeep,0.7413471861471862
41,Ago2,iDeep,0.7473424301494477
42,Ago2,iDeep,0.7449826818755774
43,Ago2,iDeep,0.7183614978039157
44,Ago2,iDeep,0.7485304575316906
45,Ago2,iDeep,0.7423083555030052
46,Ago2,iDeep,0.7335988643562729
47,Ago2,iDeep,0.7264138067942133
48,Ago2,iDeep,0.7233570387045611
49,Ago2,iDeep,0.7440893156246304
50,Ago2,iDeep,0.7093616335880595
51,Ago2,iDeep,0.7331994576756798
52,Ago2,iDeep,0.6937783622112211
53,Ago2,iDeep,0.7298222610722611
54,Ago2,iDeep,0.6970884757314123
55,Ago2,iDeep,0.7781138284165765
56,Ago2,iDeep,0.7278313076227043
57,Ago2,iDeep,0.7393491039426523
58,Ago2,iDeep,0.7368456196581196
59,Ago2,iDeep,0.7983511241749175
60,Ago2,iDeep,0.7674037674037675
61,Ago2,iDeep,0.7701575943005607
62,Ago2,iDeep,0.7371440241712167
63,Ago2,iDeep,0.7371079835895218
64,Ago2,iDeep,0.7057416910717644
65,Ago2,iDeep,0.725838809190231
66,Ago2,iDeep,0.7178469961622843
67,Ago2,iDeep,0.7266081871345029
68,Ago2,iDeep,0.7300812468910629
69,Ago2,iDeep,0.7153686341672995
70,Ago2,iDeep,0.7292885138189006
71,Ago2,iDeep,0.721401497053671
72,Ago2,iDeep,0.7230243161094225
73,Ago2,iDeep,0.7379748468992703
74,Ago2,iDeep,0.6988688762162875
75,Ago2,iDeep,0.754692443094865
76,Ago2,iDeep,0.7271850720991898
77,Ago2,iDeep,0.7547986095367641
78,Ago2,iDeep,0.706071483356343
79,Ago2,iDeep,0.7165023175904217
80,Ago2,iDeep,0.7140804690685287
81,Ago2,iDeep,0.7264987752966636
82,Ago2,iDeep,0.7028671328671328
83,Ago2,iDeep,0.7133073424301495
84,Ago2,iDeep,0.7080510682647212
85,Ago2,iDeep,0.751345314245101
86,Ago2,iDeep,0.7274659863945577
87,Ago2,iDeep,0.7600585178710179
88,Ago2,iDeep,0.7173884403289859
89,Ago2,iDeep,0.7253810848731304
90,Ago2,iDeep,0.7713930939737392
91,Ago2,iDeep,0.7292652247277189
92,Ago2,iDeep,0.7217644986433114
93,Ago2,iDeep,0.708294150836938
94,Ago2,iDeep,0.725083826781765
95,Ago2,iDeep,0.7643805846930847
96,Ago2,iDeep,0.70054375
97,Ago2,iDeep,0.7066734417344174
98,Ago2,iDeep,0.7380477855477855
99,Ago2,iDeep,0.7091801285391697
100,Ago2,iDeep,0.7183814449594645
101,Ago2,iDeep,0.7209746774964165
102,Ago2,iDeep,0.7296768909672136
103,Ago2,iDeep,0.7092512492236068
104,Ago2,iDeep,0.7480282274802822
105,Ago2,iDeep,0.7327152014652014
106,Ago2,iDeep,0.7390025037922401
107,Ago2,iDeep,0.699005424954792
108,Ago2,iDeep,0.6951709097111805
109,Ago2,iDeep,0.7755621498554655
110,Ago2,iDeep,0.7240671254957829
111,Ago2,iDeep,0.7186305361305361
112,Ago2,iDeep,0.7004520795660036
113,Ago2,iDeep,0.7089676322790422
114,Ago2,iDeep,0.7111647715327458
115,Ago2,iDeep,0.7099798406826767
116,Ago2,iDeep,0.74878125
117,Ago2,iDeep,0.7219409282700422
118,Ago2,iDeep,0.7386635715470071
119,Ago2,iDeep,0.710419682535669
120,Ago2,iDeep,0.7228936668347873
121,Ago2,iDeep,0.7430439782524378
122,Ago2,iDeep,0.7669481774668631
123,Ago2,iDeep,0.7335871324995893
124,Ago2,iDeep,0.7514928486478746
125,Ago2,iDeep,0.7177142857142857
126,Ago2,iDeep,0.7505755995959824
127,Ago2,iDeep,0.7087528762080073
128,Ago2,iDeep,0.701589425067686
129,Ago2,iDeep,0.7243845907928388
130,Ago2,iDeep,0.743128390596745
131,Ago2,iDeep,0.6880901614377093
132,Ago2,iDeep,0.7420317242539752
133,Ago2,iDeep,0.7105016106764841
134,Ago2,iDeep,0.7233391608391609
135,Ago2,iDeep,0.739263311311003
136,Ago2,iDeep,0.7343544504826423
137,Ago2,iDeep,0.71528125
138,Ago2,iDeep,0.7868121129048635
139,Ago2,iDeep,0.7143557891383978
140,Ago2,iDeep,0.7434368530020703
141,Ago2,iDeep,0.7298981952481962
142,Ago2,iDeep,0.736604631901651
143,Ago2,iDeep,0.7755825108439125
144,Ago2,iDeep,0.7399280409916398
145,Ago2,iDeep,0.7332638850814189
146,Ago2,iDeep,0.7032948420931654
147,Ago2,iDeep,0.7242740379733983
148,Ago2,iDeep,0.73220625
149,Ago2,iDeep,0.700479028342013
150,Ago2,iDeep,0.7325959158415841
151,Ago2,iDeep,0.7233322957571114
152,Ago2,iDeep,0.7097591655161835
153,Ago2,iDeep,0.7326625
154,Ago2,iDeep,0.7289162670305195
155,Ago2,iDeep,0.7447844763738705
156,Ago2,iDeep,0.7237075111921738
157,Ago2,iDeep,0.7528120615443152
158,Ago2,iDeep,0.7311864584425112
159,Ago2,iDeep,0.7390100876329557
160,Ago2,iDeep,0.7508377039627039
161,Ago2,iDeep,0.6813321153174453
162,Ago2,iDeep,0.7471378924274685
163,Ago2,iDeep,0.7364228318093654
164,Ago2,iDeep,0.7506896057883299
165,Ago2,iDeep,0.7658312706270627
166,Ago2,iDeep,0.7386228857260726
167,Ago2,iDeep,0.7029122834158416
168,Ago2,iDeep,0.7447131940668502
169,Ago2,iDeep,0.7347539417104634
170,Ago2,iDeep,0.7157556152566844
171,Ago2,iDeep,0.7350416297172135
172,Ago2,iDeep,0.7479722411143858
173,Ago2,iDeep,0.6843007341843391
174,Ago2,iDeep,0.7390898131404461
175,Ago2,iDeep,0.705128693268352
176,Ago2,iDeep,0.7344727832823148
177,Ago2,iDeep,0.7215856132463403
178,Ago2,iDeep,0.7226495075642196
179,Ago2,iDeep,0.7083855166847568
180,Ago2,iDeep,0.6940390436190431
