TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-126,791,748841,750279,-126,791,-126,791, class:0
-676,241,748291,749729,-676,241,-676,241, class:0
-121,873,450297,451735,-102,836,-121,873, class:0
109,5967,-55,519,-12344,20223,-14635,-20217, class:0
2272,661,2592,-1113,2388,-967,2272,661, class:0
-10912,720,-4810,4,16788,336,16670,2367, class:0
39532,-41196,39750,40625,39577,-41811,39532,-41196, class:0
838,4327,1235,2999,1112,28150,-49497,30053, class:0
3324,10803,-3500,9558,9610,55090,-39493,70234, class:0
-1169,-4170,-365,-434,-434,5769,-2607,-4170, class:0
-12605,16410,-12578,15925,15981,25206,-12665,29408, class:0
17071,8522,8207,8037,8093,17318,-20553,21520, class:0
62,112,193,20,-9408,34,-10474,3284, class:1
45,95,176,3,-9425,17,-10491,3267, class:1
-13744,-3063,582,420,-6567,15829,-15555,17778, class:0
-10129,12402,-3337,-3553,-10129,12051,-10129,12402, class:0
-18048,4483,-749,-812,-18048,4132,-18048,4483, class:0
-6103,3135,503,-78,-1031,2811,-6103,3135, class:0
-5567,1448,-1195,555,-2740,1116,-5567,1448, class:0
-10544,-3638,561,-3852,-9100,4257,-82072,42809, class:0
64661,-19716,6514,6309,-127131,-22074,64661,30172, class:0
-40260,25297,16513,16441,21039,25344,-41517,26431, class:0
-2434,-401,-1787,-821,-2421,2651,-2559,3001, class:0
-19964,-364,-1316,309,-5428,433,49067,931, class:0
-82,2489,36762,52407,453,1442,-82,2489, class:0
307,6115,522,359,-11652,5490,-11746,6310, class:0
-3871,1937,-148,-384,-15830,1312,-15924,2132, class:0
-21147,33227,17631,16866,16935,53382,-21163,58143, class:0
-1717,6184,-746,-898,4551,6480,-2144,6632, class:0
-2825,5076,-1854,-2006,3443,5372,-3252,5524, class:0
5905,10898,-34,-93,-24923,38844,-25072,39169, class:0
-10816,-5823,-2074,-2168,-41644,22123,-41793,22448, class:0
-5285,1625,-242,-298,-5815,10254,-6164,12740, class:0
305,7326,-339,386,-536,8324,-647,9180, class:0
-3062,-19,-2330,-463,-25972,-359,-40929,622, class:1
-3092,-49,-2360,-493,-26002,-389,-40959,592, class:1
-96622,-2124,556,-1258,-96477,-1094,-96674,2293, class:1
-97444,1414,-266,1276,-97299,-1916,-97496,1471, class:1
-18593,80,-8211,-525,-20698,-480,-23268,1176, class:1
5280,80462,5314,5218,5218,101424,-63754,104985, class:0
-6999,-297,-2801,-710,-5964,-605,-13991,311, class:1
10672,31722,181,74,89,35127,-10816,35808, class:0
-2683,253,-1392,-767,9189,-680,5874,254, class:0
-990,2180,-897,160,165,1157,-990,2180, class:0
-621,-282,-300,826,-3651,-268,-19936,962, class:1
-740,-401,-419,707,-3770,-387,-20055,843, class:1
-772,-433,-451,675,-3802,-419,-20087,811, class:1
-1381,563,-1083,226,-1351,262,-1426,9371, class:1
-35956,15976,4200,4183,-13864,31062,-36010,31961, class:0
-2500,-2909,241,165,-2502,-3514,-2502,-2909, class:0
-4140,2956,-443,-482,-4142,2661,-4142,2960, class:0
-5639,1457,197,62,-5641,1162,-5641,1461, class:0
-4142,22919,-3838,21760,-4072,26860,-4142,28943, class:0
-2366,12559,-2207,11400,-2297,16500,-14502,18583, class:0
-10423,6161,-3378,-3904,-3794,8638,-10438,13423, class:0
-2481,1605,-2317,-21,4,816,-3570,1610, class:0
196,1466,410,205,30130,313,16516,4598, class:0
-4023,4295,-1401,-1618,-1616,4155,-4023,4295, class:0
-2496,1286,-2167,886,-2403,1197,-4450,1294, class:0
-2930,852,-2601,452,-2837,763,-4884,860, class:0
-11413,-1816,475,323,-11380,-18058,-11545,-17961, class:0
-2576,-600,-2224,-776,-34949,-552,-35114,963, class:1
-3e3,539,-2648,-1200,-35373,-976,-35538,539, class:1
-3027,512,-2675,-1227,-35400,-1003,-35565,512, class:1
5478,7488,-1814,-1905,-4306,12391,-6453,12675, class:0
12992,7754,-2861,-2974,-29610,7720,-30215,-45968, class:0
-833,1142,-719,969,-802,-11638,-1464,-11162, class:0
88,387,-364,-463,-1541,1547,-1887,1641, class:0
-1627,5,-1552,-531,-3614,-1845,-11007,2322, class:0
-5947,-298,-3033,-939,-3074,-238,-6929,300, class:1
-3161,376,-2954,-1928,-36322,-1757,-36808,376, class:1
5449,1748,1776,1645,-4504,11435,-10427,11664, class:0
-5920,-140,-1493,-208,-15873,66,-21796,295, class:0
19582,-13342,-4465,-4636,63517,-55168,-146396,289802, class:0
-641,1444,44005,47089,-623,813,-641,1444, class:0
28736,30676,-1204,-1420,109709,56097,109631,57594, class:0
4470,49192,4529,9397,4490,65094,-140424,80483, class:0
-9981,1401,1492,1310,-9884,1378,-10031,20503, class:0
-13115,51,-986,-353,-13018,-242,-13165,17369, class:0
754,16940,1187,1107,-2190,28678,-2283,31243, class:0
-4802,-5892,677,547,-14625,581,-15086,48142, class:0
-33849,24977,6169,6069,-53985,37826,51275,42301, class:0
130,33943,-119,1793,25699,-36498,130,-35516, class:0
20372,66310,20536,21972,22044,61537,149222,69049, class:0
170,1069,17,335,-45,2012,-269,2932, class:0
-13744,17672,-205,-382,-13615,17458,-14219,17702, class:0
-1533,-943,-1305,-1217,-74118,-1014,-150240,1793, class:1
-2220,1106,-1992,-1904,-74805,-1701,-150927,1106, class:1
9853,24573,9919,9859,24263,24957,-33552,39476, class:0
-18852,-35652,3481,3285,-18616,-35902,-18883,-35652, class:0
-108,-7733,-11,-154,-71263,23852,-74706,24105, class:0
-6477,-284,-5677,-959,-14806,-813,-15564,8046, class:1
-6666,-473,-5866,-1148,-14995,-1002,-15753,7857, class:1
-7460,-1267,-6660,-1942,-15789,-1796,-16547,7063, class:1
7827,-8178,717,647,-9338,14557,-9413,14838, class:0
-1487,1998,94,-33,-22231,1738,-22292,3439, class:0
95,-3898,116,35,-19,1956,-1194,-3898, class:0
-155,4029,3607,6878,745,3618,-155,8020, class:0
-3186,81436,-3035,4501,68392,86266,-80751,93722, class:0
2771,13,-765,-378,4543,-238,2771,1249, class:1
2468,-290,-1068,-681,4240,-541,2468,946, class:1
1627,105,-1909,-1522,3399,-1382,1627,105, class:1
1597,75,1907,-1552,3369,-1412,1597,75, class:1
1575,53,1885,-1574,3347,-1434,1575,53, class:1
-2351,4307,237,88,-694,3712,-2509,4307, class:0
-4135,12357,-3227,-3483,-3274,17475,-4135,19350, class:0
-29693,7074,-465,-176,-26148,-21,-29748,7074, class:1
-1936,337,-217,92,95,7652,-2737,8576, class:0
-18799,69,-2415,-1801,-18507,-1558,-18799,69, class:0
-5712,-300,-150,-367,-9881,-5419,10165,9712, class:0
-3323,-4965,-3231,-6452,-3290,-6311,-3352,-4965, class:0
-17019,635,-1899,-840,29261,-828,29124,642, class:1
-611,668,-578,89,110,442,-611,668, class:0
817,1765,-10311,-9650,817,1569,817,1765, class:0
-77,279,9858,10829,-77,279,-77,279, class:0
-1043,95,-16243,-15241,-567,-211,-1043,95, class:0
-892,841,-857,-351,-331,19,-892,841, class:0
-3087,15,-2248,-614,-3070,-513,-3160,16, class:1
1763,104,-1336,133,1976,171,1763,762, class:1
-3354,20113,-3241,-3397,-17479,22837,-22501,23427, class:0
-20978,4712,136,13,-20725,1021,-20978,4712, class:0
-116,3362,-70,2359,-527,2822,-1190,7328, class:0
21,1370,78,409,21,2602,-272,3585, class:0
-820,351,76017,86594,-724,307,-820,351, class:0
-707,136,-186,36,-231,2459,6420,2969, class:0
-1457,2720,-1409,1688,-1418,4628,-1780,5600, class:0
-336,1640,4,991,-261,1030,-383,7097, class:0
-11928,14041,2563,2487,-12012,12401,-12762,19616, class:0
2771,-1363,1248,1206,-3614,-1537,-3713,-7015, class:0
-13246,1138,-2912,-750,-12378,-2926,-13888,3009, class:1
-13373,1011,-3039,-877,-12505,-3053,-14015,2882, class:1
-13395,989,-3061,-899,-12527,-3075,-14037,2860, class:1
-4920,-1597,-4787,-2832,-15469,-2558,-17650,14709, class:0
-1576,-2754,1117,963,-21470,55353,-22557,56927, class:0
-523,564,-77562,-54639,-522,563,-523,564, class:0
-38910,31062,876,610,-38910,30742,-48471,31737, class:0
-51943,21092,12782,12692,17992,19083,-51943,21092, class:0
-23649,-40,72,-99,-41404,-489,-41648,7048, class:0
-25117,2022,-2335,504,-25155,761,-25336,2022, class:0
-2276,667,-495,570,-7655,4499,-7743,4689, class:0
-8614,23504,-2033,-2209,-8505,22513,-8614,23504, class:0
1909,111,-2575,-478,5101,-320,1909,111, class:1
9312,-39013,10175,10076,11089,-41363,-27099,-39013, class:0
-2021,2012,131,-453,-1950,-119,-2066,2045, class:1
-2413,1620,-261,-845,-2342,-511,-2458,1653, class:1
578,-1480,-1667,-1817,-745,2194,-1959,2290, class:0
-3064,796,-2114,-1097,8422,-839,8365,886, class:1
-3809,51,-2859,-1842,7677,-1584,7620,141, class:1
17100,17272,17318,17099,17100,26083,-22701,31927, class:0
-23608,139,-1741,-816,-38596,-693,-38854,26442, class:1
2212,8039,618,208,-8529,5890,-8586,20972, class:0
-127616,23343,20900,20699,20763,21011,-238947,109095, class:0
