TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-1781,-2568,-1480,-1579,-1751,-3092,-1786,-2568, class:0
664,-445,-281,-452,-4318,770,-10488,13563, class:0
-5531,-4703,-5458,-5598,-10513,-5425,-16683,7368, class:0
-9383,3056,2069,1967,-14365,2029,-20535,3516, class:0
-1678,1098,-36757,-36505,-1664,-675,-1678,1098, class:0
-779,880,-522,647,-779,880,-779,880, class:0
-352,-31,-214,-851,-2298,5872,-2514,12681, class:0
-10879,-179,-174,-271,-10230,-20923,33532,29129, class:0
-3511,-1149,-296,-400,-1725,4779,-5741,7928, class:0
-13367,16214,2942,1526,53227,-23162,44568,28763, class:0
-3778,6698,-3685,5713,5740,29719,-49316,34365, class:0
-8089,-12441,-2449,-2692,-2666,31846,-62737,46990, class:0
-2674,-75,-1573,-445,-16735,-356,106545,2263, class:0
-5539,10470,-1908,-2101,-5371,29819,-5539,31043, class:0
-2827,6056,269,168,-2522,5048,-2904,7444, class:0
3483,1262,-1046,28,3836,254,3483,2650, class:0
-1622,3840,-818,-887,-887,5316,-3060,-4623, class:0
-14862,6996,-1747,1838,-14862,-9046,-14882,14343, class:0
-13410,5394,-2352,-2453,-13367,5206,-13420,5394, class:0
-23966,341,-9170,-3253,-74087,-1769,92175,75187, class:1
-427,-6379,-341,1752,1834,-8328,-427,-6379, class:0
-239,6504,-186,-270,-1376,8705,-3637,8942, class:0
1986,2872,2406,2298,-5008,5073,-7269,5310, class:0
-653,106,145,16,-8022,2059,-10283,2296, class:0
-2307,2516,-97,300,-383,2386,-2307,2516, class:0
-2734,6504,2624,2316,2338,6180,-2734,6504, class:0
-2708,298,-1417,-392,-2678,166,-2708,298, class:0
-4297,17444,-4138,6050,-5640,6063,-6312,28180, class:0
3761,863,-490,585,-5394,9859,3761,9943, class:0
-4218,35378,-1759,-1943,-1925,35159,-4218,-39631, class:0
-1144,44,-4334,-1176,-1144,709,-1144,709, class:0
-2989,-1136,-6179,-3021,-2989,-1136,-2989,-1136, class:1
-6250,2925,-9440,-6282,-6250,-4397,-6250,2925, class:1
-276,1276,-65,34,-1573,1347,-1654,-3290, class:0
1241,215,1466,1654,1379,-1775,1241,215, class:0
-926,24718,-622,-15337,-1372,19075,-16062,29508, class:0
3114,3623,-76890,-76678,3114,3623,3114,3623, class:0
-1612,8346,-350,-456,-9728,40699,-191474,41232, class:0
194,252,518,117,-30944,19483,-212690,20016, class:0
-7146,-2912,-3245,-3429,-7170,-3332,-7237,25605, class:1
-12489,1786,949,791,-12022,1592,-12489,1786, class:0
5449,-3301,3282,3151,-18602,6630,-18603,11829, class:0
8308,-10195,-1075,-1251,-14005,-5996,-33688,30287, class:0
-19265,10552,-3312,-3423,-19221,10217,-19403,10557, class:0
-7273,628,-819,350,-999,924,-7700,1076, class:0
-380,1981,-254,-386,-58017,5750,-58166,6075, class:0
478,28190,639,7225,7284,28156,-4738,33951, class:0
51,4080,-161,2476,-181,3576,-11792,29759, class:0
1526,6444,1600,5487,-4736,18557,-4855,20451, class:0
655,9013,891,6659,113,12813,-2650,13930, class:0
-1498,-462,-816,715,-1438,846,-1499,1067, class:0
-6542,-4341,4999,-4550,19707,-4496,19544,18388, class:0
-9729,4051,1812,1698,16520,-7683,16357,15201, class:0
-4842,1044,-3756,-689,11104,1044,7760,2392, class:0
-7087,13547,-5063,-5140,-5074,16952,-28991,17633, class:0
7264,4905,3789,3586,-13716,8310,-37633,8991, class:0
579,493,604,456,-1630,6887,-4945,6972, class:0
-1296,648,-998,311,-1266,347,-1341,9456, class:0
-5319,-3368,-5021,-3636,-5289,-3495,-5364,5433, class:0
-19184,3780,530,386,-18863,2091,-19184,3780, class:0
-21063,-54840,16656,16603,16641,42233,-21225,-54840, class:0
1416,-8292,240,169,8178,-12112,-2718,-8292, class:1
-464,-581,-49,-228,-2532,5608,20686,6901, class:0
-2850,40,-2044,-1111,-9076,-936,14142,357, class:1
-88,311,11,147,-7610,16915,-7636,17824, class:0
-4784,-873,87,90,-1454,107,-7254,-24522, class:0
-1929,37117,-1851,16707,-1923,87093,-2052,88245, class:0
9865,25369,5090,4959,-13671,75345,-13800,76497, class:0
713,-4341,874,701,-80402,8614,-80531,9766, class:0
-2405,126,-801,-717,-8347,-577,-11071,130, class:0
-2552,25890,-2357,13564,-2738,25890,-2905,44116, class:1
27719,-430,1078,1019,28736,-1688,27719,16538, class:0
-3728,3368,-31,-70,-3730,3073,-3730,3372, class:0
-4453,-10449,-4396,6007,-4444,-10898,-4528,-10449, class:0
-1856,-140,177,-655,-653,29285,-9986,32126, class:1
-3405,5,-3003,-245,-30069,-131,29825,2710, class:1
-3260,-948,275,103,-15654,3988,-16800,22626, class:0
-3005,1081,-2841,-545,-520,292,-4094,1086, class:0
-3537,549,-3373,-1077,-1052,-240,-4626,554, class:0
-406,1931,-227,195,213,6751,-1439,8362, class:0
-992,1345,-251,-391,-373,6165,-2025,7776, class:0
982,-552,-192,906,-2361,4177,-4013,5788, class:0
64,-1470,229,-12,-3279,3259,-4931,4870, class:0
385,142,-119,20,-12381,44,-13268,5231, class:0
-12781,-17250,6936,6747,-12435,-18633,-12781,-17250, class:1
-33520,769,-2049,483,-33174,632,-33520,769, class:0
-23012,56536,4824,4670,-22985,56062,-23012,56536, class:0
-29146,50402,334,253,-29119,49928,-29146,50402, class:0
6150,1124,6185,-4005,8197,650,6150,1124, class:1
-5604,-938,-2858,-1009,-5571,-12249,-5736,-12152, class:0
-1272,11743,-849,-1281,-975,10529,-1835,11781, class:0
-1106,4432,-401,-458,4354,5475,-1450,6365, class:0
103,9,-156,-38,-1681,1551,-1800,1628, class:0
-56,2484,27,796,-24,3425,-607,3698, class:0
-20071,27138,18342,18267,26913,53253,-192470,56667, class:0
2305,1586,-242,-392,-13384,-2442,-13436,12523, class:0
-32128,-42,-2289,-1748,-5114,-1702,-32335,2256, class:1
-16879,25480,-2116,-2257,-16590,25460,-17426,41506, class:0
-28233,-12715,-21835,-13054,-37844,-12797,-54138,-12715, class:0
-28571,-13053,-22173,-13392,-38182,-13135,-54476,-13053, class:0
-10845,9333,2835,2763,-10899,46948,-11231,-15370, class:0
-3882,1043,-500,-738,-669,10444,-4240,11267, class:0
-5571,-646,73,-31,-2358,8755,-5929,9578, class:1
-8313,-1648,461,-230,-5100,6013,-8671,6836, class:1
-14587,560,-2576,-996,-11374,-261,-14945,562, class:1
-8939,24893,-8912,9547,9615,41225,-10037,71341, class:1
9545,7427,5170,4937,-7851,23759,-27503,53875, class:0
56191,187263,56264,56193,-178695,189557,-179091,228397, class:1
16149,176374,16721,60828,-18868,201795,-18974,203292, class:1
-9031,93432,-8864,9448,-101810,118853,-101916,120350, class:0
-44259,58204,-5024,-5130,-137038,83625,-137144,85122, class:1
41239,43179,6520,6394,122212,68600,122134,70097, class:1
-11914,3921,-1714,-1813,-71473,3738,-84478,5058, class:0
-1182,5821,-108,-140,-1269,5598,-17224,30146, class:1
38,107,109,-18,-5332,-5535,-31761,15609, class:1
4216,-241,-784,-318,-19219,8492,-19417,9216, class:0
-629,7773,-592,2980,-601,7443,-1062,62166, class:0
5763,5919,-859,-949,123944,124043,-129879,148039, class:0
1183,474,-20,-172,-7593,-5472,14287,10636, class:0
-8061,-3998,2400,2305,-8046,-4309,-8069,10462, class:0
-11546,6977,-341,-494,-11531,6657,-11554,6977, class:0
-2722,18711,-1332,-1469,-2560,28719,-2722,29750, class:0
-3167,2072,564,340,-19199,12080,-19361,13111, class:0
-13531,401,-5339,-4647,-28182,-4540,-43205,409, class:1
-13561,371,-5369,-4677,-28212,-4570,-43235,379, class:1
-9373,-1522,-952,-1107,-9138,3642,-12686,7769, class:1
569,1071,491,384,-72016,1088,-148138,3895, class:1
-9980,1332,-25,16,-9859,131,-10005,30414, class:0
-12229,-917,384,-21,-12108,-2118,-12254,28165, class:0
-2061,-3365,-191,-369,-13471,9247,-14295,10576, class:0
13499,-15998,3668,3503,-29330,-27891,-33490,41414, class:0
993,-110,-350,-500,-10834,-352,-10910,2160, class:1
-7927,41726,-6155,-6185,-7884,83656,-8084,93989, class:0
-7696,20038,-7636,-7831,-71025,20515,-71225,30848, class:1
-17977,-2869,4867,-2899,4697,-17384,-18499,80300, class:0
-16640,8066,1966,1854,-37078,6898,-37214,8066, class:0
6333,9771,540,265,-8981,9441,-9100,10203, class:0
220,7389,783,624,6792,12920,-10996,-9572, class:0
-3485,558,-826,510,-7606,699,-8236,733, class:0
3816,-16792,454,194,-5661,-18575,-5938,-16792, class:0
-10710,8935,411,151,13617,8683,13553,9619, class:0
2075,23,-216,-292,-10244,-15178,-10308,-14242, class:1
-3513,-6117,557,472,-53010,9129,-53074,9778, class:0
-1016,1954,-74,-162,-949,2677,-2019,5112, class:0
548,2149,1011,887,-7850,4854,-8066,7443, class:0
-1909,28607,-1381,22110,-1871,34756,-2238,36817, class:0
-5192,-2772,-161,316,13740,684,13583,4442, class:0
4,3371,2949,6220,87,2960,-813,7362, class:0
-4713,7905,-4618,6442,6459,14245,-11796,14978, class:0
-11860,65076,-11766,-11859,52032,69906,-97111,77362, class:0
-17071,-15501,-15524,-15631,-15622,25624,34753,31668, class:0
78,6736,135,1734,1735,6141,-80,6736, class:0
-3670,2988,-110,-234,-2013,2393,-3828,2988, class:0
-334,1858,-249,-379,-2327,4873,-2816,5288, class:0
-2106,-1400,-1803,-2032,-1947,5221,-2226,5630, class:0
1059,10103,-520,521,54630,8433,-3653,74020, class:0
10201,-2397,35,-73,42130,-4067,-16153,61520, class:0
-163,-27,-354,278,-971,573,-1223,-6968, class:0
-926,-668,-75,74,-3265,4292,-6097,5216, class:0
-620,-948,404,312,-16218,-1168,-16218,24287, class:0
-8421,-8749,-7397,-7489,-24019,-8969,-24019,16486, class:0
15943,27447,16084,20525,27591,40620,-42863,41972, class:0
5162,6056,5237,5025,5625,6038,-6548,6363, class:0
2281,568,-16,-8,-2638,-432,-3608,4316, class:0
-5948,-668,-457,-763,-10768,17286,-14244,17502, class:0
-28871,-40387,15470,15324,-28867,-40603,-30491,-40387, class:0
22187,8379,-450,-650,22274,8157,22187,11389, class:0
12668,-1140,-9969,-4135,12755,-1362,12668,1870, class:1
-3354,874,944,762,-3354,2695,5546,5406, class:0
228,-753,4,-65,-9126,14471,21309,16142, class:0
5403,204,-2335,-1437,5483,-1435,5403,236, class:1
98,740,141,77,98,454,98,740, class:0
-50,592,-7,-71,-50,306,-50,592, class:0
-41,313,62726,88,29,313,13108,383, class:0
-1062,217,-1029,-362,-341,-9,-1062,217, class:0
-1728,1613,-1684,-494,-475,1282,-1728,1613, class:0
-2009,1332,-1965,-775,-756,1001,-2009,1332, class:0
43,312,-14494,-13317,43,312,43,312, class:0
-26,1707,9,515,535,885,-26,1707, class:0
5346,15394,1562,1449,5621,15569,-17441,29300, class:0
-1160,222,-247,142,-1126,170,-1164,227, class:0
2199,2470,-1234,-1333,-1329,4436,-9619,6273, class:0
3265,838,11,-105,4086,-96,3265,3629, class:0
-605,210,30,-93,-968,1360,-1577,1936, class:0
-17104,8586,4010,3887,-16851,4895,-17104,8586, class:0
-5849,4188,1774,1623,-6391,4192,6743,6557, class:0
-2671,932,-656,618,-6418,665,-17255,934, class:0
-25057,9694,6737,6613,-30123,6732,32934,10020, class:0
-10595,14596,7518,7417,-10588,18568,-10745,20959, class:0
-651,889,-287,499,-553,684,-722,889, class:0
-1117,423,-753,33,-1019,218,-1188,423, class:0
-998,588,-183,-306,11084,365,10613,2634, class:0
2519,1397,226,135,-2529,1092,2519,2848, class:0
-1995,375,-6544,-3245,-1876,55,-1995,375, class:0
-270,26533,-225,2434,-270,24893,-270,32108, class:0
-10447,15522,4044,3968,-10531,13882,-11281,21097, class:0
-26567,-598,-6462,-2248,-26651,-2102,-27401,4977, class:1
-28683,-2714,-8578,-4364,-28767,-4218,-29517,2861, class:1
-30449,1076,-10344,-6130,-30533,-5984,-31283,1095, class:1
-31191,334,-11086,-6872,-31275,-6726,-32025,353, class:1
-8332,-40960,-8171,14409,-74733,-41439,-9429,-40960, class:0
58038,45629,-4068,-4147,9865,61480,-77826,78201, class:0
43382,30973,-4710,-4818,-4791,46824,66847,63545, class:0
33193,20784,-14899,-15007,-14980,36635,56658,53356, class:0
-1115,233,313,195,-856,1130,-4486,3541, class:0
-4155,-112,-2252,-537,-11937,-398,-80690,3397, class:1
0,5604,225,3590,165,4747,0,5604, class:0
27410,28568,27561,27910,27916,-40355,27410,-39978, class:0
4893,1168,292,124,-12365,15091,-21982,15525, class:0
4746,3367,2002,1860,-9954,12059,-15572,12304, class:0
7605,-1433,-1264,1203,-16425,57622,-48674,59286, class:1
-21957,27526,2634,2446,-45987,28060,-78236,29724, class:0
-5049,-488,-1511,-1124,-74911,-864,-107160,800, class:1
-4548,-1225,-4415,-2460,-15097,-2186,-17278,15081, class:0
154213,28773,28877,28768,196081,84073,195883,193661, class:0
21856,25456,-2897,-3080,-44012,25190,-45115,26645, class:0
10496,-30920,10633,-30983,10621,142242,182102,153172, class:1
-9317,15103,9011,8502,8635,36931,-9409,41349, class:0
23114,-7947,-3625,-3734,-14415,13881,23114,18299, class:0
7681,2866,-6837,-1783,8433,-1552,7681,2866, class:1
5145,330,6155,-4319,5897,-4088,5145,330, class:1
