TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-224,805,77,-44,-979,1713,-1086,4042, class:0
-308,304,148,60,-1153,-474,2637,1855, class:0
-140,872,13,421,11,915,6560,978, class:0
-665,347,-512,-104,-83,390,6035,453, class:0
4039,37,342,118,-18946,13621,-21237,14758, class:0
-427,2349,-35506,-35254,-413,576,-427,2349, class:0
-1168,-563,285,231,-712,976,-1836,1274, class:0
-2320,121,-484,-225,-1864,-176,-2988,122, class:0
2737,320,-1545,-1336,-1666,-814,2737,320, class:0
25288,26947,25545,26714,25288,26947,25288,26947, class:0
-1555,104,-1298,-129,-1555,104,-1555,104, class:0
39718,-41010,39936,40811,39763,-41625,39718,-41010, class:0
-108,831,85,421,-70,1188,-194,-1678, class:0
49,2852,777,666,1484,1882,-5252,4027, class:0
323,1172,19,22,-196,202,-6932,2347, class:0
-19072,2786,-2303,-2372,-19072,9485,-19092,10133, class:0
-19092,2766,-2323,-2392,-19092,9465,-19112,10113, class:0
4182,7952,4319,7473,26462,43052,-32262,45120, class:0
-23994,313,-9198,-3281,-74115,-1797,92147,75159, class:1
-8931,3092,368,219,25020,2490,24494,7506, class:1
-3008,-3136,-301,391,-2976,-301,-3823,8543, class:0
3871,-3039,-3407,-3583,4376,-3443,3871,-3039, class:0
-80614,6784,1915,1830,-141535,6630,-144214,14256, class:0
-771,-72,-356,-13,-11836,-378,-12902,856, class:0
-5490,-22865,-5366,9030,9040,22477,-5490,-22865, class:0
-12956,21172,2024,1564,1574,15011,-12956,21172, class:0
-11523,-4534,-6140,-4701,85731,-18774,-191290,90685, class:1
-4178,817,-1811,186,-4174,747,-10079,817, class:0
8561,27006,-6843,-6916,-6851,19582,-22259,102622, class:0
-30441,-14088,14403,14260,-28997,14380,-101969,22912, class:0
-37715,419713,-37209,-37449,-37434,429365,-37728,481611, class:0
-476,-12178,-344,-501,-36450,-12661,67658,58046, class:0
-4952,1351,446,294,-6837,1286,-6863,3939, class:0
3237,3746,-76767,-76555,3237,3746,3237,3746, class:0
-59,450,67335,-213788,-59,450,-59,450, class:0
5939,8650,5986,5895,-15636,94922,-56397,101642, class:0
4550,7261,4597,4506,-17025,93533,-57786,100253, class:0
-3126,-16560,499,422,-3088,69712,-81607,76432, class:0
-14004,908,965,879,-35403,37397,101556,44117, class:0
-24854,-9942,-12,-160,-46253,26547,90706,33267, class:0
-15509,82013,-2367,-2488,-186225,83972,-186608,84129, class:0
-2091,-1972,-1442,-1541,12445,18306,-44207,18804, class:0
-2930,7033,-2862,1532,1547,2389,-2930,7033, class:0
-1726,-675,-790,687,-10771,-1008,-10958,1998, class:0
-51,-1433,14,-128,-5826,-1701,-5845,5038, class:0
-31079,2414,2172,2063,-5897,5656,-31749,8570, class:0
-3729,80,-430,6,-4514,35,-4559,87, class:1
-13559,2300,-468,-640,-14089,1980,-14438,4466, class:0
1163,2349,1282,1646,1665,3347,-5624,4203, class:1
-144,275,89,-12,-506,106,-3266,1303, class:0
7814,6472,1274,1129,-6213,5745,-32558,24624, class:0
-2908,-97,-2875,-330,7353,11110,-4258,-26646, class:0
-17976,399,-7594,92,-20081,137,-22651,1793, class:1
-1894,224,-1356,-1261,-1852,-1120,-1965,224, class:0
-5629,161,-5318,-101,-6161,-5478,-6241,950, class:0
-3510,6825,-1957,-2083,-3436,10407,-3627,20537, class:0
4065,9526,1595,1540,29209,8919,18313,12739, class:0
-5807,-49119,-5618,-57408,67052,-57103,-33295,-49119, class:1
-22439,12,-4223,-3207,116619,-4229,116490,20, class:1
-10312,28734,8455,8324,-10306,78710,-10435,79862, class:0
6,4562,204,-136,6,7793,-1501,13331, class:0
-13689,1924,2191,1855,-16772,2085,-17789,13046, class:0
-2441,-7633,-2365,-8068,-2368,-7826,-2461,-7633, class:0
-474,1149,-25,664,-285,894,-474,1149, class:0
-13736,-19732,-3164,-3276,-13727,-20181,-13811,-19732, class:0
-1905,5262,909,511,532,5495,-2373,10074, class:0
2554,2659,-1694,-2092,-2071,2892,-4976,7471, class:0
3249,7922,3286,3161,3249,31720,-10781,33393, class:0
-1588,35,-127,-351,-5837,17108,-25393,18781, class:0
-2011,80,-1942,-813,-796,205,-2012,737, class:0
21938,19462,-14362,-14407,19169,79910,-70800,82291, class:1
-1893,4744,-1773,3176,35537,3179,-38130,-38320, class:1
-29955,28296,5096,4994,28176,49629,-29972,50969, class:1
-5277,-317,-3945,-921,-4989,-562,6214,372, class:1
23,1008,-44,807,681,1349,-745,1730, class:0
1297,-2212,272,172,-3909,23045,-7865,25365, class:0
-1798,2191,-1397,-1529,-15632,11322,-19588,13642, class:0
-2895,26464,-2604,12739,-2766,31273,-2906,38877, class:1
-31420,-2061,-2039,-2242,-12613,2748,-31431,10352, class:0
-17244,-15832,2588,2339,-17332,-16557,-90487,-80432, class:1
-13220,835,-88,-177,-13810,4639,-13949,5973, class:0
-2374,6285,-2252,6118,10944,23727,-2381,-25012, class:0
2173,-1952,-2004,-2119,2707,15490,-10618,17247, class:0
375,-1424,228,73,-5695,2201,-5774,16341, class:0
-1230,1706,512,352,-1573,491,-2093,-2282, class:0
-1412,1524,330,170,-1755,309,-2275,-2464, class:0
-80,-259,-23,-94,-5746,1118,-6045,1181, class:0
-308,102,150,52,-5974,890,-6273,953, class:0
-182,22178,-89,9431,14736,23103,-270,-23238, class:0
170,2786,-64,64,-1669,2515,-2008,-4500, class:0
-194,-184,-124,119,-7013,1148,15038,1241, class:0
-10353,339,355,276,-10271,339,-10572,-24369, class:1
55286,71441,55712,61708,55536,81892,55286,82469, class:0
29879,46034,30305,36301,30129,56485,29879,57062, class:0
-17935,6999,16739,6422,-17930,6427,-18079,26963, class:0
-1294,3320,-741,-880,-869,3032,-10493,3395, class:0
-2688,1926,-2135,1261,-2263,1638,-11887,2001, class:0
9490,11108,9697,9528,-23671,10894,-24157,13027, class:0
-43201,46928,2064,1310,-43056,35766,-43243,57632, class:1
-13085,-1002,-2487,-1201,-2580,-2546,-16057,3790, class:0
-14750,1038,-4152,970,-4245,974,-17722,2125, class:0
-305,-1790,-136,38,-10258,5681,-16181,5910, class:0
13383,5581,-2122,-2315,13556,5561,-37325,21607, class:0
-4826,7124,1357,1263,-4572,4869,-4826,7124, class:0
2110,74215,2149,2316,2414,-94774,-255170,258839, class:0
-13274,6904,406,334,-13328,44519,-13660,-17799, class:0
-24315,20301,-24047,19968,-24464,19984,-247468,350066, class:1
-77745,-33129,-77477,-33462,-77894,-33446,-300898,296636, class:0
-93228,-48612,-92960,-48945,-93377,-48929,-316381,281153, class:1
130239,-89183,55374,55309,-133948,-89500,-356952,240582, class:1
16109,17329,7957,7748,-42760,-14577,-105805,330393, class:1
18730,18890,5048,4959,111269,21885,99471,83315, class:0
-26658,3826,-14529,3745,-26561,-13785,-26708,3826, class:0
-11038,-991,-3986,-1287,-111713,23246,-111764,-113079, class:0
-6608,78813,-6417,66173,66187,88077,-6608,127383, class:0
-28763,57817,-28685,-31705,57726,-31685,-54329,57907, class:1
-55209,31371,28089,28019,31280,33856,-80775,31461, class:1
21037,-1719,755,622,21173,5354,21037,9919, class:0
11369,164,-2458,-1967,11505,-4252,11369,251, class:1
-17160,8322,1873,1779,-17073,8055,-17242,9320, class:0
971,510,320,188,-15389,1027,3062,4486, class:1
-1990,1232,-328,118,-1995,6310,-2625,6344, class:0
-14036,5519,5641,5420,-5921,32839,-16094,43101, class:0
-5739,389,-3524,-2128,-5672,-2046,-6742,389, class:0
1410,62,-538,-56,1498,-42,1410,162, class:0
-12938,439,-3393,257,-14252,-3406,-18353,2397, class:0
-6150,5250,1076,933,-1226,11399,21296,13460, class:0
-6432,6861,5418,5271,-6394,28207,-14482,30993, class:0
1645,11651,1763,1671,1739,8962,-17867,11837, class:0
-1613,1559,269,152,-3301,1373,-3666,3059, class:0
-8605,-1539,1349,1170,-8745,2707,-9423,4486, class:0
-3072,832,135,11,-1611,483,-3848,872, class:0
-12721,64215,-12627,-12720,51171,69045,-97972,76501, class:1
-185,17671,-121,11481,11670,24817,-244,25107, class:0
-3089,1195,1260,1096,-2930,4238,-3209,4647, class:0
