TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-665,347,-512,-104,-83,390,6035,453, class:0
270,-671,136,-71,-2814,98,-6403,5190, class:0
-293,-1786,-169,674,-8522,9506,-12415,10121, class:0
-555,-144,-12,-347,-2576,-173,-2700,-4184, class:0
-5781,692,-3177,-2850,-80660,-2662,17715,692, class:1
-582,-208,-191,-326,-6742,-238,-10758,2911, class:0
3317,10833,984,378,397,17899,-8262,18425, class:0
-3588,1489,-985,-229,-3565,-35,-3636,1489, class:0
-32743,-31733,26042,25955,-88472,30601,-89166,48636, class:0
-6442,749,-2342,-817,-9618,-749,-9971,749, class:0
283836,313950,15329,15258,292389,313919,318697,317134, class:0
-2640,69,-2419,-111,-2565,-92,4583,1695, class:1
510,4335,80,-62,-45719,26599,-67243,-96809, class:1
-14753,1677,-4546,-1580,19198,-1517,18672,1684, class:1
10002,4044,262,128,12263,2101,10002,4050, class:0
-12810,9721,4489,4426,-12810,9370,-12810,9721, class:0
433,3288,-485,501,501,3221,-582,3290, class:0
-1866,989,-554,361,-1798,922,-2881,991, class:0
-2442,413,234,-215,-2374,346,-3457,415, class:0
-3001,18740,-2842,7346,-4344,7359,-5016,29476, class:0
-19048,2693,2778,2645,2704,-8688,-21063,13429, class:0
8561,27006,-6843,-6916,-6851,19582,-22259,102622, class:0
-30441,-14088,14403,14260,-28997,14380,-101969,22912, class:0
-52537,-764,-7693,-1104,-51093,-1079,-124065,816, class:0
-162267,-108914,-117423,-110834,-160823,-110809,-233795,-108914, class:0
11852,2494,-569,563,11878,2133,11852,3756, class:0
-4761,1542,-361,485,-6646,1477,-6672,4130, class:0
-4581,1311,149,52,-4920,-9039,-15137,-8955, class:0
-4047,1487,-2471,1387,-13782,1404,-23999,1492, class:0
-1937,3212,-1878,-2067,6096,2860,6096,7949, class:0
2372,-319,2529,-981,-19734,30693,-201480,31226, class:0
-3676,1468,-107227,-106402,-3676,-1343,-3676,1468, class:0
-322,12865,-322,-609,-4902,12240,-4996,13060, class:0
-652,5156,-437,-600,-12611,4531,-12705,5351, class:0
-1497,2737,-946,-1139,-1126,2633,-1520,2960, class:0
-3640,594,-3089,-66,-3269,490,-3663,817, class:0
-7061,-151,935,-250,-7591,8478,-7940,10964, class:1
56,7077,180,137,600,8075,-896,8931, class:0
2200,3386,2319,2683,2702,4384,-4587,5240, class:0
-2425,615,-1194,-342,-1923,-241,3353,615, class:1
-1406,-494,-1240,-934,-916,-497,-3265,1088, class:0
-13487,-346,-5533,-667,-27514,-468,32698,3323, class:1
-3399,506,-1144,-730,-3424,-1236,19599,4527, class:1
16507,-31918,16667,22467,22474,32790,-16846,-31918, class:0
-2908,-97,-2875,-330,7353,11110,-4258,-26646, class:0
2,120,114,-154,-8336,-7925,-23293,18258, class:1
-1217,669,-485,-524,-24127,653,-39084,2467, class:0
-1720,828,666,552,-12902,10391,-13021,12285, class:0
-347,3224,-260,2594,-311,2751,-456,-5799, class:0
857,1772,1299,1142,-1763,1299,-1908,-7251, class:0
11720,13451,6546,6306,-24887,20256,32922,27554, class:0
24,55,-77,-75,15970,-40,12626,7258, class:1
3455,4267,1850,1701,-14390,6936,16231,10695, class:0
96,313,419,9,-7063,5796,-7092,7050, class:0
199,-255,-156,-686,-10627,2232,-10656,3486, class:0
18029,-6426,485,-112,-35282,-14435,32277,26703, class:1
-5286,175,290,-447,19858,-432,8962,3388, class:1
21258,-298,-4721,-1290,21758,-590,21258,3990, class:0
-1063,37983,-985,17573,-1057,87959,-1186,89111, class:0
28259,105,-1053,-1245,29276,-1148,28259,17078, class:1
-4336,-409,-351,-478,-4439,4315,-4953,4723, class:0
-12059,29402,8184,7496,7746,29032,-22846,29402, class:0
-3626,460,-3462,-1166,-1141,-329,-4715,465, class:0
-21610,-5156,-4017,-4095,15820,-5913,-57847,-58037, class:0
-333,-262,-175,-338,-1760,7456,-17223,8047, class:0
-1957,5253,-570,-1050,-1012,7102,-1957,7870, class:0
-4359,374,-3027,-3,-4071,12,-6045,1290, class:1
-4602,131,-3270,-246,-4314,113,-6288,1047, class:1
-1036,6682,-946,2420,2509,13334,-1036,14530, class:0
-1531,6187,-1441,1925,2014,12839,-1531,14035, class:0
-6031,1187,195,85,-9811,1014,-13356,2210, class:0
-12691,194,-769,-142,-12806,-132,-12964,1872, class:1
-19343,14946,374,185,-18997,14809,-19343,14946, class:0
-32304,1985,-833,-943,-31958,1848,-32304,1985, class:0
667,9537,67,-67,-1861,12414,-2042,12814, class:0
-5806,-45,-5101,-376,-346,775,-6150,1665, class:0
-3555,5191,-3445,5141,-3549,28435,41619,29210, class:0
3090,-39,46,-10,-9834,7828,21012,8603, class:1
-4807,15940,-4394,14878,-4807,16143,-4816,16852, class:0
-10157,3898,210,177,-10747,7702,-10886,9036, class:0
2173,-1952,-2004,-2119,2707,15490,-10618,17247, class:0
375,-1424,228,73,-5695,2201,-5774,16341, class:0
2148,17469,2227,-7393,9026,43235,-10863,-83400, class:0
45,142,577,-4,-45900,-11691,59182,32690, class:0
-5,-6961,-26,-331,-53003,-18794,52079,25587, class:0
-4261,-3484,-1247,959,-17370,33824,-20388,34969, class:0
-54,480,136,359,-3604,5529,-5976,6251, class:1
-182,22178,-89,9431,14736,23103,-270,-23238, class:0
-3188,1551,1621,1498,10269,1851,9923,2439, class:0
-1118,-487,-1076,-978,-5795,-844,-6134,969, class:0
-127,2413,-26,725,-95,3354,-678,3627, class:0
-10931,-239,-223,-302,-10849,-239,-11150,23908, class:0
-3477,2172,-563,-699,-604,2232,-4459,2770, class:0
-156,615,-62,143,-2940,1485,-8975,1910, class:0
-2219,-1043,-7,-186,-13455,-528,-27036,3749, class:0
