TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
2965,-3616,-287,-357,-8834,9012,-9829,10640, class:0
-19,4617,-695,599,-6160,-9515,-6276,-7887, class:1
-140,4496,579,478,-6281,-9636,-6397,-8008, class:1
-10130,-5154,2809,2727,10946,2756,10693,6290, class:0
2462,8433,-1634,-1858,-3346,16337,-9850,16491, class:0
-886,-37758,-829,38836,57825,-39548,-899,-37758, class:0
-213,635,63,-74,-9613,468,-11874,705, class:0
7596,8116,4653,4554,-17150,8116,-17239,24986, class:0
-1655,1351,-364,661,-1625,1219,-1655,1351, class:0
-2351,646,-1064,-39,-2325,519,-2351,646, class:0
-973,2216,-733,-830,-2858,2138,-2884,7918, class:0
-1309,-121,-4499,-1341,-1309,544,-1309,544, class:0
12389,2413,536,437,19030,16478,18949,17313, class:0
-7622,18022,-7318,11722,-8068,12379,-22758,22812, class:1
-404,14948,-244,4467,4545,12401,-807,16167, class:0
5227,9747,-968,-1101,-6012,9475,5227,11981, class:0
1843,2056,301,217,-8206,520,-8358,5897, class:0
-737,1207,-439,-530,-707,-435,-782,10015, class:0
1762,-7946,-155,-187,8524,-11766,-2372,-7946, class:1
1713,-7995,-204,-236,8475,-11815,-2421,-7995, class:1
1686,-8022,-231,-263,8448,-11842,-2448,-8022, class:1
1087,-8621,-85,-160,7849,-12441,-3047,-8621, class:1
-556,1229,-327,623,729,1046,-871,2372, class:0
-437,4651,178,38,-84002,5014,-84131,6166, class:0
53619,-6978,-6972,-7117,-36818,8108,53619,9007, class:0
-10396,1649,-355,474,-10195,9990,-14644,10471, class:0
-23451,34800,11600,11498,34680,56133,-23468,57473, class:1
1775,-5259,-673,1117,-5379,16074,18444,17414, class:0
7876,-4342,-1741,-1928,7910,5506,7876,6846, class:1
-2927,9958,-2823,3748,-3042,9632,-3200,11636, class:0
4488,45031,5014,-6909,4912,52892,-24359,54117, class:0
-4285,-2275,-3807,1490,-14069,2628,15310,2912, class:0
-8447,12300,-8034,11238,-8447,12503,-8456,13212, class:0
-372,2031,-253,887,-342,1803,-372,2031, class:0
-1093,-316,-287,394,-14202,36992,-17220,38137, class:0
-73360,-66186,-73332,-66754,-73960,149523,-80864,165666, class:1
77,1673,222,436,-2782,1402,-3121,3982, class:0
-1065,-434,-1023,-925,-5742,-791,-6081,1022, class:1
-110,-22,-369,-251,-1894,1338,-2013,1415, class:0
-1368,8029,-787,-905,4474,8899,-1561,9324, class:0
-17061,866,-16771,-696,-16968,-175,-17061,866, class:0
-1980,9438,-1808,5740,-2002,12183,-2086,17497, class:0
-1769,211,-42548,-41137,-1525,-566,-1769,211, class:0
-1732,152,52132,145722,-1014,-691,-1732,152, class:0
1555,7418,2759,796,3229,7130,-6395,7493, class:0
-1399,1402,-239,-286,3152,2544,-169817,51431, class:1
-2814,2194,1731,1470,-2804,3211,-2842,3837, class:0
-5344,-336,-799,518,-5334,681,-5372,1307, class:0
1163,2945,-6288,-6847,1336,1728,-49545,9387, class:0
-27568,8582,8032,7946,-27553,8006,-27607,8582, class:0
-21961,22655,-21693,-22224,-22110,22338,-245114,352420, class:1
-22824,21792,-22556,21459,-22973,21475,-245977,351557, class:1
-12736,21096,5893,5750,5818,37428,-13834,67544, class:0
-1119,57786,-1032,-18773,-18643,59126,-19502,65094, class:0
-18383,-219,-512,-687,51118,98864,108228,104068, class:0
6482,-892,-4541,-2904,8682,-2882,6482,2322, class:0
6091,-4580,5400,5239,5248,-6510,-27925,35799, class:1
2992,54624,2431,2286,3042,51238,-38224,55355, class:0
-140286,-25469,31097,-27006,120631,-27e3,305209,251472, class:0
-24619,30240,24537,24128,-152400,30225,-152635,45635, class:0
15567,-12371,15999,-14321,15760,-14088,-50793,-12371, class:0
-18863,87039,-18636,60328,-18681,107483,-18945,141491, class:0
-6275,-2212,-2547,-2627,-6260,-2523,-6283,12248, class:0
-13702,19737,-333,-518,-24813,19702,-100935,51098, class:1
-16986,16453,-2228,-2337,-28097,16418,-104219,47814, class:1
-16684,5784,5828,5755,-24159,23807,-50138,29546, class:0
-25654,-172,-4740,-540,-25567,-439,-25736,826, class:1
-334,3547,31,423,496,1650,-334,3547, class:0
-18406,70870,-18229,56042,-18406,76113,-18726,76477, class:0
-18774,1461,-13782,1257,49153,1284,48884,1461, class:0
-1453,-1772,-608,-665,-36576,25563,-36640,26212, class:0
-15405,639,-5568,-81,-44259,158,-54432,4763, class:1
-880,2090,62,-26,-813,2813,-1883,5248, class:0
-864,10536,-544,4039,4060,16685,-20309,18746, class:1
2771,13,-765,-378,4543,-238,2771,1249, class:1
-16791,403,331,258,-21014,118540,-21676,118891, class:0
-10461,906,-5995,-1202,-21718,-969,-22579,906, class:0
-5704,-5150,461,231,-5678,-5200,-5786,9057, class:0
-13494,1267,-3355,503,-13468,822,-13576,1267, class:0
47,1929,181,704,3681,762,47,2247, class:0
