TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
481,232,-199,109,461,1140,-1659,3469, class:0
-552,1110,-226,-276,-680,1232,-1134,1335, class:0
-620,1042,-294,-344,-748,1164,-1202,1267, class:0
82,5034,-25,5758,-95,-20444,-256,-19975, class:0
8997,-3123,-3759,-3856,-13815,22010,29947,25544, class:0
213,2575,-561,1816,1999,8503,-2017,11652, class:0
-3200,-838,15,-89,-1414,5090,-5430,8239, class:0
6735,-11243,288,145,-14458,12580,64592,14483, class:0
-606,1719,-488,1630,1705,1818,-881,-2024, class:0
344274,374388,75767,75696,352827,374357,379135,377572, class:0
-6339,-5091,347,296,-8783,10191,-9341,-12229, class:0
-1016,7265,-908,-1020,-997,21271,-9492,21722, class:0
-485,5196,23,-704,-6583,13100,-13087,13254, class:0
-3745,1936,1417,1264,-9843,9840,-16347,9994, class:0
13339,16888,-457,350,13457,16318,-41171,17247, class:0
-1742,1626,954,828,-1779,3413,-6314,3916, class:0
1104,1975,-129,-164,-8488,1420,-8613,10105, class:0
-1041,-8026,-554,1503,-1041,-12542,-1041,-8026, class:0
-3294,699,-1840,-184,14332,-29,5344,701, class:1
-9479,-1977,-89,-202,-9473,5032,-9689,7995, class:0
12199,1062,251,253,12226,-1901,12199,1062, class:0
1264,3058,87,-224,-199,2569,-2030,3201, class:0
373,3228,-545,441,441,3161,-642,3230, class:0
-379,2476,-25,-311,-311,2409,-1394,2478, class:0
134378,266393,134820,170932,134613,276045,-191048,328291, class:1
-4601,10562,-912,-1019,-44274,-20485,59834,50222, class:0
-4151,2113,760,663,-4144,11109,-4170,11193, class:0
13137,3161,108,-1,19778,17226,19697,18061, class:0
-2734,1837,-2585,-1051,-2666,-624,-2734,1837, class:0
-254,25390,50,-14665,-700,19747,-15390,30180, class:1
-14642,11002,4772,4702,-15088,5359,-29778,15792, class:0
1073,1582,-78931,-78719,1073,1582,1073,1582, class:0
16638,34781,16766,17351,16707,67134,-165039,67667, class:1
16082,20161,16456,16085,16109,19619,-51587,20163, class:0
-5138,263483,-4686,115014,-4755,265442,-5138,265599, class:0
-3345,-10176,-2165,9935,-2878,10736,-3345,-10176, class:0
-1084,3666,-196,-248,-986,7987,-1088,9972, class:0
-28,29927,307,15952,154,29592,-28,29932, class:1
-2070,3738,1054,927,-14029,3113,-14123,3933, class:0
3001,-3091,945,802,-6572,10346,-57930,11110, class:0
-3443,91,-1280,-538,-17191,-273,-68549,491, class:1
-5314,-226,-2569,-318,-11684,-301,12076,9062, class:0
-2341,23692,-2189,-2282,-2282,23461,-2354,-34761, class:0
-20614,5419,2444,2289,-20555,5188,-20627,19403, class:0
-3893,341,-3342,-319,-3522,237,-3916,564, class:0
2742,4,-1805,-953,-2534,-852,2742,4, class:0
-123,352,43,-158,-123,352,-1982,2371, class:0
-225,250,-59,247,-225,250,-2084,2269, class:0
-21246,1076,-13284,779,-31859,965,-44084,1076, class:0
2455,22316,2615,8415,8422,18738,-30898,22319, class:0
-96563,-2065,615,-1199,-96418,-1035,-96615,2352, class:1
-98761,97,-1583,-41,-98616,-3233,-98813,154, class:1
-98789,69,-1611,-69,-98644,-3261,-98841,126, class:1
-1302,9997,-1096,9040,-1183,22110,-1302,24004, class:0
-2289,7986,455,154,171,8439,-2973,11405, class:0
-3326,6949,-582,-883,-866,7402,-4010,10368, class:0
-117,2001,124,359,-75,629,-188,2001, class:0
-1826,-27,-588,-142,-2642,-107,-2805,717, class:1
4573,5385,2968,2819,-13272,8054,17349,11813, class:0
7804,9680,-54,-159,24988,9045,24935,11423, class:0
-7934,2818,-7636,2501,-7904,2549,-7979,2818, class:0
-25200,3242,191,133,-25386,3242,-25553,21468, class:1
