TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-2155,3326,-1378,-1428,-6525,10228,-7587,12114, class:0
-925,87,-772,-364,-343,130,5775,193, class:0
-2794,-41,-1003,-794,-1124,-272,-3279,862, class:0
40141,-40587,40359,41234,40186,-41202,40141,-40587, class:0
-1234,-23,-788,-418,-3032,-401,-3337,1641, class:0
14446,-37793,14510,14413,14446,-39317,-15400,-37793, class:0
198,10686,303,9701,-6942,33707,-45328,38353, class:0
40,2930,157,1158,44,1284,-293,27869, class:0
4182,-2991,2519,2162,-5877,2271,-6214,21948, class:0
4672,4906,4965,-5821,-21231,4906,-21568,6594, class:0
-10728,1140,-9850,1013,-10543,1140,-73555,3097, class:0
-13160,665,-12282,-1419,-12975,-1292,-75987,665, class:0
-18353,27343,-4031,-4210,-18143,24665,-18353,27343, class:0
-7103,11701,-12,-226,-7060,-120,-7113,11701, class:0
-11568,7236,-510,-611,-11525,-4585,-11578,7236, class:0
4735,41,-3820,-28,-8439,-7616,-9507,12045, class:1
-390,1362,-290,1305,14836,4067,14420,4462, class:0
-3453,-3581,-21,-54,-3421,-54,-4268,8098, class:0
2753,4964,-2680,-2713,-6080,-2713,-6927,5439, class:0
282,-264,-245,-371,-23304,-9183,-23471,13577, class:0
19250,36468,-2118,-2270,-2205,-9444,-43272,37558, class:0
2250,-1881,-2145,2238,-17217,-44464,-21417,-42256, class:0
-1645,1361,-354,671,-1615,1229,-1645,1361, class:0
-4728,2287,-356,-937,-1901,1955,-4728,2287, class:0
-2256,2739,111,-467,-2252,2669,-8157,2739, class:0
-364278,-310925,-319434,-312845,-362834,-312820,-435806,-310925, class:0
-367159,-313806,-322315,-315726,-365715,-315701,-438687,-313806, class:0
-1735,4157,-1655,-1743,-2074,-6193,-12291,-6109, class:0
-4852,34744,-2393,2572,-2559,34525,-4852,-40265, class:0
2163,-721,-1027,-1089,2163,-1073,2163,4016, class:0
-5001,-2395,624,455,-4970,5077,-13347,16640, class:0
-3791,3821,-3577,3684,-15880,3797,-24257,5730, class:0
-225,2984,-591,-911,388,65700,-25863,66733, class:1
22437,4760,133,-18,-42031,23281,-68282,24314, class:1
9377,-8300,-6857,-1115,-55091,10221,75030,11254, class:1
9170,-8507,6853,-1322,-55298,10014,74823,11047, class:1
4502,5463,2185,3082,-59966,5346,70155,6379, class:1
-1021,-60,-728,-308,64700,-177,64632,856, class:1
-3395,22249,-3091,15949,-3841,16606,-18531,27039, class:0
-3576,22068,-3272,15768,-4022,16425,-18712,26858, class:0
-29268,1163,-3497,-1941,-29714,-1839,43693,1166, class:1
1134,1643,-78870,-78658,1134,1643,1134,1643, class:0
-4381,1999,-4330,-3376,-28432,-3200,-28433,1999, class:1
-4627,1753,-4576,-3622,-28678,-3446,-28679,1753, class:1
-9432,32411,8138,8099,46828,52689,-9824,53187, class:0
-3534,1216,726,582,-3436,5537,-3538,7522, class:0
-5525,4438,-5457,-1063,-1048,-206,-5525,4438, class:0
-172,5636,43,-120,-12131,5011,-12225,5831, class:1
-834,4974,-619,-782,-12793,4349,-12887,5169, class:0
-4486,1322,-763,440,-16445,697,-16539,1517, class:0
-5780,28,-2057,-854,-17739,-597,-17833,223, class:1
7193,20125,7342,9892,9996,33562,-34714,34326, class:0
-15170,18323,5752,5627,10012,21565,-15840,24479, class:0
