TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-1617,613,174,-22,53,905,-2102,2039, class:0
-131,2185,154,1815,757,2451,-131,-7205, class:0
-4502,-6409,203,133,-17186,6746,-17302,8777, class:0
-9424,2003,-456,363,-9324,1534,-9424,2003, class:0
13807,13199,13264,13139,-61072,16926,37303,20280, class:0
-6464,9,-3860,-3533,-81343,-3345,17032,9, class:1
51556,216,99,-250,-117115,-163555,-117207,-163472, class:0
4840,12356,2507,1901,1920,19422,-6739,19948, class:0
-2858,61,-438,-126,-547,0,-3133,61, class:0
-6430,50690,-6021,50425,-6049,113024,-6743,131059, class:0
-51895,14744,6890,6803,-107624,11449,-108318,29484, class:0
-3253,-3155,2378,2298,-9455,3416,-10516,5308, class:0
-194,1192,60,-35,-20,1121,-194,1192, class:0
23562,53676,19753,19602,32115,53645,58423,56860, class:0
3343,9419,2480,2297,-48587,9290,-49145,11712, class:0
-25550,597,-10754,-4837,-75671,-3353,90591,73603, class:1
-403,1349,-303,1292,14823,4054,14407,4449, class:0
-2727,-41,-409,-585,7374,-445,6869,-41, class:0
164,196,197,144,-8252,674,-9318,4440, class:1
40,154,-222,-22,-10161,-562,-11227,2531, class:1
-2922,-20297,-2798,11598,11608,-20800,-2922,-20297, class:0
-14720,19408,260,-200,-190,13247,-14720,19408, class:0
-2410,-1240,-216,-293,-27156,-1890,-27245,14980, class:0
-1740,20791,-1573,4836,-1740,20440,-1740,20791, class:0
-1678,5824,-1562,5256,-1672,12833,-1888,15796, class:0
-796,2210,-480,-83,-766,2078,-796,2210, class:0
-1079,1927,212,-366,-1049,1795,-1079,1927, class:0
-938,2059,349,-229,-912,1932,-938,2059, class:0
38457,10531,1747,1675,6273,10578,38457,11665, class:0
8431,335,-1999,-1415,8457,-1284,8431,335, class:1
7938,8899,5621,-2554,-56530,8782,73591,9815, class:1
-935,26,-642,-222,64786,-91,64718,942, class:0
-3944,-3097,-984,-1084,-3954,4384,-4044,15362, class:0
-5002,21597,-4885,17770,-4976,21168,-5004,-28966, class:0
-11441,15158,-11324,11331,-11415,14729,-11443,-35405, class:0
-17991,8608,4961,4781,-17965,8179,-17993,37816, class:0
-24885,46863,-24694,42787,42811,46321,-24885,46865, class:0
-30963,73615,-26116,-26244,-30883,73552,-31481,86379, class:0
-89718,14860,14636,14390,-89638,14797,-90236,27624, class:0
5500,8827,-1413,-1654,-1576,6280,-6928,10046, class:0
-923,202,-140,-159,-947,2891,-1014,31828, class:0
-19398,22445,-1828,-1867,36862,42723,-19790,43221, class:0
-14355,1577,220,171,181,6042,54676,6540, class:0
-1158,8805,-1090,3304,3319,4161,-1158,8805, class:0
-3389,9798,-1526,-1626,-7969,9173,-8063,9993, class:0
-2253,3555,871,744,-14212,2930,-14306,3750, class:0
-39235,391,-5666,-1104,-14053,-1015,-39905,414, class:1
-39266,360,-5697,-1135,-14084,-1046,-39936,383, class:1
-39429,197,-5860,-1298,-14247,-1209,-40099,220, class:1
211775,270829,211958,222762,259835,270829,211775,270848, class:0
-15814,45,-2723,-336,-16344,-275,-16693,2211, class:1
-16617,-758,-3526,-1139,-17147,-1078,-17496,1408, class:1
-95878,-1380,-1246,-514,-95733,-350,-95930,3037, class:1
-96289,-1791,889,-925,-96144,-761,-96341,2626, class:1
-23747,-13857,11634,11476,-41541,25826,-41782,27569, class:0
1076,655,1288,-2016,-3415,-1846,1076,660, class:1
-1202,916,-664,-569,-1160,-428,-1273,916, class:0
-8214,10688,6456,6272,-8139,7427,-8253,10691, class:0
5331,20321,-5260,5211,-13362,20214,-13464,23679, class:0
-8940,10168,970,750,905,10182,-9486,11412, class:0
5885,2134,-219,-362,6493,2622,5885,5580, class:0
-1069,-1374,-169,-2055,-461,-1693,-1069,-1374, class:0
10871,31959,5766,5651,11105,5760,-57698,73090, class:0
-13895,7173,5789,5766,-13681,7166,53878,48304, class:0
-2431,-360,-1625,-692,-8657,-517,14561,776, class:1
-2630,260,-1824,-891,-8856,-716,14362,577, class:1
24249,2501,-1730,1701,24749,2401,24249,6981, class:0
20366,-1190,-5613,-2182,20866,-1482,20366,3098, class:1
-30436,247,-25541,-598,-27106,-575,-32906,248, class:1
-5417,-13455,572,543,-52495,36521,-52624,37673, class:0
-2637,9408,-543,-577,-2436,17749,-6885,18230, class:0
-5457,-367,-5055,-2297,30678,-2183,27773,658, class:1
-16054,530,-64,-250,-9425,3007,-16069,7792, class:0
-98,1184,-68,194,1913,2473,-1804,2512, class:0
-4556,33136,-4417,14652,29646,50917,-4556,51517, class:0
-11475,136,-3588,-2741,-21730,-459,-55932,141, class:1
-518,506,38,-41,1136,42,1106,506, class:0
-561,463,-5,-84,1093,-1,1063,463, class:0
-3523,1534,124,24,-3493,988,-3523,1534, class:0
-4704,353,-1057,-482,-4674,-193,-4704,353, class:0
-4248,10360,-4173,9508,-5045,18795,-5884,19386, class:0
1886,177,-1353,67,-3789,5427,-19252,6018, class:0
-5705,-3241,-3243,-3285,-5559,6866,-6446,-7476, class:0
2660,4423,-1400,-1880,-1842,6272,-2787,7040, class:0
920,-1427,-122,-291,-2689,5443,-2699,7239, class:0
-2535,1210,-1691,1090,-7007,1125,-7017,2921, class:0
-3788,-43,-2944,-163,-8260,-128,-8270,1668, class:0
-4619,836,-3775,-994,-9091,-959,-9101,837, class:0
-4863,592,-4019,-1238,-9335,-1203,-9345,593, class:0
-14137,3095,446,360,-13927,1748,-14200,3101, class:0
-7455,863,-4833,619,-5048,723,-7455,863, class:0
-19530,14759,187,-2,-19184,14622,-19530,14759, class:0
1522,-1987,497,397,-3684,23270,-7640,25590, class:0
-6463,38,-3637,-869,-29236,-2282,-33192,38, class:1
-2726,18021,-2313,16959,-2726,18224,-2735,18933, class:0
-486,1917,-367,773,-456,1689,-486,1917, class:0
-1861,542,-416,253,-1831,314,-1861,542, class:0
4882,3292,-1395,826,7968,1541,4882,3298, class:0
-446,-572,-228,-711,1331,1990,-1398,2610, class:0
-2133,-310,-740,-501,-356,303,-3085,923, class:0
-915,-917,-430,-574,-8890,-994,-8969,13146, class:0
-139,719,-6,-296,-12359,-4463,-12438,9677, class:0
2363,2918,98,-31,-45262,15249,-45349,17419, class:0
-888,-507,-83,-229,14646,-199,12309,10154, class:0
-1533,1403,209,49,-1876,188,-2396,-2585, class:0
534,887,121,26,-2270,2944,-2509,3256, class:0
-10237,36972,-10146,28101,36747,63087,-182636,66501, class:0
-3207,6190,2185,2053,2635,7060,-3400,7485, class:0
3079,4309,304,172,754,5179,-5281,5604, class:0
-206,-71,42,-113,-3965,460,-1e4,885, class:0
-9325,-305,-635,-711,-9302,-631,-9353,2953, class:0
-3051,1623,-63775,-62364,-932,555,-3051,1623, class:0
6008,47276,6098,43870,6090,-102543,-49888,-101700, class:0
-9703,2691,316,290,-9581,2359,-9767,6508, class:0
-232,11662,-41,-141,5410,21349,-513,21578, class:0
-825,-3455,-679,-7959,10280,-7918,-861,-3455, class:0
-29476,6674,6124,6038,-29461,6098,-29515,6674, class:0
-9997,3919,625,444,-21093,2653,-21383,3921, class:0
-1149,3776,-404,1995,2064,13177,-1507,14e3, class:0
-7889,-1224,885,194,-4676,6437,-8247,7260, class:0
-14857,290,-2846,-1266,-11644,-531,-15215,292, class:1
-1036,-976,879,613,4411,1461,4410,2803, class:0
16506,5192,-553,-637,-26172,18742,-29560,41412, class:0
-2550,-959,-1987,-1272,-59810,6232,-63198,7774, class:0
-13657,2396,-213,-422,24757,3784,24544,3961, class:0
7087,65992,7174,-10567,-10437,67332,-11296,73300, class:0
44,58949,131,-17610,-17480,60289,-18339,66257, class:0
29644,6262,351,179,-27854,7602,29644,13570, class:0
17728,1645,-5621,-4428,24044,-4314,17728,1654, class:0
16521,438,-6828,-5635,22837,-5521,16521,447, class:1
-735,83844,-606,44049,39142,-94505,-105772,-90417, class:0
-1093,-836,-1031,-1094,68408,116154,-93558,121358, class:0
6664,-4007,-5952,5812,5821,-5937,-27352,36372, class:0
-27014,-241,-1273,478,-27857,548,-61030,2694, class:1
-73664,41153,1018,929,-73646,39622,-265453,318094, class:0
-1989,24660,-182,229,-256,24024,-8437,24662, class:0
1019,1040,1081,941,-23670,-8464,-24131,39097, class:0
-4652,-16937,62,-78,-4523,-17968,-5127,-16937, class:0
10259,12099,-499,-646,-13737,19488,-13779,19897, class:0
-2401,5450,-1931,-2169,-2166,10614,-5714,14741, class:0
