TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-517,400,748450,749888,-517,400,-517,400, class:0
26164,27823,26421,27590,26164,27823,26164,27823, class:0
25773,27432,26030,27199,25773,27432,25773,27432, class:0
-3941,2047,645,490,-3171,-14068,-4166,-10973, class:0
-2386,3794,-2161,-2269,7016,3661,6900,5289, class:0
-643,-322,-505,-1142,-2589,5581,-2805,12390, class:0
-2425,-1703,179,-51,-77304,694,21071,4048, class:1
-5808,665,-3204,-2877,-80687,-2689,17688,665, class:0
-2361,-2445,-1937,-2065,-5660,21378,-56269,23281, class:0
-830,5799,243,164,-22888,4150,56162,6053, class:0
11898,38066,11962,11865,11898,-41865,-17948,-40341, class:0
-7933,2543,1800,1558,1585,25564,46407,30210, class:0
-12414,-1938,-2681,-2923,-2896,21083,41926,25729, class:0
-125,-260,-42,-139,-4624,8247,-5685,10139, class:0
5613,24423,5754,-22343,-61904,24330,-62111,-211849, class:1
-17123,2578,-4736,2390,-19688,2580,-28183,3031, class:0
-9024,-2260,2374,2226,-9024,-3208,-9044,20181, class:0
-27373,1184,-2279,1087,-27373,1184,-27393,1832, class:0
-27496,1061,-2402,964,-27496,1061,-27516,1709, class:0
-17922,22279,-17865,21800,40789,-56584,-17935,-54794, class:0
-12752,6052,-1694,-1795,-12709,-5769,-12762,6052, class:0
-93,140,280,89,61280,-4785,39756,10190, class:1
-5184,-35561,-5062,-36905,15529,-36844,-5995,-35561, class:0
-674,-154,12,-81,-25420,-154,-25509,16716, class:0
-9197,-8027,1136,932,33232,5985,29032,8193, class:0
-5252,2250,4138,1682,-5246,9259,-5462,12222, class:0
-5676,1826,3714,1258,-5670,8835,-5886,11798, class:0
-10454,-2952,-1064,-1177,-10448,4057,-10664,7020, class:0
-1554,5461,-1477,1257,1273,5129,-1554,5461, class:0
-330,2676,-14,383,-300,2544,-330,2676, class:0
-52561,778,-7717,-1128,-51117,-1103,-124089,792, class:0
117086,249101,117528,153640,117321,258753,-208340,310999, class:0
54008,19519,3250,3019,116564,16111,54008,19519, class:0
-80,-11782,47,-105,-36054,-12265,68054,58442, class:0
-2031,-12013,-2017,-12199,-2324,-14883,-2401,-12013, class:0
13296,3938,875,728,13322,3577,13296,5200, class:0
-148,8220,-75,1367,8177,-9175,-200,-8825, class:0
-1215,1994,-322,1485,-602,64710,-26853,65743, class:0
-1735,2836,-1586,-52,-1667,375,-1735,2836, class:0
-2809,1762,-2660,-1126,-2741,-699,-2809,1762, class:0
-17636,17499,102,-15,-17596,16345,-17636,17499, class:0
-38296,66282,22133,21934,-38216,66219,-38814,79046, class:0
-1945,471,-1104,-976,-7821,-827,-8118,471, class:0
13952,4,-126,-215,-9305,-201,13952,3219, class:0
-14395,1537,180,131,141,6002,54636,6500, class:0
-1302,8559,-1034,6193,6219,13194,-13464,50511, class:0
-10578,-4274,-103,-417,-32894,5777,-52577,11398, class:0
-5289,519,-1566,-363,-17248,-106,-17342,714, class:1
-333,2236,-235,515,522,2312,-589,2513, class:0
-6545,1356,-91,-294,-271,1652,-6972,1804, class:0
3479,10950,36,-106,-49048,14719,-49197,15044, class:1
598,852,-16,-47,-335,1287,-2085,2484, class:0
192,446,-245,244,269,881,-2491,2078, class:0
-58,-243,-14,74,-420,192,-3180,1389, class:0
-2249,6813,-1768,-1880,-4354,-15705,-6924,-14396, class:0
-12027,2234,-1645,-1737,-14132,6086,-16702,7742, class:0
-665,83,87,-17,-556,31,-5021,83, class:0
1686,1103,151,32,-7797,4903,-10560,6020, class:0
-6498,3777,-3754,3490,-4038,4230,-7182,7196, class:0
-9858,417,-7114,130,-7398,870,-10542,3836, class:0
-11092,-817,-8348,-1104,-8632,-364,-11776,2602, class:0
