TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-610,402,-457,-49,-28,445,6090,508, class:0
-1830,4,6,-156,-1374,314,-2498,612, class:0
-2114,-280,-278,-19,-1658,30,-2782,328, class:0
-6401,746,-4652,-3055,-5177,-2349,-7275,746, class:0
2965,-3616,-287,-357,-8834,9012,-9829,10640, class:0
-4393,2080,-1789,-1462,-79272,-1274,19103,2080, class:1
-6955,-7039,157,64,-10254,16784,-60863,18687, class:0
37742,28169,26537,26400,104336,27947,95677,79872, class:0
212,102,-186,-297,-8673,-150,-35508,1074, class:0
-5133,-7136,-4766,7051,-93658,7068,-93865,-243603, class:1
-391496,-377351,-15926,-16061,479409,-377827,-480228,504154, class:0
-330,32793,-39,9820,4891,29764,-330,36232, class:0
-5615,13189,1476,1262,-5572,1368,-5625,13189, class:0
-235,1457,368,1423,270,1447,-235,1948, class:0
-496,-170,-167,-302,-3202,2235,-4663,4289, class:0
368,1254,788,680,-6626,3455,-8887,3692, class:0
-6754,15777,38,-178,-6754,15426,-6754,15777, class:0
-1655,1351,-364,661,-1625,1219,-1655,1351, class:0
-23541,-1800,1495,1366,-1789,5296,-25556,8936, class:0
3060,-950,3124,-1051,3085,-1034,-7132,-950, class:0
587,2139,-333,733,-710,2210,-791,-2427, class:0
-727,-200,-665,-538,2798,-356,2660,1634, class:0
-4212,16820,-4029,12952,-4120,34905,-4212,36667, class:0
3534,6861,-3379,3413,3444,4314,-8894,8080, class:0
-9674,4601,3764,3606,-9207,4407,-9674,4601, class:0
-33922,-429,-353,-550,-8740,2813,-34592,5727, class:0
-5074,-81,-338,-430,-35902,27865,-36051,28190, class:0
-2206,580,-24,-155,-2991,-18,-3036,1610, class:1
-2910,-124,389,279,-3695,413,-3740,906, class:0
1498,15056,1575,9884,1544,15004,-2220,42940, class:0
-26589,-16699,8792,8634,-44383,22984,-44624,24727, class:0
-19579,32503,17602,17487,17537,53465,70995,57026, class:0
5489,-4896,-2613,-2706,-19862,16066,33596,19627, class:0
-4829,-5571,-1569,-1670,-4797,5588,-4896,-5571, class:0
-4232,16916,1404,1328,1350,-35892,-4281,-35466, class:0
-2155,211,-1473,58,-2095,189,-2156,410, class:0
2753,2966,1211,1127,-7296,1430,-7448,6807, class:1
-4099,6236,2367,2262,-4025,9818,-4216,19948, class:0
13355,34443,8250,8135,13589,8244,-55214,75574, class:0
-8596,-4685,-3701,-3722,-5266,-3705,-11066,22088, class:0
856,2936,1134,1009,-85717,3299,-85846,4451, class:0
-188,-571,-145,871,876,8646,-1848,9353, class:0
-365,-649,-73,118,-354,-788,-375,-649, class:0
-1329,1548,120,2,-1318,1082,-1339,-1613, class:0
-1558,-1967,669,618,-1560,-2572,-1560,-1967, class:0
-1397,146,-184,84,29769,111,18588,702, class:0
-19158,42205,-5047,-5128,34345,-22059,-19160,42205, class:0
-36351,25012,17974,17151,17152,24517,-36353,25012, class:0
-13938,-6689,9534,-6749,-26332,-6690,-27478,11948, class:0
-3704,535,623,374,-2955,18316,-37157,18916, class:0
-4936,-11032,-3306,-3357,-4728,-11437,-4936,-11032, class:0
-13139,14300,1400,1216,-13146,-12007,24999,24809, class:0
-3637,288,-1013,93,-16403,-2550,-17290,1209, class:0
-2766,10119,-2662,3909,-2881,9793,-3039,11797, class:1
-214,-664,83,-29,-2507,1735,-12721,2135, class:0
-3824,9191,-201,-286,-3527,7977,-4387,9229, class:0
-8261,4754,-1487,-1582,-7964,3540,-8824,4792, class:0
-1635,-52,46,-85,-7510,-36,-7553,19671, class:1
-1126,-2774,-1106,1802,1896,4050,-1190,-2774, class:0
-249,-443,-62,-187,-2091,1822,-2352,1896, class:0
-1624,7108,-156,99,-32412,-12880,-32499,30269, class:0
-243,19,46,-54,-2524,708,-2643,785, class:0
9840,1341,10103,1246,9924,23113,-31320,30255, class:0
2821,6864,2861,6822,-4904,8285,-46148,15427, class:0
-1614,366,-42393,-40982,-1370,-411,-1614,366, class:0
-1769,211,-42548,-41137,-1525,-566,-1769,211, class:0
5567,46835,5657,43429,5649,102835,-50329,-102141, class:0
-33906,1479,-606,-642,-27639,1405,-44132,1720, class:0
-44282,-4970,54,-51,64573,6044,64387,6509, class:0
-5549,17923,925,833,-5648,17898,-5798,-30091, class:0
-16470,868,-2010,-65,-16385,266,-16900,868, class:0
-7982,42648,-7591,-7743,-7900,52902,-13953,82982, class:0
-21595,29035,15039,14832,-21513,39289,-27566,69369, class:0
-13815,1332,-1804,-224,-10602,511,-14173,1334, class:0
-12736,21096,5893,5750,5818,37428,-13834,67544, class:0
-22641,-8295,-2277,-2396,-40037,-8427,-59689,21689, class:0
6080,-7562,4128,3987,-16356,30587,-18557,30764, class:0
-2826,35617,679,488,584,31856,-35797,52340, class:0
-29626,8817,-218,-486,-26216,5056,-62597,25540, class:0
-90,-16164,-6,-22246,6226,-22132,-90,-16164, class:0
-18383,-219,-512,-687,51118,98864,108228,104068, class:0
15004,-11979,4533,4522,39358,87104,96468,92308, class:0
286,15874,455,-3476,-1974,13944,-7471,56253, class:1
-9518,9493,774,665,-9485,18226,-9683,18950, class:0
1490,1586,-644,-744,-13646,1710,-29251,4275, class:0
-1805,-545,28,-169,-3056,773,-3131,-1753, class:1
-513,77,-445,-321,5204,-1681,5100,3297, class:0
-624,797,227,78,2980,644,2876,1073, class:0
12137,2045,-3256,-1530,39731,-1312,12137,3163, class:1
-4143,11113,2958,2917,-6164,20558,-33758,21624, class:0
-15913,15503,805,587,-15784,15289,-16388,15533, class:0
-9708,-684,-1516,-824,-24359,-717,-39382,4232, class:1
-3983,3868,-3513,-3751,-3748,9032,-7296,13159, class:0
-13784,-157,-5363,-777,-13549,-769,-17097,3358, class:1
-22408,-5,-2180,-1236,-17914,-997,-22408,-5, class:0
-26739,-20381,-26591,-22066,-103810,53374,30730,-20381, class:0
198,-63592,282,10143,99574,10163,-12481,-63592, class:0
-13060,-29860,-4501,-4698,-12824,-30110,-13091,-29860, class:0
-6646,-453,-5846,-1128,-14975,-982,-15733,7877, class:1
