TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-432,562,449986,451424,-413,525,-432,562, class:0
24618,26277,24875,26044,24618,26277,24618,26277, class:0
24587,26246,24844,26013,24587,26246,24587,26246, class:0
-823,836,-566,603,-823,836,-823,836, class:0
39817,-40911,40035,40910,39862,-41526,39817,-40911, class:0
83,36,181,-13,-1551,-199,7090,5606, class:0
7986,7378,7443,7318,-66893,11105,31482,14459, class:1
360,94,516,53,-4776,83,-5802,3941, class:0
-14014,-13004,-12470,-13269,-69743,49330,-70437,67365, class:0
1238,8717,1749,7472,7524,53004,-41579,68148, class:0
1220,1344,1516,588,-1956,3144,-2309,-3142, class:0
-5935,-254,-773,-284,-12033,7650,-18537,7804, class:0
-9401,-3720,-131,-336,-15499,4184,-22003,4338, class:0
-5252,22802,465,-171,-161,19773,-10321,26241, class:0
-10088,8716,444,266,-10045,-3105,-10098,8716, class:0
-2,-130,141,-384,30,2705,-817,-11116, class:0
-2096,1546,617,520,-21617,18411,-22192,19141, class:0
-3204,1619,-19,-597,-1280,1489,-3204,1619, class:0
-867,1988,445,-130,-799,1921,-1882,1990, class:0
-21329,412,497,364,423,7508,-23344,11148, class:0
-3020,1250,-137,-253,3621,1069,3540,1904, class:0
-3818,1617,689,502,-3805,1267,-3943,1617, class:0
11764,14973,11398,11078,12377,-77077,-13874,-75144, class:0
-7014,18630,-6710,12330,-7460,12987,-22150,23420, class:0
16824,31824,-9533,-9651,136439,33783,136439,33940, class:0
-6317,3646,-6249,-1855,-1840,-998,-6317,3646, class:0
-7586,2377,-7518,-3124,-3109,-2267,-7586,2377, class:0
17020,2468,-2536,2017,17114,2133,17020,2473, class:0
-1594,24439,-1442,-1535,-1535,24208,-1607,-34014, class:0
-1076,675,-877,177,-1039,751,-2150,952, class:0
9746,27427,7779,7624,-80211,35736,-144574,66087, class:0
-2970,3940,2073,2017,-3500,12569,-3849,15055, class:0
67,-118,-95,38,-295,317,-3055,1514, class:0
28,-157,72,-1,-334,278,-3094,1475, class:0
-143,1472,27,958,997,1472,-862,3491, class:0
1745,6663,1819,5706,-4517,18776,-4636,20670, class:0
-3197,1745,-3091,-1005,-925,-110,-3197,1745, class:0
-265,244,-173,49,115,4422,-1546,5419, class:0
-14341,2770,-256,-385,18826,2662,17226,3571, class:0
-9186,29860,-9108,9450,-9180,79836,-9309,80988, class:0
-10362,-1942,-4437,-2232,-10362,-2575,-11869,2963, class:0
4948,3916,3928,3756,-6044,13598,-7190,32236, class:0
-1879,2104,-1832,-687,-365,435,-1879,2104, class:0
-2206,-2806,259,163,-2176,2305,-2206,-2806, class:0
-2997,2060,-47,38,-2967,1514,-2997,2060, class:0
-919,1089,335,218,-2761,1152,-3022,1226, class:0
764,-6192,743,438,-52234,-18025,52848,26356, class:1
15944,-4165,15985,-4280,-39901,25209,-70340,-70649, class:0
-4983,6863,-4865,5500,-4945,6239,-5003,11287, class:0
94146,-100247,52886,52883,-108021,115462,-114925,131605, class:1
92203,-102190,50943,50940,-109964,113519,-116868,129662, class:1
-8,1184,9,581,-10,3222,-129,3299, class:0
17626,-24251,17717,-24421,-24381,90950,-154773,94364, class:0
9341,-32536,9432,-32706,-32666,82665,-163058,86079, class:0
-8643,377,47,-29,-8620,51,-8671,3635, class:0
-15283,9651,-15108,9074,-15278,9079,-15427,29615, class:0
-43,4571,-88,371,382,4283,-9242,4646, class:0
-711,3992,-127,786,-1233,5975,-1288,6801, class:0
73994,-48317,-1566,-1606,-87706,-48579,154735,138579, class:0
-5811,13200,838,743,-5778,21933,-5976,22657, class:0
-67155,98882,-30495,-30667,-30567,122127,-561392,124883, class:1
-5228,4915,314,281,-5265,4754,-5341,7729, class:0
-15491,-383,7353,-413,7183,-14898,-16013,82786, class:0
-6525,286,81,-1016,-22129,125,-43848,4750, class:0
-14048,-5494,-3021,-3079,-13961,11167,-14130,12432, class:0
-2239,6045,164,-66,-2175,6013,-2239,6045, class:0
-7859,425,-1116,204,-7795,393,-7859,425, class:0
2679,2483,749,681,738,1733,-2698,6782, class:0
-270,-466,857,634,-2211,-1216,-5647,3833, class:0
-13014,6541,-4844,-4915,-4899,33861,-15072,44123, class:0
748,543,-931,522,858,-3485,748,543, class:0
-1476,1334,-852,-962,-2662,-687,-3837,-6541, class:0
-773,7904,-407,814,-595,6009,-1041,7904, class:0
52952,53588,53120,53198,53060,53538,52952,67795, class:0
-3014,-2460,-2530,-2850,-2988,-2510,-3096,11747, class:0
-34897,-34864,5118,4995,-87310,59358,-88045,73378, class:1
9796,4051,423,272,-1557,11197,-13864,11487, class:0
-4333,-49,16,-148,-4174,2994,-4453,3403, class:0
-5846,11406,-1585,-1636,-7816,8954,-17809,11406, class:0
113,1617,-242,100,1307,2797,-1514,3624, class:0
-398,350,-301,315,-314,5961,-706,417, class:0
-343,46,805,12145,-343,46,-343,46, class:0
-5701,-22334,-4248,-4379,35458,29984,34383,30515, class:0
3599,7810,-2474,-2586,4398,13091,-12723,14570, class:0
-3492,719,710,552,-984,6e3,8336,7479, class:0
-48,3174,92,58,81,23678,-26238,25349, class:1
-53,825,-40,215,-639,1602,-693,1717, class:0
-428,-258,26,-90,-1741,500,-1795,615, class:0
-1524,201,-609,-293,-274,235,-1548,561, class:0
-400,2123,57,11,-383,2174,-473,2703, class:0
1726,-5206,89,18,-7889,6416,-8361,6994, class:0
-299,2900,-56,-110,17778,8206,17565,16564, class:0
-7042,-683,-985,-1181,-10387,-855,-12976,12778, class:0
-2663,739,-127,-222,-1476,2388,-3630,7554, class:0
-66,29,-32,71,-811,1824,2111,1881, class:0
-20958,4732,156,33,-20705,1041,-20958,4732, class:0
-925,-776,782,720,-778,-17511,-9984,-17261, class:0
-1339,2793,-126,-392,-806,2214,-1339,2793, class:0
-242,-1210,457,888,437,1927,-1216,-1210, class:0
92,731,-187,244,-207,1283,-1860,1333, class:0
-1203,-2105,-1130,1486,-1178,-2307,-1266,-2105, class:0
55721,62405,-4110,-4168,60534,60600,60591,65659, class:1
6788,7328,-4219,-4260,-8515,23567,-22706,23926, class:0
35147,71672,9677,9577,35382,25137,-73068,133448, class:0
10706,47231,718,676,10941,696,-97509,109007, class:0
-29838,-6401,-7211,-3466,-87037,-3426,-198686,7830, class:1
-24833,9941,-14387,8392,-24675,49597,-25006,51150, class:0
-11745,-983,-1129,-1041,-11673,-987,-11815,15272, class:0
-901,21854,-637,1083,-10970,20941,-11021,22365, class:0
-2100,53866,-1578,-1731,-1818,60368,-3309,73382, class:0
15235,19475,-417,-518,-54038,20009,-86287,21673, class:1
-9961,-9526,6772,6667,-36944,14707,-95324,15601, class:0
-19178,53857,-18918,45457,50757,51848,-19178,53857, class:1
11541,17580,11613,11528,11541,-56402,-19903,-49641, class:1
-8413,-1370,2241,-1539,-63893,-5992,-95337,64805, class:0
-50722,191301,-343,-394,-50552,201312,-50750,207497, class:1
-78108,163915,-27729,-27780,-77938,173926,-78136,180111, class:0
72589,109992,23791,23690,-131861,120003,-132059,126188, class:1
-3727,-4281,-3707,-4674,-4606,10055,-69057,82350, class:0
-16342,16878,-1434,-1539,-49900,27598,-114351,37056, class:0
-11927,-1026,-1010,-1145,-14604,-2847,-58327,67703, class:0
-8400,-7692,-4521,-4600,-11005,-4594,-11084,11451, class:1
-37179,47765,1694,1546,-37110,97043,-62512,97516, class:0
6867,-6779,-6705,-6887,39594,-12774,-107177,-136095, class:0
-1894,2139,258,-326,-1823,8,-1939,2172, class:0
-20042,24903,-772,801,-19645,25383,62325,41230, class:1
12978,13150,13196,12977,12978,21961,-26823,27805, class:0
-10697,5501,85,46,-15871,5372,16757,6117, class:0
10244,21981,10493,15081,18030,23989,-19763,24348, class:0
-501,467,-372,-268,-236,75,-501,467, class:0
-5677,77,2729,-35,-11636,25201,-11834,29274, class:0
-389,1247,-14425,-14037,783,1130,-389,1247, class:0
-107,8976,54,8228,8892,9790,-5563,10989, class:0
-6476,235,298,114,151,1049,-14304,2248, class:0
-12353,-10615,-3308,-3583,-16258,-52529,-19912,-45785, class:1
-1810,364,19924,35040,-1751,-1341,-1810,364, class:0
-7711,29933,-7219,18451,-7632,28287,-7750,71610, class:1
57,2619,-192,154,2255,15097,-5816,29165, class:0
-4694,-35678,3333,3119,-4605,-37690,-5028,-35678, class:1
-32113,39285,13924,13822,243088,244860,-277799,251088, class:1
-3652,2537,-3491,-1147,-1133,435,-5996,2541, class:0
3366,-3636,3462,3305,39090,21273,38711,26953, class:0
-231,713,118820,121771,-231,713,-231,713, class:0
-16,922,16350,-45134,-16,922,-16,922, class:0
-91,835,-288924,-288341,-91,835,-91,835, class:0
-544,406,-423415,-422832,-544,406,-544,406, class:0
-3578,7451,-3484,3866,3913,8413,-3754,9996, class:0
-12014,187,-4507,-1107,-1048,-23,-12190,1560, class:0
-3011,-2295,-1612,-1832,-2803,-1702,-13327,6649, class:1
887,3606,-256,-340,-999,3541,-2793,-4769, class:1
-953,1e3,86,-454,-867,596,-1631,1718, class:0
-1376,124,-977,-880,-1295,-600,-1376,124, class:0
412,3239,554,2925,486,19087,-2276,19718, class:0
-4328,10886,-3686,4866,-4300,8364,-4328,13618, class:0
1255,2411,1360,1199,15129,8786,14579,13293, class:0
47831,8073,7118,7020,-24411,117956,-344599,120646, class:1
24815,-5622,-5621,-5717,25070,195766,-266789,198456, class:1
9700,44065,9756,-14145,-55756,245453,-217102,248143, class:1
10783,45148,10839,-13062,-54673,246536,-216019,249226, class:1
12830,47195,-10890,-11015,-52626,248583,-213972,251273, class:1
-5431,12040,56,18,-23267,11107,-23267,12299, class:0
-4474,12997,1013,975,-22310,12064,-22310,13256, class:0
-2869,5482,-1035,1104,-2846,1440,-2896,-9550, class:0
-395,2438,-109,278,-395,2438,-395,2438, class:0
-2304,-4232,-2277,-4901,-11786,18931,-11941,19809, class:0
486,-8746,526,-1082,19633,10248,19605,14217, class:0
-322,13111,-222,1957,-261,13111,-322,15849, class:0
6149,9494,628,570,-76412,25313,-76492,38560, class:0
15903,22397,16038,16247,-25004,76721,-25084,89968, class:0
-153,477,-13,-97,-504,-38,-872,1004, class:0
-497,-78,1,-114,-43,2667,-2188,3017, class:0
6673,6813,6963,6698,6682,34428,-28571,37039, class:0
2043,291,2221,-2360,2144,-1298,2043,291, class:0
-5838,4982,2387,2135,2167,2908,-5859,4985, class:0
-2754,-1227,498,354,-2690,502,-2831,1373, class:0
-1040,-45024,-975,-45905,60122,-58293,-1147,-45024, class:1
14825,9421,9423,9246,16014,20825,-36302,34094, class:0
7128,9881,7199,8543,11310,15346,-20204,19090, class:1
-488,319,-260,252,73071,27912,72896,50151, class:1
81,888,309,821,73640,28481,73465,50720, class:1
