TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-6326,-11908,-3987,-4248,-4035,-11971,-6326,-11908, class:0
978,6139,1208,1768,1204,7479,978,12571, class:0
-538,-1479,-51,26,-3622,-710,-7211,4382, class:0
-78,1584,-180,198,-206,1706,-660,1809, class:0
-224,1485,138,10348,10477,1481,55936,51533, class:0
-6446,27,-3842,-3515,-81325,-3327,17050,27, class:1
2268,70,52,-31,-86257,-23,-86464,-236202, class:1
2205,7,-11,-94,-86320,-86,-86527,-236265, class:1
-2653,56,-2432,-124,-2578,-105,4570,1682, class:1
-3512,481,-2058,228,14114,-247,5126,483, class:1
16045,10087,697,571,-14252,8144,16045,10093, class:0
-13150,4033,-648,-852,-801,3447,27919,5123, class:0
2187,20330,2315,2900,2256,52683,-179490,53216, class:0
-20172,14963,1141,963,-20132,13809,-20172,14963, class:0
13982,15,-96,-185,-9275,-171,13982,3249, class:1
-3766,43,-467,-31,-4551,-2,-4596,50, class:1
-96399,-1901,779,-1035,-96254,-871,-96451,2516, class:1
-97086,1772,92,1634,-96941,-1558,-97138,1829, class:1
88,86,179,67,-11094,12199,-11213,14093, class:0
-2410,464,-684,296,-11893,807,-14656,1924, class:0
-978,341,-7854,-7268,-903,-157,-978,341, class:0
-1752,124,-316,-58,15432,-383,15379,1867, class:0
-3159,7100,-3068,5261,-3162,5564,-3314,10941, class:1
-141,3029,-48,1009,1014,2006,-141,3029, class:0
-1191,6185,-1098,2825,-1191,11668,-1220,12922, class:0
-1892,52,-1594,-209,-1862,-68,-1937,8860, class:1
-1476,95,99328,115249,-915,-598,-1476,95, class:0
-1554,-11,-341,-73,29612,-46,18431,545, class:1
-1610,-67,-397,-129,29556,-102,18375,489, class:1
-3376,34,-2974,-216,-30040,-102,29854,2739, class:1
-820,462,68,-136,1191,1751,-2526,1790, class:0
-22,2069,47,1081,1193,2194,-23,2726, class:0
-2821,2236,129,-78,-2791,1690,-2821,2236, class:0
-3587,-8056,-2908,-9695,-3241,-9439,-3587,-8056, class:0
-10554,8694,6059,6010,7911,20097,-11203,21213, class:0
-1142,-4,-633,-162,-12265,-79,-31379,1037, class:1
-2956,10059,667,582,-2659,8845,-3519,10097, class:0
-7146,5869,-372,-467,-6849,4655,-7709,5907, class:0
-5671,19,-2845,-77,-28444,-1490,-32400,830, class:1
22791,7152,-3844,-3976,25520,6988,22791,7155, class:0
-9318,-101,-1226,-523,30718,-455,27700,1208, class:1
-580,-10,24,-45,-520,-538,-2148,1660, class:0
-160,733,-25,418,666,905,-12436,18349, class:1
2852,5350,-1433,-1504,-3491,4456,-3543,22416, class:0
-1904,-260,-1697,-671,-35065,-500,-35551,1633, class:1
10587,-64,-3528,-856,10755,-761,10587,238, class:1
10552,-99,-3563,-891,10720,-796,10552,203, class:1
-1604,61811,-1432,11199,-1508,61306,-1604,61811, class:0
-79881,-35265,-79613,-35598,-80030,-35582,-303034,294500, class:1
-82719,-38103,-82451,-38436,-82868,-38420,-305872,291662, class:1
74835,54971,-30,-95,126470,-144904,-412356,185178, class:1
74813,54949,-52,-117,126448,-144926,-412378,185156, class:1
-50430,-708,-17584,-1799,-53017,-1723,285375,5691, class:1
-53310,-1945,-20464,-4679,-55897,-4603,282495,2811, class:1
-15740,23951,1505,1416,20598,20565,-68897,24682, class:0
-18629,5855,5856,5747,-222242,7048,-222293,86288, class:0
1196,40,-16,79,-3801,28,-3876,-2498, class:1
-596,825,255,106,3008,672,2904,1101, class:0
114277,213480,114476,114282,-124656,-286636,-124804,-286285, class:0
-12216,1716,-4024,-3332,-26867,-3225,-41890,1724, class:0
-25910,28081,-13238,-13306,-60078,21721,-60187,42904, class:0
-694,165,329,152,-3682,-3506,-5279,4620, class:0
-5279,-27,-1250,-123,-8267,-24,-9864,35, class:1
-3126,7017,66,-46,-3163,6856,-3239,9831, class:0
-37803,11747,244,132,-50801,9378,57516,11750, class:0
6620,21733,6802,6905,6940,26976,-67863,27340, class:0
1905,1709,-25,-93,-36,959,-3472,6008, class:1
-15922,122,-6085,-598,-44776,-359,-54949,4246, class:1
-2531,279,-1907,190,-3717,279,-4892,-7596, class:0
1238,3006,-38,-160,-76,10770,-4177,16573, class:0
502,2148,-435,-515,-5759,2027,-24014,2760, class:0
2828,70,-708,-321,4600,-181,2828,1306, class:1
-7486,-2861,-125,-445,-37280,13414,-37478,21573, class:0
-1033,3427,-997,2505,2506,3370,-1033,3452, class:0
2727,35401,2809,2602,2739,42704,-6722,49549, class:0
-1989,10943,-1796,9231,-21719,18246,-31180,25091, class:0
-18028,2682,-3645,1947,-37758,2207,-47219,9052, class:0
-3223,1151,548,370,-14480,6269,-15341,8144, class:0
-10708,659,-6242,-1449,-21965,-1216,-22826,659, class:0
-309,14773,-110,-216,-324,-26570,-368,-24195, class:0
-4334,-218,-1018,-386,-42233,-1056,-42277,4873, class:1
-30252,6515,-1024,-735,-26707,-580,-30307,6515, class:1
-184,1998,-37,1212,1319,2928,-368,4082, class:0
2573,-2726,-1829,-2030,-3457,2818,-3849,-2726, class:0
-17458,-125,-104,-199,-33056,6519,-33056,7449, class:0
2172,-5452,-1710,1757,2291,-5840,-2330,-5452, class:0
640,1241,114,-39,2929,-30,2821,2681, class:0
-677,2408,-619,1325,1357,1911,-677,2408, class:0
-1117,146,-1084,-428,-407,-75,-1117,146, class:0
-6329,401,-6200,-243,-223,127,-6329,401, class:0
-297,5746,-191,-344,-289,3810,-4657,-6600, class:1
-379,-640,-315,382,468,-697,-410,-640, class:0
-1744,603,-140,198,-2949,462,-3228,616, class:0
-3006,6058,-2560,-2798,-3008,10854,-3253,12511, class:0
229,618,82,-19,-1165,1440,-1716,3089, class:0
-1670,114,-1152,-135,-5655,1,-24642,6293, class:1
-30453,252,-7071,-163,103544,-99,103399,309, class:1
-1054,9708,-920,2540,-982,9704,-1124,-24948, class:0
-174,-28189,79,11930,-123,31788,-174,-28189, class:0
-3123,401,402,260,-20381,7075,-29998,7509, class:0
1833,16473,-677,-767,3814,16457,-28520,19623, class:0
-1504,3033,-1118,-1628,-1536,5054,-2553,-6408, class:0
-41,147,217,121,-1896,147,-7460,5091, class:1
-2264,-1904,86,-29,-40982,3885,-44180,4202, class:0
-6380,82,-2852,-582,-45098,-231,-48296,86, class:1
-93333,-8389,-658,-750,-93264,40889,-118666,41362, class:0
-16961,1181,-116,-257,-127786,725,-127970,3914, class:0
-18041,101,-1196,-391,-128866,-355,-129050,2834, class:1
4891,1835,838,767,5854,-8624,-10332,139490, class:0
-21337,71718,-18,-277,-21288,91429,-21558,99588, class:1
3551,4944,301,188,-8237,14452,-10706,27421, class:0
8749,-11577,-3482,-3592,-9336,-18614,-9405,-11577, class:0
-444,1614,177,73,14236,1295,13921,9535, class:1
-2004,54,-1091,-314,12676,-87,12361,7975, class:1
1894,96,-2590,-493,5086,-335,1894,96, class:1
186672,194858,186860,187929,186752,202326,186672,204134, class:0
-122,960,-34,465,1695,4634,-174,4730, class:1
-2731,-475,-1781,-764,8755,-506,8698,1219, class:1
-3803,57,-2853,-1836,7683,-1578,7626,147, class:1
-438,2831,-66,-92,-628,7644,-685,-8164, class:1
-6,16172,31,9006,9041,16341,-99,41642, class:0
-1693,-118,-1062,-406,-47751,-263,-48037,1302, class:1
-60,2529,18,139,189,-10324,-501,-8319, class:0
-813,2442,868,775,-6215,4182,-6905,4246, class:0
3048,145,228,67,-16074,-4655,-17813,40195, class:1
3286,-6616,3504,5632,-25776,9797,-27515,30493, class:0
-422,1882,-6662,-5529,-18,1766,-422,1882, class:0
-1145,1159,-7385,-6252,-741,1043,-1145,1159, class:0
5966,-7277,-4625,-4765,-18990,17847,-19188,21920, class:0
2566,-230,-399,-283,-40859,12559,-40974,12965, class:0
-323,820,-20,67,-11140,120,-11326,-13270, class:1
-15757,869,-8245,-227,-26574,-101,-26760,6138, class:1
838,1756,1028,840,855,3391,-8484,5114, class:0
-1481,12815,-1290,12340,-1308,15241,-1481,-15190, class:0
25,-59,208,-534,-6774,2367,-14355,3330, class:1
-2965,56,-583,-205,-9764,-623,-17345,340, class:1
-3208,97,-826,-448,-10007,-866,-17588,97, class:1
-897,2423,-828,-1015,-1010,15607,-19647,15823, class:0
-929,-2360,1090,-3041,-10353,-2886,-929,-2360, class:1
-7711,-11,-484,-347,-1084,-186,-15539,1013, class:1
831,-132,-1037,-220,1109,-1049,831,1478, class:1
-315,17747,-86,16338,-519,18273,-637,50856, class:0
-18350,-18273,9951,9872,-14438,93307,-49652,100203, class:0
-11028,-816,-18,-114,-11094,27953,-13553,33628, class:1
-2611,7943,366,265,-31225,7822,-33684,13497, class:0
-19337,24753,741,692,-18961,23916,-19337,24753, class:0
-43714,376,-1622,-566,-43338,-461,-43714,376, class:1
-462,482,118589,121540,-462,482,-462,482, class:0
-341,702,-81552,-80969,-341,702,-341,702, class:0
-495,431,-289328,-288745,-495,431,-495,431, class:0
122,65,-79,-335,360,-320,-8110,5507, class:1
644,-84,-36,-100,2502,578,-5968,7649, class:0
-2474,376,419,276,-2852,337,-3515,-6095, class:0
-63,1890,-105,23,23,1486,-741,2608, class:0
-1101,983,24517,34079,-1020,-340,-1101,983, class:0
4915,86,-1950,-1681,-19176,-1959,4915,87, class:1
5067,238,-1798,-1529,-19024,-1807,5067,239, class:1
5092,263,-1773,-1504,-18999,-1782,5092,264, class:1
5597,768,-1268,-999,-18494,-1277,5597,769, class:1
-15620,-42809,-15583,35099,-43775,-43101,-16336,-42809, class:0
-23041,115864,-16875,-17041,-22877,110472,-23041,115864, class:0
1051,-46,1115,-709,-11358,-527,-11419,3360, class:1
-194,-19802,-84,14914,11549,19001,-241,-19802, class:0
5325,-101839,5732,-33425,102866,-102197,-58480,-101839, class:0
-13169,3506,-147,-221,-17178,3144,-17204,3506, class:0
