TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
14349,10606,-1161,-1227,14358,7928,14349,10606, class:0
-7960,2991,-144,40,-13780,2810,-72504,4878, class:0
1430,5571,-32,-115,-93238,39355,83896,54330, class:1
-2509,1372,631,505,-15263,876,-15434,28788, class:0
-4326,16706,-4143,12838,-4234,34791,-4326,36553, class:0
3319,201,3409,3947,3979,-5473,3319,201, class:1
-3413,-3,-3011,-253,-30077,-139,29817,2702, class:1
12525,-9302,1278,1104,-21219,39522,-111188,41903, class:1
-14290,2810,-562,336,-60198,543,138339,2924, class:1
-7370,-13466,-5740,-5791,-7162,-13871,-7370,-13466, class:0
2727,5207,-2659,-2783,3842,8084,-6372,8484, class:0
-2313,50,-244,-239,13051,-207,12969,560, class:1
-5658,-9,-2744,-650,-2785,51,-6640,589, class:1
-1521,4443,-1410,3871,-1463,5004,-1599,11546, class:0
-705,1275,-41484,-40073,-461,498,-705,1275, class:0
40128,7890,-48,-145,-26352,5856,40128,7897, class:1
37248,5010,-2928,2801,-29232,2976,37248,5017, class:0
54854,134052,54910,83785,78650,133735,-133717,463817, class:0
-46590,-1974,-46322,-2307,-46739,-2291,-269743,327791, class:1
26565,27785,-4041,-4172,-32304,-4121,-95349,340849, class:0
-11177,20395,-10660,-11176,-10969,-10838,-14357,56615, class:0
17057,974,-6292,-5099,23373,-4985,17057,983, class:0
-9356,8808,811,740,60145,107891,-101821,113095, class:0
23844,15269,13705,13592,23877,13675,23844,15269, class:0
-4606,17797,77,-135,-112,16805,-4606,17797, class:0
-6188,-11174,-1404,-1520,-44491,-15747,-47934,50877, class:0
-3871,1151,-2143,-293,-98866,-216,-98890,1321, class:1
-166,5951,-19,-111,-85112,6428,-85312,16761, class:1
-23836,870,-1848,-504,-44274,-298,-44410,870, class:1
-13331,-161,-257,60,15292,-302,15046,6594, class:1
-1890,-96,-840,-236,-36712,-117,16344,675, class:1
7883,-1433,-1977,-2028,23467,18686,21695,20173, class:0
-336,1418,-219,113,-435,933,-1445,-2967, class:0
-7115,367,-2766,-599,-6956,212,-7235,621, class:0
-1682,2734,-202,-295,-6643,2727,-30047,23109, class:1
2269,13773,2410,6851,13917,26946,-56537,28298, class:0
204,7,424,321,405,-824,-2463,7, class:0
-3630,2729,-526,-614,-6975,2557,-9564,-9792, class:0
-8003,105,-608,-905,-6816,-559,-8970,2214, class:0
-192,815,-123479,-123306,-192,815,-192,815, class:0
-1273,267,-909,-123,-1175,62,-1344,267, class:0
-2442,-1483,-1934,-1669,-5855,-1527,-6293,5310, class:0
1055,-1300,1180,1488,1513,-1583,-6166,337546, class:0
-34411,-38,-15656,-555,-54595,-463,-291555,52157, class:1
-1271,4333,-1046,2319,-1106,3476,-1271,4333, class:0
-2153,18,-30,-127,-4008,1343,-9572,2979, class:1
2386,9888,-1728,-1891,-52635,5266,-84079,76063, class:1
2137,12598,2226,3340,83226,12523,83152,43198, class:0
3447,2001,3786,-119,29119,-59,29029,6126, class:1
-10763,139,-4950,-2919,-34934,-2663,40785,139, class:1
-25920,21491,21100,21014,-60816,-23554,59330,21491, class:0
-6956,8375,-3500,-3561,-7152,8036,-15349,8819, class:0
-18263,-1510,-2455,-2506,-10970,-2493,-28073,4282, class:1
2951,3213,1538,1407,-11922,2021,-12014,8597, class:0
-2341,-316,-1011,-681,14603,-376,14603,2269, class:1
-1510,259,154,68,-15068,160,-22421,2266, class:0
-3610,159,-974,-494,-17168,-1940,-24521,166, class:0
-7417,84,-4090,-164,13034,-79,12739,1028, class:1
2953,8814,3228,3212,-15525,19471,-206966,37041, class:0
-1698,-1389,-19,-69,-29076,5920,-220517,23490, class:1
-1427,2312,-282,-420,-1391,6323,-3254,-6045, class:0
-2322,516,-29,-82,-4134,-1195,-5348,-1099, class:1
-6349,77,-6249,-97,-6272,-42,-8371,576, class:1
-5235,1896,63,-70,-5235,2065,-14375,27366, class:0
-22007,-10301,-3210,-3412,-11736,28002,-22296,39097, class:0
-2884,142,-2298,-1532,-53902,-971,-54196,218, class:1
-1082,-3193,-368,-485,8157,-5675,-1182,-3193, class:0
-2668,324,365,-236,-2651,-115,-11990,1608, class:0
20348,20867,-97,-218,-144633,20832,-201074,301956, class:1
-5150,48244,-4844,42852,-5045,48090,-5150,55264, class:0
-1474,5237,-891,4489,5153,6051,-9302,7250, class:0
-7940,-49,-713,-576,-1313,-415,-15768,784, class:1
53740,-41091,2104,1975,-138297,2006,-138350,54079, class:0
-1979,1010,-60,-179,-2045,37002,-4504,42677, class:1
-767,159,-289600,-289017,-767,159,-767,159, class:0
-442,505,-390255,-389672,-442,505,-442,505, class:0
-9734,629,-3226,-1713,-1613,-255,-10678,629, class:0
1603,16230,1080,859,16187,16580,-8631,25912, class:0
-99,2014,50,248,-94,2478,-105,2707, class:0
-1372,403,444,236,-6391,3305,-12740,4493, class:0
-2342,147,-15,-142,-3283,-6101,-5011,-5525, class:1
27351,41602,4363,4277,-27007,39974,61880,58586, class:0
1861,2931,2004,1937,1960,2547,-2890,9362, class:0
6260,4974,-375,318,6810,467,6260,4974, class:0
141,1267,233,14,-3873,24775,-3906,29282, class:0
-2385,-26677,-2044,-29177,-2134,-29119,-2927,-26677, class:0
-371,-215,-13,-28,-19345,13768,-19395,13868, class:1
1128,1104,1375,1007,-2499,3147,-3944,3474, class:0
-905,6075,-851,1889,1905,5755,-905,6075, class:0
133,2759,212,599,133,2759,133,2759, class:0
3080,4127,369,130,-1521,1888,-94509,41261, class:1
-755,-3106,271,184,806,4215,-92182,43588, class:1
1184,2384,-48,-200,38935,42344,-54053,-59441, class:1
-2287,-210,-378,278,-13092,-6481,-13135,22753, class:0
-2003,4689,1062,875,-1462,4516,-2003,4689, class:0
1061,-9448,-51,-161,-18486,-22886,36313,27378, class:1
16425,546,72,-87,-9988,500,16425,5389, class:0
-2896,122,-79,29,19202,117,3722,226, class:0
4918,-6213,4961,4694,50089,4930,49914,27169, class:0
-18882,14276,-12279,-12346,-16532,-12335,-22957,111528, class:0
3418,12175,3522,9151,9229,15635,-42216,17593, class:0
-5889,-593,48,-41,-6054,2123,-23325,2304, class:0
28,955,175,128,-14885,151,-14984,1786, class:1
2582,1256,-2813,-405,-8861,-268,-8960,7810, class:1
-2520,1344,1592,1205,1229,1600,-2534,4120, class:0
-2172,1692,-1912,1553,1577,1948,-2186,4468, class:0
-19854,-96,-2219,-148,-19896,-103,-21108,1091, class:1
9765,8383,531,468,9770,2814,9765,8383, class:0
-1958,69,-643,-210,-1952,-146,-1958,69, class:0
-18456,37251,16618,16542,-51335,-50850,-39001,-49948, class:0
71,3233,-106,1393,2200,3893,-265,4412, class:0
-2128,281,-1989,-821,3678,-669,3530,283, class:1
-2142,-45012,-1373,-1482,-1478,-45112,-2562,-45012, class:1
299,132,-42,-125,-356,5560,-398,6120, class:0
-1986,7311,-1232,-1283,-1968,7162,-2042,8845, class:0
10052,11818,-775,-892,-109742,33937,-109742,39012, class:1
202,331,-272,294,-5684,11409,-5799,16806, class:1
-4390,951,61,-124,-10583,916,-19373,3696, class:1
-17267,-26270,15832,15590,-126161,-26661,-140664,31508, class:0
-2897,-707,-1788,-735,-2897,-707,-2936,6783, class:0
-6942,1890,-1104,-1392,-6838,1691,-7576,3266, class:0
-2446,-240,-2107,-1045,-24124,-853,-106327,647, class:1
-57730,265,-3970,-1749,-57533,-1565,-65761,1052, class:1
-2597,8234,1007,879,-1426,9892,-3068,10168, class:0
-25850,-10969,-2726,-2812,-25809,-8685,-25945,32003, class:0
5890,-291,-2463,-633,5957,-383,5890,2530, class:1
-481,-1323,-19681,-18998,-439,-59,-481,-1323, class:0
-593,616,-168,80,-201,-1869,-1346,-1653, class:0
-9760,40013,-9533,23353,23419,57108,-9761,63159, class:0
257,79,589,-490,1666,-103,257,6554, class:1
-10452,1659,-9375,-7749,-9512,665,-10452,1659, class:0
-11860,996,-255,-373,-11807,902,-11860,996, class:0
-1259,1632,501,344,-1259,1632,-1259,1632, class:0
2571,95,152,-117,4123,378,2571,1598, class:0
-3584,2237,1707,1616,-3515,-2773,-4062,7533, class:0
-1402,-510,-108,-170,-271,-130,-33268,25637, class:1
-9959,3497,-14,-180,-37640,2416,28074,3497, class:1
-759,-315,-576,-438,-4409,-165,-6317,341, class:0
-531,-12487,-310,-367,4499,23178,-20914,23524, class:0
-10474,-5307,2443,2309,17241,-6592,17096,6029, class:0
-12898,3349,3251,3146,-33841,43510,-77413,-104316, class:0
-713,834,-657,79,281,1399,-990,1447, class:0
-38529,-33477,-38098,-37989,-38242,-35555,-38593,-33477, class:0
-7827,3,-611,-66,-5672,-41,15435,1142, class:1
-7528,42603,-7021,38308,-7197,40687,-7529,42607, class:0
4028,-2421,-36,-155,-22596,21587,40206,26132, class:1
-6489,418,-6290,-5242,-36736,-5043,32778,418, class:1
-3258,-1664,-79,-360,-14333,6130,-21973,8439, class:0
2564,3655,2606,3094,-9689,3282,-9912,3655, class:0
-6833,-255,-3418,-1455,-14607,-1304,-22089,1555, class:1
-14779,8168,-14739,3037,71641,138497,-16005,187748, class:0
-1092,-135,-809,-381,-46769,-300,-46919,469, class:1
-57,118100,652,98237,475,312740,-817,327792, class:1
-14650,613,-1856,-163,38344,-49,37267,613, class:1
-7998,79056,-7611,24552,-7763,69536,-7998,304280, class:0
-1107,-244,-1047,-865,-2507,-150,-2538,2718, class:1
6091,-19759,4137,4053,38942,23278,38711,68534, class:1
-9025,-2844,764,692,64241,48577,64010,93833, class:1
11862,18043,-66,-157,-80565,69464,-81865,114720, class:1
9885,516,9910,-3387,-3386,-2880,9885,516, class:0
-8691,17073,252,99,-8505,16602,-8691,17073, class:1
-873,74,-385269,-384650,-873,74,-873,74, class:0
5837,-2693,867,676,-7419,17226,-11982,19935, class:0
-9037,39702,-8931,20044,20137,49677,-22472,49696, class:0
-1036,1726,-68772,-68457,41,490,-1036,1726, class:0
-20758,-1451,-2495,-1693,-23565,-1624,-23622,5645, class:0
-7013,-849,-6923,-1353,-7042,-1294,-28623,57544, class:0
25385,1085,959,925,-17164,68594,104834,72093, class:0
3778,-5608,3816,3781,-38771,46987,83227,50486, class:0
-6041,-1639,-1361,-1507,-55845,15562,-55949,15994, class:0
-14478,7285,-1026,-1126,-11380,6987,-20932,7377, class:0
-17988,-354772,-17937,-18103,-96676,-416527,-179909,-354772, class:0
30728,60746,30780,30734,-76977,-195047,-76981,-190900, class:0
-12571,15052,5744,5575,5675,90445,-12607,91198, class:0
-16190,233,-7077,-437,-16150,-188,-16202,503, class:1
-1457,-132,-1122,-335,8801,-222,8741,1370, class:1
-22492,366135,-22408,212655,112975,-439012,-238548,-438553, class:0
-2604,-227,-509,-597,-2713,1347,-2793,5075, class:0
-3622,4865,-3479,2555,-3483,4022,-8212,4865, class:0
-288,-2059,-85,458,-288,1647,-744,-2059, class:0
-2474,-4245,577,643,-2474,-539,-2930,-4245, class:0
-1682,403,552,-90,-8063,-13681,-69443,-34947, class:1
-2385,-300,-151,-192,-8766,-14384,-70146,-35650, class:1
-5934,-715,-1203,-1286,-4e4,-1192,80807,11091, class:1
-16799,226,-5653,-3826,-50865,-5654,69942,226, class:1
-2906,27,-1615,-406,-3723,-3202,-4427,552, class:1
-6644,181,-146,-241,-31892,1072,75059,3019, class:1
193601,-18865,-87651,-19926,194108,-19875,193601,62095, class:0
-1031,-2148,660,625,-1403,2690,58589,41828, class:0
-16440,141,-316,-227,-244167,-154,-244444,1216, class:1
-6063,889,-971,-38,-4927,279,-6063,889, class:0
-127,2099,-14,-134,-11503,1878,-27259,7854, class:0
-637,8005,-556,1693,1771,27579,-1577,29297, class:0
-2507,162422,-2442,45497,-2507,204500,327431,212699, class:0
-5807,22852,-5760,22736,-6874,25256,-7294,52506, class:0
