TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-178,950,-158,182,5132,11058,-200,23851, class:0
-4926,151,-2323,-1567,-4903,-1373,-4974,151, class:0
-4173,1508,989,836,-10271,9412,-16775,9566, class:0
-2112,4903,1007,699,715,4571,-2112,4903, class:0
-6664,351,-2292,-542,-3837,19,-6664,351, class:0
2798,-3294,742,599,-6775,10143,-58133,10907, class:0
2900,4086,-2351,-2428,-2391,5084,-3887,5940, class:0
-779,-11,0,-109,256,-2664,-7771,-2667, class:0
7035,11817,-53,-203,-26709,34032,-116678,36413, class:1
-1498,-2098,967,871,-1468,-2187,-1498,-2098, class:0
-4922,38,-3590,-566,-4634,-207,6569,727, class:0
-280,8038,-196,2125,2127,7898,-280,8038, class:0
-6768,-105,-74,18,-32128,-27845,49252,44783, class:1
115,-64,172,101,-5551,1313,-5850,1376, class:0
51,350,-401,439,-1578,1510,-1924,1604, class:0
-155,1832,-38,56,-1325,3889,-1564,4201, class:0
-1292,-53104,-1124,92466,-1141,-53947,-1292,-53104, class:0
-13280,-886,-2522,-1260,-13158,-1218,-13344,2931, class:0
-4278,6365,-3942,-4018,-4149,-4019,-7250,12597, class:0
-13605,-1522,-3007,-1721,-3100,2119,-16577,3270, class:0
-70588,-25972,-70320,-26305,-70737,-26289,-293741,303793, class:1
-11399,6098,1406,289,399,5142,-11399,6098, class:0
40533,17151,11240,11068,-16965,18491,40533,24459, class:0
-1869,5134,-795,-827,-1956,4911,-17911,29459, class:1
-278,24,-210,-86,-5275,-1446,5335,3532, class:0
-13629,3576,-13537,2311,-24525,224489,-29433,-245773, class:0
107,1006,-46,272,-108,1949,-332,2869, class:0
-846,53,238,-118,-1061,996,-1285,1916, class:0
18535,457,-140,80,-45467,-1,-121589,30444, class:1
-4606,17797,77,-135,-112,16805,-4606,17797, class:0
-10560,752,-453,-564,-10439,-449,-10585,29834, class:1
-10738,10,46,-93,-145,51374,-13529,51526, class:0
497,-4489,575,441,-37806,-9062,-41249,57562, class:1
