TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-234,683,748733,750171,-234,683,-234,683, class:0
-346,571,748621,750059,-346,571,-346,571, class:0
-846,71,748121,749559,-846,71,-846,71, class:0
-1613,1163,-36692,-36440,-1599,-610,-1613,1163, class:0
-1722,71,114,-48,-1266,422,-2390,720, class:0
1201,-725,1668,-962,1993,-41979,-21791,-41510, class:0
-3129,1847,86,-49,17947,9757,17694,13291, class:1
-20,2069,606,701,1041,13912,-20,15804, class:0
1204,2111,-656,-734,-16969,2005,-17527,-20415, class:0
4490,-14367,48,-93,-83881,-45007,-84720,63687, class:1
120,1084,-173,705,194,1559,-332,-17320, class:0
-3175,19356,-3008,3401,-3175,19005,-3175,19356, class:0
-2260,2563,-50,347,-336,2433,-2260,2563, class:0
-1626,3274,716,138,-1626,3274,-7533,3344, class:0
7955,469,-3024,-2198,7981,-2184,7955,469, class:0
-585,40195,263,140,14098,34552,-585,44985, class:0
2530,3039,-77474,-77262,2530,3039,2530,3039, class:0
-33,476,67361,-213762,-33,476,-33,476, class:0
24675,28754,25049,24678,24702,28212,-42994,28756, class:0
-10292,-6058,-6391,-6575,9935,-6478,-10383,22459, class:0
-16530,9951,994,901,3697,-12716,-16621,16221, class:0
21352,4349,-1866,-1944,-1905,7199,21352,10619, class:0
-1388,-15935,-908,2999,-1294,15848,-1388,-15935, class:0
902,6710,66,-116,-11057,6085,-11151,6905, class:1
-10398,-1084,-3481,-2017,-10303,-5503,-15262,29615, class:0
10414,23346,10563,13113,13217,36783,-31493,37547, class:0
6290,3276,6351,2785,6309,2823,6290,3276, class:0
-25220,8273,66,-88,-38,11515,-25890,14429, class:1
51013,-6310,-417,373,-22602,13845,51013,18606, class:0
-226,-5305,-112,593,6042,-5632,-653,-5305, class:0
-2606,4415,-2022,-2099,-2062,5413,-3558,6269, class:0
487,1673,606,970,989,2671,6265,3527, class:0
281,1912,-275,1398,1437,1912,-422,3931, class:0
-2181,-16,74,-202,-2206,-18,20817,5745, class:0
5010,57092,5553,-18152,-18062,78054,-87124,81615, class:0
-2058,-120,166,-286,-1775,43368,-35405,50666, class:1
-2392,31315,-913,-977,-2368,31208,-2470,34673, class:0
-2471,-520,-2173,-788,-2441,-647,-2516,8281, class:0
-10328,424,-10030,107,-10298,155,-10373,424, class:0
-655,808,-252,-130,-415,-43,-1965,3036, class:0
6385,649,0,-103,-6449,354,6385,653, class:0
-5960,-1671,-1370,-1501,-7250,4136,10506,4585, class:0
-1283,-161,-5531,-1042,-5908,-945,-8813,3634, class:0
-10438,-3189,-6903,-3249,-22832,-3190,-23978,15448, class:0
-1725,366,-1656,-527,-510,491,-1726,1023, class:0
5170,9952,94,-56,-28574,32167,-118543,34548, class:1
5909,-1473,108,-71,-39999,20742,-129968,23123, class:1
-406,-12324,-311,-15537,13208,-16609,-406,-12324, class:0
-5419,-573,-2795,-1519,-18185,-4332,-19072,-573, class:0
-5724,-878,-3100,-1824,-18490,-4637,-19377,-878, class:0
45,5783,294,1299,-255,5161,-636,6699, class:0
-1013,290,-720,-181,-474,-86,-2180,295, class:0
-12900,-15,-978,-351,-13015,-341,-13173,1663, class:1
-13179,86,-1257,-630,-13294,-620,-13452,1384, class:1
-34004,-4645,-4623,-326,-15197,164,-34015,7768, class:1
21340,21322,-1818,-1955,16977,20749,-96764,-86709, class:0
4732,400,235,181,-8991,11431,-15930,12019, class:0
-997,-524,-479,-592,12460,4042,12114,4630, class:0
-60,42,35,-96,-4413,-229,-4752,2351, class:0
-1844,243,-1802,-1704,-6521,-1570,-6860,243, class:0
-232,9165,-89,231,5610,10035,-425,10460, class:0
967,4582,792,665,-11323,15033,-11573,15610, class:0
15091,-16855,15153,15050,-52098,39139,-114025,41747, class:0
-18553,1902,103,-122,-85742,5495,-147669,8103, class:1
-1671,-27,-1464,-438,-34832,-267,-35318,1866, class:1
-1695,-51,-1488,-462,-34856,-291,-35342,1842, class:1
-2949,588,-2742,-1716,-36110,-1545,-36596,588, class:1
-7918,-3472,78,-32,-7796,4144,-7982,8293, class:0
-120,-10630,-25,1037,-113,-11629,-281,-10630, class:0
-28957,-13439,-22559,-13778,-38568,-13521,-54862,-13439, class:0
-7794,42836,-7403,-7555,-7712,53090,-13765,83170, class:0
8933,2293,-3554,1836,-8934,2103,8933,2293, class:0
-28283,41663,851,710,-28283,34042,-28349,41664, class:0
-38032,31914,8067,7974,-38032,24293,-38098,31915, class:0
-5897,11600,-4200,-4293,5901,10644,-5897,11600, class:0
