TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-8291,3136,44,-38,-8191,2667,-8291,3136, class:1
-3110,1866,105,-30,17966,9776,17713,13310, class:1
-20,2069,606,701,1041,13912,-20,15804, class:0
-2053,-1955,-1608,-1725,-8255,4616,-9316,6508, class:0
-3448,3157,2183,2103,-9650,3221,-10711,5113, class:0
325,1174,21,24,-194,204,-6930,2349, class:0
-43,30071,89,-107,8510,30040,34818,33255, class:1
-6392,15169,39,-154,-6392,15138,19916,18353, class:1
-5517,2,-1355,-259,-24314,-162,-24323,1628, class:0
-86,4639,151,1710,-86,2313,-1152,12606, class:1
-5642,16,-926,-723,-5679,-487,-10214,16, class:0
728,-7980,346,151,233,-9929,-2028,-7980, class:0
498,1018,-255,-383,-24248,1018,-24337,17888, class:0
-2052,2332,-265,-312,-112650,55666,-116850,-137689, class:0
-3175,19356,-3008,3401,-3175,19005,-3175,19356, class:0
-9160,13371,-2368,-2584,-9160,13020,-9160,13371, class:0
-8583,3638,1687,460,-8549,1234,-8611,3997, class:0
-1112,6390,-996,5822,-1106,13399,-1322,16362, class:0
-4314,509,-1129,-179,-2390,379,-4314,509, class:0
-1900,8907,-1806,4003,4007,8907,-1900,8977, class:0
2775,-6455,2865,2758,-15907,7882,-74422,78589, class:0
7955,469,-3024,-2198,7981,-2184,7955,469, class:0
-1153,-1396,-87,26,-5372,5666,-9117,6058, class:0
-17357,17778,381,264,-17317,16624,-17357,17778, class:0
24675,28754,25049,24678,24702,28212,-42994,28756, class:0
-7759,66,65,-46,-336,1759,9917,2686, class:1
-11876,4056,2699,2650,2660,8521,-53992,9019, class:0
1726,-2757,132,-82,-2928,-5536,-31523,13354, class:0
281,1912,-275,1398,1437,1912,-422,3931, class:0
-5409,15497,-5215,-5468,-5409,15463,-17431,21258, class:0
-2181,-16,74,-202,-2206,-18,20817,5745, class:0
5010,57092,5553,-18152,-18062,78054,-87124,81615, class:0
-464,572,218,106,-404,1880,-465,2101, class:0
-621,698,-7497,-6911,-546,200,-621,698, class:0
-3207,7052,-3116,5213,-3210,5516,-3362,10893, class:1
-2161,1009,-2068,-1011,-1006,-14,-2161,1009, class:0
6586,21576,-4005,-4157,-12107,21469,-12209,24934, class:0
7647,1321,-3399,-900,7705,-802,7647,1321, class:1
4948,5287,-1815,1883,1918,5301,-14367,6531, class:0
8425,23929,3650,3519,-15111,73905,-15240,75057, class:0
-8933,6571,6642,6334,-32469,56547,-32598,57699, class:0
9955,10846,10070,10148,10042,-15555,-12917,-15300, class:0
5643,6534,5758,5836,5730,17248,-17229,17697, class:0
-5779,1470,-2244,1410,-18173,1469,-19319,20107, class:0
-10438,-3189,-6903,-3249,-22832,-3190,-23978,15448, class:0
-406,-12324,-311,-15537,13208,-16609,-406,-12324, class:0
-5419,-573,-2795,-1519,-18185,-4332,-19072,-573, class:0
-5724,-878,-3100,-1824,-18490,-4637,-19377,-878, class:0
-8224,-3378,-5600,-4324,-20990,-7137,-21877,-3378, class:0
-1307,-1,-1014,-475,-768,-380,-2474,1, class:0
-13143,122,-1221,-594,-13258,-584,-13416,1420, class:1
-6356,307,71,-30,-31716,-27433,49664,45195, class:1
-7301,2296,2332,2246,-7268,-13946,-7433,-13849, class:0
4732,400,235,181,-8991,11431,-15930,12019, class:0
-152,1737,-188,246,-191,2897,-537,2991, class:0
434,536,-218,256,-3919,265,-4258,2845, class:0
-1844,243,-1802,-1704,-6521,-1570,-6860,243, class:0
-119,1509,13280,14049,125,1240,-119,1509, class:0
-575,1053,12824,13593,-331,784,-575,1053, class:0
-1553,75,11846,12615,-1309,-194,-1553,75, class:0
-1582,-1320,456,381,-1545,24795,167158,28209, class:0
-594,768,-312,176,249,247,-4429,20546, class:0
-6406,809,-2120,-1360,-6392,-909,-6407,823, class:0
-4098,4922,54,10,-4075,4596,-4126,8180, class:0
-9704,2690,315,289,-9582,2358,-9768,6507, class:0
-53353,36776,131,-9,-53208,25614,-53395,47480, class:0
29962,4089,1184,987,30335,-7073,29962,14793, class:0
5630,18701,-3207,-3271,-7212,35266,-30782,-63013, class:0
1025,-3832,214,99,-10750,4575,-15534,7916, class:0
-2560,2143,-891,-1063,-3082,4126,-3137,4952, class:0
-4868,-165,3,-207,-5390,1818,-5445,2644, class:0
-4258,-4072,-1546,-1703,-13869,4045,-30163,11260, class:0
-28283,41663,851,710,-28283,34042,-28349,41664, class:0
-12413,2734,-402,-603,-9200,1913,-12771,2736, class:0
12678,51121,3334,3268,16088,47360,-20293,67844, class:0
-88857,230760,31318,31207,31277,-245023,-89524,-240479, class:0
234,2486,387,-1138,-1132,14224,-16737,16789, class:0
-62059,-58158,-60799,-58273,-61865,120760,-62100,136170, class:0
-1905,3748,-1111,-1222,-1195,-9954,-1967,-5618, class:0
-2722,2931,1699,1663,-2012,-10771,-2784,-6435, class:0
-4255,1398,166,130,-3545,9698,-4317,-7968, class:0
36,145,200,29,-8715,4528,-9487,4795, class:0
