TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
378,1026,-74,24,-3965,4078,-4e3,-4782, class:0
1238,2188,96,-52,-21747,10820,-24038,11957, class:1
-223,964,-67,114,134,5222,-6036,18015, class:0
-614,2162,-35693,-35441,-600,389,-614,2162, class:0
-2063,713,-37142,-36890,-2049,-1060,-2063,713, class:0
-2437,4,-601,-342,-1981,-293,-3105,5, class:0
-967,3025,-343,-257,-935,2183,-967,3025, class:0
-151,1511,175,125,-279,1633,-733,1736, class:0
-4701,1928,295,269,-26759,279,52291,2182, class:0
-65045,1594,-1642,1201,-120774,-1701,-121468,16334, class:0
-2997,-2765,2549,2470,-3091,5432,-29926,6656, class:0
-715,134,225,89,-1234,402,-7970,1309, class:0
-2454,-523,-496,-558,-5630,-530,-5983,4737, class:0
-23201,-22517,-22792,-22876,-84122,64043,-86801,71669, class:0
-3434,7063,-3374,4924,-3400,6508,-3525,-13752, class:0
-1823,10398,-1622,1508,-1789,7994,-1851,10757, class:0
-9273,2948,997,-230,-9239,544,-9301,3307, class:0
-749,1045,245,-2,-2212,556,-4043,1188, class:0
-622,2233,-268,115,-554,2166,-1637,2235, class:0
-681,2316,-369,28,-655,2189,-681,2316, class:0
-2178,819,-891,134,-2152,692,-2178,819, class:0
-30689,-14336,14155,14012,-29245,14132,-102217,22664, class:0
493,250,-89,190,-3726,7312,-7471,7704, class:0
-7207,4,-790,-435,10447,-388,9690,4, class:0
-23320,11815,1029,922,-23280,10661,-23320,11815, class:0
597,-1063,30,-51,-5279,1715,-5576,3013, class:0
-8849,2207,-3490,11,-8751,222,-8853,2207, class:0
-54285,89,1985,-103,-16203,20244,-54301,25005, class:1
-6539,19494,-763,-827,-6480,19263,-6552,33478, class:0
-133,1782,-108,427,558,2217,-1155,3414, class:0
-319,1596,-294,241,372,2031,-1341,3228, class:0
-386,-117,25,-145,-2331,-1920,-17288,24263, class:1
-5717,204,28,-52,-14098,10682,-29055,12496, class:1
-5742,179,3,-77,-14123,10657,-29080,12471, class:1
-407,-8422,-50,1607,1620,-9731,-950,-8422, class:0
-297,9470,1348,7116,570,13270,-2193,14387, class:0
-2124,3198,-159,-293,-236,3803,-3580,7346, class:0
-6746,-1093,-440,-871,-4858,-819,-8202,2724, class:0
-2781,-830,-2483,-1098,-2751,-957,-2826,7971, class:0
-15887,7077,-399,-589,-15566,5388,-15887,7077, class:0
