TSS,polya,exon_intron,intron_exon,start_codon,stop_codon,gene_start,gene_end,class
-914,3,748053,749491,-914,3,-914,3, class:0
-239,773,-86,322,-88,816,6461,879, class:0
-1112,5,-959,-551,-530,-57,5588,6, class:0
-2588,188,-37667,-37415,-2574,-1585,-2588,188, class:0
-4057,-5964,648,578,-16741,7191,-16857,9222, class:0
40099,-40629,40317,41192,40144,-41244,40099,-40629, class:0
-118399,-104254,98916,98849,-206924,-104730,-207131,-356869, class:0
-5287,-4039,1399,1348,-7731,11243,-8289,-11177, class:0
4899,5806,521,373,-13274,5700,-13832,-16720, class:0
29376,29777,10619,10516,-31545,-54917,-34224,-54359, class:0
-301,3657,-259,117,625,6062,-836,8116, class:0
-1585,1421,-294,731,-1555,1289,-1585,1421, class:0
-1645,1361,-354,671,-1615,1229,-1645,1361, class:0
-266,6749,-189,2545,2561,6417,-266,6749, class:0
-4728,2287,-356,-937,-1901,1955,-4728,2287, class:0
-2565,432,-1278,-253,-2539,305,-2565,432, class:0
-2678,319,-1391,-366,-2652,192,-2678,319, class:0
-7905,10911,7848,7701,-8198,10550,-8275,12173, class:0
3268,978,-409,-525,3349,797,3268,1632, class:0
-22378,3266,537,461,-22824,-2377,-37514,8056, class:0
-29185,1246,-3414,-1858,-29631,-1756,43776,1249, class:1
-29254,1177,-3483,-1927,-29700,-1825,43707,1180, class:0
6,853,9,400,-4,8334,-94,19312, class:1
-3388,47,153,-67,-18147,-19,-18237,1169, class:1
2807,3316,-77197,-76985,2807,3316,2807,3316, class:0
2459,2968,-77545,-77333,2459,2968,2459,2968, class:0
-411,98,66983,-214140,-411,98,-411,98, class:0
-417,-2403,118,-9,-26789,23638,-208535,24171, class:0
29090,5128,1324,1245,29118,3974,29090,5128, class:0
-1843,573,-1002,-874,-7719,-725,-8016,573, class:1
12925,-1e3,-1153,-1242,-10332,-1228,12925,2192, class:1
16562,29494,16711,19261,19365,42931,-25345,43695, class:0
7193,20125,7342,9892,9996,33562,-34714,34326, class:0
-23642,30732,15136,14371,14440,50887,-23658,55648, class:0
32812,402,-6308,-4550,32884,-4356,32812,405, class:0
-2050,105612,-1984,4193,-2026,113921,-66389,-115690, class:0
15237,28452,15440,14639,17458,28452,-30602,28471, class:0
1345,4448,690,538,11810,9348,11231,11093, class:0
649,3752,-6,-158,11114,8652,10535,10397, class:0
4521,1958,826,1335,5185,-1303,4521,1961, class:0
663,-89,202,60,-7296,-1105,-24775,20494, class:0
-7151,-5213,-3739,-3855,-6868,38275,-40498,45573, class:0
-338,-307,12,-228,15608,392,12264,6896, class:1
-152,1167,-7028,-6442,-77,669,-152,1167, class:0
-7664,34874,3333,3226,3241,38279,-7664,38960, class:0
9624,30674,-867,-974,-959,34079,-11864,34760, class:0
-2575,3215,-2264,2953,-3107,-2424,-3187,4004, class:0
-5897,-107,-5586,-369,-6429,-5746,-6509,682, class:0
-6480,99,-6169,-952,-7012,-6329,-7092,99, class:0
-81,1717,-63,144,-4493,4024,-7808,4109, class:0
-3792,-13500,2984,2856,2970,-17320,-7926,-13500, class:1
-4325,8798,-4063,-6295,-4359,14987,-17077,16280, class:1
2068,1951,72,-9,0,8140,23218,9433, class:1
19109,1841,-6870,-3439,19609,-2739,19109,1841, class:0
-19697,31444,-19229,27115,-19455,31444,-19697,39428, class:0
-9940,8280,244,50,-9659,5190,-10319,8280, class:0
7868,5767,-88,139,9418,2677,7868,5767, class:1
3934,1833,-2292,-1550,5484,-1257,3934,1833, class:1
